DateTime,AddedIPs,RemovedIPs
1501340884,2,2
1501344477,1,0
1501348061,0,2
1501351703,0,1
1501355281,2,0
1501358895,1,0
1501362502,0,1
1501366098,0,1
1501369687,1,3
1501373326,2,3
1501376899,2,0
1501380481,0,2
1501384092,0,5
1501387670,1,0
1501391274,1,2
1501398476,1,0
1501402080,2,0
1501405696,1,1
1501409270,2,0
1501416475,0,1
1501420089,0,1
1501423678,0,2
1501430893,1,2
1501434463,1,0
1501438082,0,1
1501441683,1,0
1501445280,1,1
1501448884,2,3
1501452469,4,0
1501456075,0,1
1501459724,1,0
1501463292,1,2
1501466884,0,4
1501470477,0,12
1501546059,9,0
1501549562,7,1
1501553171,3,0
1501556784,0,18
1501614381,19,0
1501617963,1,0
1501625157,0,2
1501628756,4,0
1501632404,1,0
1501636094,0,1
1501639693,0,1
1501643292,0,2
1501646888,0,3
1501650492,2,3
1501654077,4,0
1501661273,1,0
1501664894,2,1
1501668478,0,1
1501675673,0,1
1501679292,1,2
1501682896,0,1
1501686511,1,0
1501690066,1,0
1501693677,0,1
1501697278,1,0
1501700907,1,0
1501704475,2,3
1501708083,1,0
1501711684,2,1
1501715269,1,0
1501718936,3,1
1501722459,0,2
1501726039,0,3
1501729661,0,7
1501733258,1,2
1501736860,1,0
1501744060,1,1
1501747657,1,1
1501751246,1,1
1501754848,1,1
1501758457,3,0
1501769285,1,3
1501772858,0,6
1501776457,5,0
1501780085,1,0
1501783681,0,1
1501790851,0,2
1501794458,1,1
1501801652,6,0
1501805291,2,0
1501816074,0,1
1501819690,0,2
1501823279,0,2
1501826885,1,0
1501830483,0,3
1501837689,0,1
1501841262,4,0
1501852265,0,1
1501855769,1,0
1501866467,0,2
1501870047,1,2
1501877258,1,0
1501884463,2,0
1501888067,1,0
1501891734,1,0
1501895270,6,0
1501898891,0,1
1501902483,1,1
1501906077,2,1
1501909681,1,1
1501913265,2,1
1501916867,3,1
1501920471,1,3
1501924086,1,0
1501927705,0,3
1501931263,1,2
1501934869,0,2
1501938470,3,1
1501945660,2,2
1501949280,1,1
1501952872,3,0
1501956492,0,1
1501960081,1,1
1501963671,1,0
1501967288,1,2
1501970876,1,0
1501974455,2,1
1501978096,1,1
1501981663,1,0
1501985289,0,2
1501988860,0,7
1501996075,0,2
1501999683,1,1
1502006876,2,3
1502014084,3,1
1502017668,1,0
1502021268,0,2
1502024858,3,0
1502032066,0,1
1502039267,1,0
1502046499,0,1
1502050050,0,1
1502053647,2,1
1502060863,0,1
1502064486,1,0
1502068069,0,1
1502071670,0,2
1502078873,1,2
1502082454,1,0
1502096860,1,2
1502100468,3,0
1502114872,1,0
1502118454,1,1
1502125684,0,2
1502129252,1,1
1502132885,0,3
1502136468,2,0
1502140063,1,0
1502147263,1,0
1502154510,0,2
1502161685,0,2
1502165308,0,3
1502168891,0,1
1502172501,0,1
1502176087,4,1
1502179678,3,0
1502186886,1,0
1502190493,1,1
1502194095,2,0
1502204920,0,2
1502208501,0,4
1502215697,4,0
1502222903,0,1
1502226489,1,0
1502230086,2,0
1502233690,0,2
1502237325,6,0
1502240872,3,0
1502244516,0,3
1502248086,1,0
1502251682,1,3
1502255283,2,1
1502258873,1,0
1502266070,1,1
1502269689,1,0
1502273281,1,1
1502276887,1,0
1502280493,0,1
1502284083,1,2
1502287696,2,0
1502291298,1,2
1502294890,1,0
1502298516,1,2
1502302079,4,2
1502305688,0,1
1502309275,2,0
1502316496,1,2
1502320081,1,2
1502323731,0,6
1502327274,2,0
1502330900,0,2
1502334491,0,5
1502338062,2,0
1502341687,1,0
1502345274,1,0
1502352488,2,0
1502356092,0,1
1502359681,0,1
1502363282,2,0
1502366883,0,1
1502370480,1,0
1502374072,1,2
1502377674,1,0
1502388492,0,2
1502392089,0,2
1502395689,1,0
1502417260,1,0
1502420889,1,0
1502424489,0,1
1502428089,0,1
1502435299,1,1
1502438882,2,0
1502449678,0,1
1502464090,0,3
1502467679,2,0
1502474880,0,1
1502482078,0,2
1502485681,3,2
1502489277,2,0
1502492887,2,0
1502496530,1,0
1502503701,0,2
1502507283,0,3
1502514488,3,2
1502518075,2,1
1502528890,1,0
1502532501,0,3
1502546892,3,0
1502550493,1,0
1502554086,1,0
1502561267,0,1
1502564883,0,2
1502568480,1,0
1502572073,1,0
1502582933,1,0
1502590082,1,2
1502593678,2,1
1502600901,0,1
1502604449,0,1
1502608080,0,2
1502611692,2,0
1502618877,0,5
1502622482,1,0
1502626081,4,2
1502633272,1,0
1502636873,2,1
1502640474,1,0
1502644093,2,0
1502647692,0,1
1502651283,0,1
1502654884,0,1
1502658464,0,3
1502662088,0,1
1502665678,1,1
1502669287,1,1
1502672873,0,3
1502676472,2,1
1502680066,1,2
1502687265,1,0
1502690861,0,1
1502694462,1,1
1502698069,0,1
1502701658,1,1
1502705282,1,0
1502712479,2,0
1502716044,0,1
1502719667,1,0
1502726882,2,0
1502734062,0,3
1502741262,0,2
1502744868,2,0
1502755693,1,0
1502759275,0,1
1502762881,1,0
1502770068,0,1
1502773670,1,0
1502777254,0,1
1502784460,1,0
1502795258,0,1
1502798873,1,1
1502806065,1,1
1502809670,1,0
1502813263,0,1
1502820468,0,2
1502824055,1,0
1502827663,0,2
1502838464,0,1
1502842090,5,0
1502845656,3,0
1502856491,0,2
1502863662,0,1
1502867252,4,0
1502874463,1,0
1502881639,0,1
1502888850,0,1
1502892459,0,1
1502896079,0,2
1502899658,5,0
1502906862,0,1
1502914072,0,3
1502917679,1,0
1502921284,2,2
1502928497,6,0
1502932081,2,1
1502935655,1,0
1502939261,2,2
1502942873,1,1
1502946478,1,0
1502953669,0,1
1502957259,1,1
1502960869,0,1
1502964471,0,1
1502968065,0,2
1502971678,1,2
1502975261,2,2
1502978863,1,0
1502982470,7,0
1502986067,1,0
1502993264,0,2
1502996862,2,4
1503000484,0,4
1503004078,2,0
1503007675,2,0
1503011265,1,2
1503014895,2,0
1503018516,0,1
1503022096,0,2
1503025712,0,5
1503029285,3,2
1503032888,1,0
1503043697,0,2
1503047283,1,0
1503050897,0,2
1503061686,1,0
1503068873,2,0
1503072490,0,1
1503079711,2,0
1503083296,0,1
1503090495,0,1
1503094070,2,1
1503101324,0,1
1503104887,1,1
1503108491,0,2
1503119295,3,1
1503126486,1,0
1503130085,1,0
1503133687,0,1
1503140882,1,1
1503144477,1,2
1503148083,2,1
1503155278,1,1
1503158904,0,1
1503162486,0,1
1503166097,1,0
1503169699,1,2
1503180469,3,2
1503184105,0,1
1503187726,2,0
1503194903,0,2
1503202117,1,1
1503205692,2,0
1503216490,1,0
1503220071,0,2
1503223688,0,1
1503227293,0,1
1503230893,0,1
1503234485,3,0
1503238086,0,1
1503241683,1,2
1503245308,1,0
1503248889,2,2
1503256086,2,2
1503263305,1,1
1503270494,1,2
1503274131,5,0
1503277689,1,0
1503284894,1,2
1503288501,3,1
1503292103,3,2
1503295701,1,1
1503299304,1,0
1503302893,1,1
1503306507,1,2
1503310101,1,0
1503313692,0,1
1503317290,2,3
1503320892,2,1
1503324486,2,1
1503331703,1,0
1503335301,1,2
1503338909,1,3
1503342497,1,0
1503346085,1,2
1503349708,0,1
1503353319,1,1
1503356888,1,2
1503360537,0,1
1503367685,2,1
1503371295,1,5
1503374911,1,0
1503382088,0,1
1503385704,0,1
1503389279,1,0
1503396478,0,1
1503403687,0,1
1503410905,1,1
1503428889,1,0
1503432482,1,1
1503436081,2,0
1503439702,0,1
1503443294,1,0
1503446928,0,1
