DateTime,AddedIPs,RemovedIPs
1502014148,6,6
1502017730,4,3
1502021336,2,2
1502024920,5,2
1502028550,4,2
1502032129,2,3
1502035751,2,1
1502039330,4,5
1502042937,3,2
1502046562,0,4
1502050113,6,4
1502053710,4,4
1502057332,1,9
1502060927,1,5
1502064549,10,5
1502068133,5,2
1502071733,5,2
1502075328,4,0
1502078935,2,2
1502082516,5,4
1502086142,1,2
1502089733,2,3
1502093351,2,7
1502096923,6,6
1502100532,7,5
1502104124,3,3
1502107773,3,0
1502111322,2,1
1502114935,3,8
1502118516,6,11
1502122131,5,1
1502129315,2,2
1502132951,2,17
1502136532,16,6
1502140126,5,3
1502143747,7,5
1502147325,8,1
1502150990,2,13
1502154573,1,1
1502158152,4,14
1502161749,5,10
1502165372,5,5
1502168954,1,7
1502172564,1,3
1502176147,20,5
1502179741,10,6
1502183343,4,1
1502186949,3,0
1502190556,4,16
1502194157,18,2
1502197742,0,4
1502201372,4,7
1502204984,18,0
1502208565,1,4
1502212162,6,1
1502215760,0,1
1502219357,2,5
1502222966,0,7
1502226560,3,10
1502230148,2,8
1502233752,13,6
1502237390,9,1
1502240935,4,4
1502244579,3,0
1502248160,3,8
1502251746,4,7
1502255347,5,4
1502258938,10,0
1502262560,1,0
1502266134,1,0
1502269751,3,2
1502273343,0,2
1502276951,2,2
1502280556,0,7
1502284146,3,5
1502287760,4,7
1502291361,12,2
1502294956,1,1
1502298579,0,2
1502302143,1,3
1502305751,0,13
1502309337,14,2
1502312975,3,0
1502316562,2,8
1502320144,5,1
1502323793,1,17
1502327338,17,4
1502330964,1,4
1502334556,2,8
1502338125,10,2
1502341750,11,3
1502345336,3,0
1502348946,1,0
1502352551,0,3
1502356156,1,9
1502359743,7,4
1502363343,3,5
1502366946,1,6
1502370544,5,2
1502374136,10,1
1502377739,3,1
1502381348,0,4
1502384932,0,1
1502388554,3,13
1502392151,4,6
1502395754,9,3
1502399325,8,2
1502402955,2,0
1502406524,2,1
1502410202,2,7
1502413762,9,1
1502417323,2,6
1502420953,0,2
1502424551,4,1
1502428152,2,0
1502431742,0,5
1502435361,3,5
1502442541,3,3
1502446170,6,1
1502449742,4,0
1502453357,0,3
1502456952,2,3
1502460546,2,3
1502464152,0,8
1502467744,6,2
1502471368,7,3
1502474946,2,1
1502478557,1,0
1502482147,1,2
1502485743,0,12
1502489341,12,6
1502492951,7,2
1502496593,1,2
1502500152,5,2
1502503763,1,2
1502507345,4,4
1502510955,0,3
1502514552,3,3
1502518138,2,3
1502521749,4,4
1502525339,2,1
1502528954,1,8
1502532564,1,3
1502536150,9,4
1502539748,2,4
1502543352,2,2
1502546956,5,2
1502550557,3,3
1502554151,5,1
1502557770,0,1
1502561327,0,4
1502564946,3,5
1502568544,3,3
1502575747,2,7
1502579355,9,2
1502582996,2,2
1502590147,7,2
1502593743,4,3
1502597345,1,4
1502600964,3,1
1502604512,1,3
1502608144,2,6
1502611755,3,5
1502615357,8,2
1502618940,3,1
1502622544,0,1
1502626144,0,4
1502629738,1,9
1502633336,6,2
1502636938,4,5
1502640537,2,4
1502644158,8,4
1502647755,6,3
1502651345,2,2
1502654946,4,3
1502658527,5,0
1502662151,0,5
1502665740,0,10
1502669350,10,0
1502672937,2,9
1502676535,8,1
1502680128,3,3
1502683728,4,7
1502687328,5,1
1502690924,2,2
1502694525,1,9
1502698134,10,0
1502701722,5,6
1502705345,4,0
1502708925,3,2
1502712544,4,1
1502716107,1,3
1502719732,1,1
1502723320,0,1
1502726945,0,6
1502730559,1,3
1502734126,1,13
1502737731,12,6
1502741326,13,3
1502744930,6,2
1502748541,0,1
1502752138,4,0
1502755753,0,6
1502759344,4,4
1502762943,3,2
1502766551,5,6
1502770131,3,1
1502773734,3,4
1502777317,1,4
1502780929,1,6
1502784523,9,3
1502788134,0,6
1502791739,8,4
