DateTime,Entries,UniqueIPs
1502006939,114,114
1502010543,117,117
1502014148,117,117
1502017730,118,118
1502021336,118,118
1502024920,121,121
1502028550,123,123
1502032129,122,122
1502035751,123,123
1502039330,122,122
1502042937,123,123
1502046562,119,119
1502050113,121,121
1502053710,121,121
1502057332,113,113
1502060927,109,109
1502064549,114,114
1502068133,117,117
1502071733,120,120
1502075328,124,124
1502078935,124,124
1502082516,125,125
1502086142,124,124
1502089733,123,123
1502093351,118,118
1502096923,118,118
1502100532,120,120
1502104124,120,120
1502107773,123,123
1502111322,124,124
1502114935,119,119
1502118516,114,114
1502122131,118,118
1502129315,118,118
1502132951,103,103
1502136532,113,113
1502140126,115,115
1502143747,117,117
1502147325,124,124
1502150990,113,113
1502154573,113,113
1502158152,103,103
1502161749,98,98
1502165372,98,98
1502168954,92,92
1502172564,90,90
1502176147,105,105
1502179741,109,109
1502183343,112,112
1502186949,115,115
1502190556,103,103
1502194157,119,119
1502197742,115,115
1502201372,112,112
1502204984,130,130
1502208565,127,127
1502212162,132,132
1502215760,131,131
1502219357,128,128
1502222966,121,121
1502226560,114,114
1502230148,108,108
1502233752,115,115
1502237390,123,123
1502240935,123,123
1502244579,126,126
1502248160,121,121
1502251746,118,118
1502255347,119,119
1502258938,129,129
1502262560,130,130
1502266134,131,131
1502269751,132,132
1502273343,130,130
1502276951,130,130
1502280556,123,123
1502284146,121,121
1502287760,118,118
1502291361,128,128
1502294956,128,128
1502298579,126,126
1502302143,124,124
1502305751,111,111
1502309337,123,123
1502312975,126,126
1502316562,120,120
1502320144,124,124
1502323793,108,108
1502327338,121,121
1502330964,118,118
1502334556,112,112
1502338125,120,120
1502341750,128,128
1502345336,131,131
1502348946,132,132
1502352551,129,129
1502356156,121,121
1502359743,124,124
1502363343,122,122
1502366946,117,117
1502370544,120,120
1502374136,129,129
1502377739,131,131
1502381348,127,127
1502384932,126,126
1502388554,116,116
1502392151,114,114
1502395754,120,120
1502399325,126,126
1502402955,128,128
1502406524,129,129
1502410202,124,124
1502413762,132,132
1502417323,128,128
1502420953,126,126
1502424551,129,129
1502428152,131,131
1502431742,126,126
1502435361,124,124
1502442541,124,124
1502446170,129,129
1502449742,133,133
1502453357,130,130
1502456952,129,129
1502460546,128,128
1502464152,120,120
1502467744,124,124
1502471368,128,128
1502474946,129,129
1502478557,130,130
1502482147,129,129
1502485743,117,117
1502489341,123,123
1502492951,128,128
1502496593,127,127
1502500152,130,130
1502503763,129,129
1502507345,129,129
1502510955,126,126
1502514552,126,126
1502518138,125,125
1502521749,125,125
1502525339,126,126
1502528954,119,119
1502532564,117,117
1502536150,122,122
1502539748,120,120
1502543352,120,120
1502546956,123,123
1502550557,123,123
1502554151,127,127
1502557770,126,126
1502561327,122,122
1502564946,120,120
1502568544,120,120
1502575747,115,115
1502579355,122,122
1502582996,122,122
1502590147,127,127
1502593743,128,128
1502597345,125,125
1502600964,127,127
1502604512,125,125
1502608144,121,121
1502611755,119,119
1502615357,125,125
1502618940,127,127
1502622544,126,126
1502626144,122,122
1502629738,114,114
1502633336,118,118
1502636938,117,117
1502640537,115,115
1502644158,119,119
1502647755,122,122
1502651345,122,122
1502654946,123,123
1502658527,128,128
1502662151,123,123
1502665740,113,113
1502669350,123,123
1502672937,116,116
1502676535,123,123
1502680128,123,123
1502683728,120,120
1502687328,124,124
1502690924,124,124
1502694525,116,116
1502698134,126,126
1502701722,125,125
1502705345,129,129
1502708925,130,130
1502712544,133,133
1502716107,131,131
1502719732,131,131
1502723320,130,130
1502726945,124,124
1502730559,122,122
1502734126,110,110
