DateTime,Entries,UniqueIPs
1502850781,289,289
1502852697,286,286
1502854587,281,281
1502856522,279,279
1502858431,278,278
1502860475,278,278
1502862275,279,279
1502864313,281,281
1502866118,283,283
1502868247,285,285
1502870183,290,290
1502871989,288,288
1502874098,293,293
1502875917,291,291
1502878142,293,293
1502880052,294,294
1502881993,292,292
1502883884,294,294
1502885826,294,294
1502887700,296,296
1502889673,295,295
1502891567,297,297
1502893464,299,299
1502895355,300,300
1502897341,296,296
1502899506,294,294
1502901650,297,297
1502903582,297,297
1502905473,298,298
1502907672,299,299
1502909583,301,301
1502911714,297,297
1502913709,309,309
1502915570,309,309
1502917480,310,310
1502919414,309,309
1502921357,306,306
1502923225,305,305
1502925185,308,308
1502927075,301,301
1502929006,300,300
1502930934,298,298
1502932855,295,295
1502934781,294,294
1502936674,298,298
1502938601,297,297
1502940515,299,299
1502942485,297,297
1502945349,302,302
1502947260,303,303
1502949213,304,304
1502951105,306,306
1502953038,306,306
1502954940,310,310
1502956892,312,312
1502959734,314,314
1502961663,316,316
1502963576,312,312
1502965494,314,314
1502967404,313,313
1502969320,312,312
1502971423,313,313
1502973394,312,312
1502975317,310,310
1502977254,310,310
1502979216,310,310
1502981337,308,308
1502983264,307,307
1502985169,309,309
1502987101,311,311
1502989300,307,307
1502991168,307,307
1502993097,307,307
1502995258,306,306
1502997186,308,308
1502999081,302,302
1503001029,297,297
1503002935,301,301
1503004873,304,304
1503006745,234,234
1503009209,239,239
1503011084,239,239
1503013019,238,238
1503014959,238,238
1503016881,240,240
1503018789,235,235
1503020681,235,235
1503022642,235,235
1503024555,239,239
1503026476,245,245
1503028363,253,253
1503030302,247,247
1503032207,249,249
1503034150,250,250
1503036133,246,246
1503037991,246,246
1503039904,245,245
1503041826,241,241
1503043757,236,236
1503045675,237,237
1503047589,236,236
1503051396,238,238
1503053336,242,242
1503055264,244,244
1503059149,245,245
1503061018,242,242
1503062941,246,246
1503064983,245,245
1503066799,247,247
1503068694,246,246
1503070621,247,247
1503072558,247,247
1503074474,246,246
1503076641,247,247
1503078519,249,249
1503080715,248,248
1503082589,246,246
1503084538,243,243
1503086459,242,242
1503088387,242,242
1503090294,241,241
1503092218,242,242
1503094130,240,240
1503096045,317,317
1503097983,1435,1435
1503099883,1701,1701
1503101820,1701,1701
1503103729,1703,1703
1503105653,1705,1705
1503107577,1705,1705
1503109477,1706,1706
1503111430,1701,1701
1503113327,1702,1702
1503115290,1699,1699
1503117158,1699,1699
1503119100,1699,1699
1503121005,1695,1695
1503122945,1697,1697
1503124834,1696,1696
1503126790,1695,1695
1503128694,1697,1697
1503130602,1690,1690
1503132492,1690,1690
1503134449,1697,1697
1503136344,1696,1696
1503138263,1696,1696
1503140182,1696,1696
1503142106,1696,1696
1503144099,1694,1694
1503145974,1695,1695
1503147918,1696,1696
1503149806,1694,1694
1503151777,1694,1694
1503153824,1694,1694
1503155784,1698,1698
1503157719,1697,1697
