DateTime,AddedIPs,RemovedIPs
1503257310,1,1
1503259846,16,6
1503260087,3,0
1503261162,8,9
1503262503,6,2
1503263378,5,5
1503264633,3,15
1503266207,1,1
1503267043,1,4
1503267277,2,0
1503268286,9,6
1503268937,10,0
1503270437,16,5
1503271229,9,0
1503272510,10,10
1503273440,3,3
1503274250,2,3
1503275439,10,5
1503276326,2,3
1503278934,6,8
1503279763,1,7
1503281437,3,3
1503282404,2,0
1503283244,10,6
1503284132,4,0
1503285044,2,3
1503286109,8,0
1503288634,13,3
1503289527,17,1
1503290450,20,3
1503291339,3,0
1503292253,1,2
1503293681,0,5
1503294633,2,1
1503295557,6,3
1503296437,5,0
1503296918,2,0
1503297769,7,0
1503298594,1,0
1503299444,2,1
1503300641,3,4
1503301540,1,0
1503303038,4,30
1503304239,13,14
1503305141,3,5
1503306642,6,8
1503307848,5,6
1503310243,6,5
1503311450,1,18
1503312151,8,28
1503315644,17,14
1503317449,17,8
1503318510,5,0
1503319357,5,5
1503320192,3,0
1503321048,2,11
1503322126,2,1
1503322955,3,7
1503324880,4,28
1503326250,1,7
1503327053,1,2
1503328241,1,1
1503330156,3,3
1503331377,1,9
1503332328,1,2
1503333330,25,7
1503334245,31,1
1503335443,21,3
1503337252,3,9
1503339272,1,1
1503340240,1,8
1503341135,0,13
1503342652,3,9
1503343710,2,0
1503344619,2,5
1503346487,1,2
1503347311,7,0
1503348150,11,11
1503348998,15,0
1503349851,14,20
1503351644,61,8
1503353446,23,1
1503355367,4,6
1503356928,2,4
1503358244,0,2
1503359143,2,0
1503360574,2,11
1503361846,0,20
1503362560,0,1
1503364249,5,13
1503365311,3,1
1503368069,6,6
1503369037,0,16
1503369944,2,1
1503371442,2,3
1503372509,3,0
1503374194,1,29
1503375051,1,1
1503376240,2,2
1503377144,2,6
1503379243,2,6
1503380539,1,3
1503382244,2,1
1503383308,1,0
1503384988,0,4
1503385843,3,4
1503386916,4,1
1503387853,3,3
1503389155,2,3
1503390056,3,1
1503390949,1,3
1503393274,12,3
1503394244,16,4
1503394959,1,6
1503396967,5,16
1503397848,1,4
1503398742,0,1
1503400242,2,4
1503401443,2,4
1503402355,2,9
1503403841,1,15
1503405048,0,10
1503406538,3,0
1503407439,1,9
1503408651,2,1
1503409348,2,0
1503410892,6,1
1503411752,0,1
1503413141,0,7
1503414468,6,3
1503414879,1,1
1503416742,4,22
1503418247,1,23
1503419311,2,1
1503420332,1,3
1503421408,1,0
1503422439,3,0
1503423271,2,2
1503424531,6,3
1503425444,2,25
1503425669,2,0
1503426646,3,28
1503429049,2,12
1503430109,5,1
1503430953,5,10
1503432591,2,4
1503433721,0,1
1503436542,4,10
1503438148,4,16
1503439854,3,8
1503440913,2,6
1503442857,2,24
1503443735,4,0
1503444512,2,0
1503445338,1,17
1503447039,0,2
1503448108,2,0
1503448967,1,9
1503449795,1,0
1503450640,1,5
1503452550,2,10
1503454247,1,6
