DateTime,AddedIPs,RemovedIPs
1503293629,213,152
1503294605,147,48
1503295534,132,107
1503296405,151,0
1503296886,55,1
1503297726,84,145
1503298567,110,0
1503299406,115,107
1503300606,213,118
1503301523,0,26962
1503303006,27178,0
1503304206,201,178
1503305105,119,47
1503306605,297,148
1503307817,149,219
1503308705,221,58
1503310207,333,109
1503311410,275,162
1503312126,123,94
1503312921,149,0
1503313806,198,113
1503315727,356,200
1503317406,312,92
1503318486,153,0
1503319326,136,134
1503320166,190,1
1503321006,114,155
1503322086,198,0
1503322926,182,130
1503324845,376,159
1503326203,244,156
1503327008,133,46
1503328205,185,107
1503330126,276,125
1503331313,183,152
1503332304,141,1
1503333305,170,127
1503334219,132,47
1503335405,150,118
1503337205,216,188
1503337325,16,0
1503339246,191,106
1503340192,72,147
1503341086,84,56
1503342605,134,101
1503343685,111,0
1503344597,78,190
1503346446,161,84
1503347286,77,1
1503348126,81,185
1503348967,77,0
1503349805,85,123
1503350705,87,1
1503351606,109,190
1503353406,178,88
1503354210,87,1
1503355206,90,181
1503355326,10,0
1503356904,159,136
1503358215,118,161
1503359106,111,47
1503360552,160,154
1503361807,150,218
1503362526,85,75
1503364206,207,175
1503365286,121,0
1503368046,357,427
1503369010,118,209
1503369905,117,75
1503371405,183,162
1503372485,156,0
1503374166,249,308
1503375006,104,181
1503376207,155,198
1503377105,106,81
1503378332,135,188
1503379206,98,2
1503379687,61,1
1503380516,94,297
1503382206,206,166
1503383285,139,0
1503384966,207,299
1503385805,102,161
1503386886,159,2
1503387819,121,245
1503389132,209,137
1503390013,136,6
1503390915,134,209
1503393246,331,233
1503394206,239,224
1503394926,144,65
1503396044,188,162
1503396906,93,0
1503397807,115,224
1503398706,94,71
1503400206,194,239
1503401407,144,219
1503402306,124,85
1503402966,79,0
1503403805,104,230
1503405007,140,210
1503406506,190,3
1503407406,122,270
1503408606,135,238
1503409326,93,64
1503410861,202,157
1503411716,124,0
1503412086,40,0
1503413106,119,220
1503414446,144,275
1503414845,42,0
1503415873,98,189
1503416705,92,103
1503418205,165,171
1503419287,119,0
1503420306,104,303
1503421368,89,191
1503422405,110,0
1503423215,91,167
1503424505,130,85
1503425405,70,191
1503425646,21,0
1503426615,97,215
1503429005,264,580
1503430085,112,0
1503430925,85,262
1503432551,134,174
1503433686,161,0
1503435638,225,466
1503436505,93,0
1503438126,194,284
1503439806,182,143
1503440886,115,1
1503441726,106,236
1503442800,131,106
1503443604,72,14
1503444485,90,0
1503445315,88,270
1503447006,192,130
1503448085,131,1
1503448927,91,316
1503449768,95,1
1503450606,121,160
1503452526,239,281
1503454205,229,190
1503455406,150,203
1503456306,134,90
1503457805,232,178
1503459726,266,364
1503461407,266,207
1503462485,151,0
1503463327,93,366
1503465006,232,183
1503466085,128,0
1503467106,137,350
1503468605,175,141
1503470527,250,394
1503472213,269,189
1503473234,161,1
1503474137,120,367
1503475806,216,284
1503476705,93,0
1503477607,117,451
1503478507,97,1
1503479406,172,305
1503479645,59,0
1503480607,178,434
1503481658,222,126
1503482614,199,268
1503483606,237,1
1503484927,286,365
1503486845,435,420
1503487710,146,0
1503489008,233,289
1503489895,219,419
1503490707,223,1
1503491285,177,0
1503492533,257,541
1503493806,144,295
1503495305,212,374
1503497312,240,337
1503499248,203,353
1503499336,7,0
1503501404,0,28391
1503502206,28250,0
1503503105,102,117
1503504606,178,193
1503505552,100,0
1503506536,97,289
1503508059,178,151
1503509742,394,140
1503510605,187,60
1503510965,69,0
1503511814,189,136
1503512654,107,1
1503515405,383,330
1503516867,197,164
1503517943,133,67
1503519246,184,128
1503520206,133,198
1503520926,84,86
1503522606,188,144
1503523809,136,179
1503524705,118,63
1503525366,75,0
1503526206,110,130
1503528127,237,242
1503529713,203,150
1503531006,153,203
1503531905,89,60
1503532566,76,0
1503533406,99,155
1503534485,138,0
1503535506,130,296
1503536595,166,161
1503537452,125,0
1503538815,211,313
1503539665,108,1
1503540606,144,164
1503542526,306,366
1503543547,138,175
1503544506,153,13
1503545405,156,227
1503546305,154,68
1503547253,166,140
1503548064,143,1
1503548894,134,1
1503549905,177,298
1503551336,222,148
1503552486,232,0
1503553505,192,312
1503555005,325,166
1503556926,292,322
1503558184,180,160
1503559206,151,0
1503560105,168,248
1503561137,142,74
1503563095,296,191
1503564006,117,415
1503564907,130,0
1503565731,99,174
1503566886,156,1
1503567906,90,295
1503569645,173,148
1503570749,145,212
1503572001,143,91
1503573006,143,142
1503574087,146,0
1503575106,125,207
1503576140,109,234
1503577206,117,0
1503578405,149,297
1503579221,100,0
1503580058,81,182
1503581281,105,0
1503582125,93,283
1503584046,208,135
1503584916,85,1
1503586566,193,229
1503587406,102,139
1503589326,498,262
1503591246,414,123
1503592085,99,0
1503592914,76,238
1503595205,340,114
1503596106,173,179
1503597305,175,67
1503599068,231,130
1503600006,91,253
1503600905,88,0
1503601806,89,117
1503603006,163,201
1503603905,122,57
1503605405,169,161
1503606517,113,0
1503607326,115,288
1503609245,239,135
1503610506,170,192
1503611538,106,74
1503611765,26,0
1503612604,96,147
1503613692,142,0
1503615305,234,247
1503616205,160,146
1503616445,44,0
1503617407,160,210
1503618305,157,64
1503619806,281,170
1503621906,332,298
1503622845,142,167
1503623706,161,0
1503624905,236,225
1503627245,319,263
1503628043,111,0
1503629766,237,342
1503630606,91,183
1503631807,203,240
1503632706,129,60
1503634206,239,171
1503636006,227,313
1503636966,128,2
1503637818,134,127
1503639885,285,296
1503640565,84,0
1503641406,109,200
1503641646,45,0
1503642627,124,267
1503643327,121,88
1503645013,246,162
1503645906,97,0
1503647263,164,295
1503649207,240,151
1503650370,106,458
1503652213,304,256
1503653286,191,0
1503654966,377,550
1503655806,141,274
1503656896,166,0
1503657906,126,353
1503658991,142,353
1503660006,172,1
1503660486,88,0
1503661335,137,667
1503662450,195,167
1503663247,129,1
1503664101,144,0
1503665106,150,240
1503666621,253,238
1503667685,159,0
1503669647,283,397
1503670506,101,1
1503671447,99,189
1503672307,125,60
1503673383,124,149
1503674406,125,0
1503675613,160,183
1503676565,167,0
1503677406,109,194
1503678638,166,420
1503680105,219,164
1503681012,152,266
1503682086,165,1
1503683478,222,284
1503684537,194,284
1503685696,162,0
1503686707,150,319
1503688449,252,160
1503690133,192,265
1503691243,145,223
1503692107,108,0
1503693324,151,187
1503695225,256,247
1503695652,53,0
1503696579,122,212
1503697338,98,76
1503699006,202,149
1503700926,233,257
1503702610,203,142
1503704534,195,287
1503705480,93,0
1503706506,100,173
1503707705,109,223
1503708905,138,91
1503709816,81,164
1503711729,180,347
1503713407,171,173
1503714493,101,0
1503715326,93,419
1503716251,82,0
1503717245,105,232
1503719705,227,448
1503720606,94,238
1503722527,207,509
1503723367,100,0
1503724207,104,246
1503725085,95,0
1503726007,110,404
1503726965,119,0
1503727806,90,176
1503728046,15,0
1503729016,69,255
