DateTime,AddedIPs,RemovedIPs
1503254697,4,4
1503256297,3,5
1503257304,2,0
1503258418,2,7
1503260077,5,5
1503261080,0,4
1503261934,2,1
1503263321,2,3
1503264624,2,2
1503266162,4,5
1503267038,0,2
1503268220,4,2
1503268931,2,0
1503270396,1,2
1503271223,5,0
1503272452,3,3
1503274245,2,4
1503275433,3,6
1503276318,1,2
1503278928,8,4
1503279755,4,4
1503281432,8,4
1503282399,2,0
1503283238,8,5
1503284127,6,1
1503285039,2,6
1503286104,4,1
1503288629,9,16
1503289512,4,1
1503290444,6,6
1503291334,3,0
1503292247,5,5
1503293669,3,3
1503294628,5,2
1503295552,5,6
1503296432,1,0
1503296913,1,0
1503297754,1,7
1503298587,2,0
1503299439,2,5
1503300635,3,6
1503301534,4,3
1503303032,5,1
1503304233,3,6
1503305135,1,0
1503306636,7,7
1503307842,4,5
1503308727,2,2
1503310237,1,7
1503311443,5,2
1503312145,0,2
1503314438,3,6
1503315747,1,1
1503317443,2,2
1503319351,2,4
1503320185,5,1
1503321043,1,0
1503322120,2,0
1503322950,0,4
1503324874,3,2
1503326223,3,1
1503327046,3,0
1503328234,3,4
1503330151,1,1
1503331348,3,1
1503333324,1,0
1503334239,1,2
1503335438,3,3
1503337242,6,5
1503339266,3,3
1503340231,1,0
1503341111,2,1
1503342647,3,1
1503343703,1,2
1503344614,0,1
1503346481,6,2
1503347305,6,1
1503348144,0,7
1503348992,2,0
1503349845,3,1
1503350722,1,0
1503351638,2,8
1503353440,4,1
1503355361,3,6
1503356923,3,4
1503358238,4,4
1503359137,1,2
1503360568,4,5
1503361840,6,2
1503362555,3,2
1503364243,6,4
1503365305,1,1
1503368064,6,5
1503369032,6,5
1503369939,3,0
1503371436,5,2
1503372504,4,1
1503374189,3,4
1503375046,2,3
1503376233,3,9
1503377138,2,3
1503379238,7,2
1503379704,1,1
1503380533,6,7
1503382239,10,2
1503383302,5,1
1503384983,1,8
1503385838,3,2
1503386908,2,0
1503387840,4,6
1503389150,0,3
1503390046,6,0
1503390943,5,4
1503393268,6,4
1503394239,2,7
1503394954,2,0
1503396955,2,6
1503397840,5,2
1503398735,4,2
1503400237,3,4
1503401437,3,6
1503402349,5,2
1503403836,7,1
1503405040,3,2
1503406533,3,0
1503407433,1,2
1503408645,2,0
1503409343,1,4
1503410880,4,3
1503411746,3,0
1503412105,1,0
1503413136,4,3
1503414463,6,5
1503415904,2,1
1503416737,1,2
1503418242,1,2
1503419305,0,1
1503420326,1,6
1503422434,2,0
1503423247,1,6
1503425663,1,4
1503426640,0,2
1503429044,4,8
1503430948,2,1
1503432584,3,2
1503433716,3,0
1503435658,2,3
1503436537,1,0
1503438143,2,8
1503439849,6,1
1503440907,2,0
1503441746,1,7
1503442849,3,1
1503443729,0,2
1503444506,0,3
1503445332,2,9
1503447034,4,5
1503448103,4,0
1503448961,0,8
1503449786,2,1
1503450634,0,2
1503452544,5,10
1503454241,2,6
1503455451,1,7
1503456335,1,3
1503457830,1,7
1503459754,10,8
1503461443,5,7
1503462504,4,1
1503463346,2,7
1503465039,5,4
1503466106,4,1
1503467132,7,3
1503468675,3,1
1503470550,1,7
1503472241,5,4
1503473259,1,2
1503474161,4,7
1503475837,4,3
1503477650,5,7
1503478535,3,1
1503479440,2,3
1503480642,0,5
1503481677,7,3
1503482637,7,2
1503483643,9,1
1503484956,6,2
1503486872,8,3
1503487728,4,0
1503489033,3,4
1503489917,5,5
1503490731,3,0
1503491305,3,0
1503492555,10,3
1503493835,2,1
1503495323,4,5
1503497330,6,7
1503499369,3,3
1503501407,5,6
1503502232,1,1
1503503135,4,0
1503504641,5,3
1503505574,2,2
1503506567,4,5
1503508076,13,1
1503509759,3,3
1503510988,2,1
1503511844,3,6
1503512675,1,0
1503515433,8,3
1503516885,2,5
1503517960,3,3
1503519278,2,3
1503520239,1,3
1503520945,1,2
1503522642,2,1
1503523840,3,6
1503524731,3,1
1503525385,1,1
1503526242,0,5
1503528147,4,5
1503529749,3,1
1503531038,1,4
1503531925,1,0
1503532583,2,0
1503533447,2,4
1503534502,3,1
1503535534,3,3
1503536624,2,5
1503538847,1,10
1503540643,2,5
1503542560,11,11
1503543576,2,3
1503544539,3,0
1503545436,1,5
1503546330,2,1
1503547303,2,2
1503548109,1,0
1503548913,2,0
1503549935,3,9
1503551364,3,6
1503552509,8,1
1503553547,5,11
1503555048,3,2
1503556946,3,11
1503558227,4,3
1503559229,2,1
1503560130,3,9
1503561163,4,2
1503563140,4,1
1503564042,1,3
1503564953,5,1
1503565763,3,2
1503566915,4,1
1503567936,4,8
1503570788,14,4
1503573043,7,5
1503574112,3,0
1503575145,3,7
1503576182,3,5
1503577245,3,0
1503578437,1,7
1503579238,1,1
1503580075,1,4
1503581298,1,1
1503582142,2,5
1503584073,2,7
1503584935,4,0
1503586584,4,4
1503587436,2,1
1503589344,4,2
1503591264,9,0
1503592112,2,0
1503592935,2,3
1503595238,1,4
1503597326,4,1
1503598249,1,3
1503599141,1,1
1503600048,0,5
1503600923,1,1
1503603034,3,3
1503605433,1,3
1503606535,4,0
1503607347,0,2
1503609271,3,1
1503610530,1,0
1503611556,1,1
1503612637,1,2
1503613730,1,2
1503615324,5,2
1503616231,4,4
1503617428,0,7
1503619838,5,3
1503621940,7,9
1503622874,3,4
1503623741,5,0
1503624931,4,0
1503627269,10,3
1503628070,2,1
1503629792,4,10
1503630638,4,2
1503631843,2,2
1503632730,4,3
