DateTime,Entries,UniqueIPs
1503261067,2079,2079
1503261933,2084,2084
1503263304,2084,2084
1503266153,2084,2084
1503267037,2080,2080
1503267271,2083,2083
1503268201,2077,2077
1503270388,2078,2078
1503271222,2092,2092
1503272445,2132,2132
1503273388,2132,2132
1503274244,2121,2121
1503275432,2121,2121
1503276311,2124,2124
1503277835,2119,2119
1503278928,2124,2124
1503279755,2118,2118
1503281431,2113,2113
1503282398,2118,2118
1503283238,2108,2108
1503284126,2116,2116
1503285038,2111,2111
1503286103,2118,2118
1503288628,2113,2113
1503289507,2118,2118
1503290443,2106,2106
1503291333,2110,2110
1503292247,2106,2106
1503293663,2107,2107
1503294628,2107,2107
1503295551,2100,2100
1503296431,2107,2107
1503296912,2109,2109
1503297752,2101,2101
1503298586,2104,2104
1503299438,2099,2099
1503300635,2100,2100
1503301533,2104,2104
1503303031,2113,2113
1503304232,2111,2111
1503305134,2118,2118
1503306635,2133,2133
1503307841,2113,2113
1503308726,2120,2120
1503310236,2139,2139
1503311442,2138,2138
1503312144,2142,2142
1503314437,2148,2148
1503315747,2140,2140
1503317442,2148,2148
1503318503,2160,2160
1503319350,2168,2168
1503320185,2179,2179
1503321042,2176,2176
1503322119,2183,2183
1503322949,2177,2177
1503324873,2190,2190
1503326222,2181,2181
1503327045,2195,2195
1503328234,2192,2192
1503330150,2202,2202
1503331342,2203,2203
1503332321,2203,2203
1503333323,2209,2209
1503334239,2216,2216
1503335437,2218,2218
1503337241,2212,2212
1503337357,2214,2214
1503339265,2220,2220
1503340229,2220,2220
1503341112,2221,2221
1503342646,2226,2226
1503343702,2237,2237
1503344613,2226,2226
1503346480,2235,2235
1503347304,2250,2250
1503348143,2244,2244
1503348991,2261,2261
1503349845,2322,2322
1503350722,2345,2345
1503351637,2333,2333
1503353439,2329,2329
1503355360,2332,2332
1503356922,2324,2324
1503358237,2315,2315
1503359136,2318,2318
1503361839,2316,2316
1503362554,2315,2315
1503364242,2307,2307
1503365304,2314,2314
1503368063,2297,2297
1503369031,2281,2281
1503369938,2286,2286
1503371436,2281,2281
1503372504,2278,2278
1503374188,2277,2277
1503375045,2271,2271
1503376232,2276,2276
1503377137,2326,2326
1503379237,2331,2331
1503379703,2332,2332
1503380532,2316,2316
1503382238,2319,2319
1503383302,2329,2329
1503384982,2340,2340
1503385837,2342,2342
1503386907,2353,2353
1503387838,2339,2339
1503389149,2367,2367
1503390043,2390,2390
1503390943,2395,2395
1503393267,2384,2384
1503394238,2399,2399
1503394953,2424,2424
1503396954,2487,2487
1503397838,2485,2485
1503398734,2492,2492
1503400236,2520,2520
1503401436,2523,2523
1503402348,2547,2547
1503402985,2552,2552
1503403835,2557,2557
1503405038,2553,2553
1503406532,2574,2574
1503407433,2580,2580
1503408644,2584,2584
1503409342,2582,2582
1503410879,2596,2596
1503411745,2601,2601
1503412104,2607,2607
1503413135,2621,2621
1503414462,2621,2621
1503414873,2622,2622
1503415903,2622,2622
1503416736,2629,2629
1503418242,2645,2645
1503419305,2664,2664
1503420325,2672,2672
1503421394,2677,2677
1503422433,2702,2702
1503423248,2707,2707
1503425663,2721,2721
1503426640,2719,2719
1503429043,2441,2441
1503430103,2450,2450
1503430947,2443,2443
1503432585,2449,2449
1503433715,2470,2470
1503435657,2466,2466
1503436536,2470,2470
1503438142,2471,2471
1503439848,2472,2472
1503440906,2483,2483
1503441746,2481,2481
1503442846,2484,2484
1503443723,2493,2493
1503444506,2498,2498
1503445331,2496,2496
1503447033,2494,2494
1503448102,2502,2502
1503448960,2493,2493
1503449785,2503,2503
1503450633,2495,2495
1503452544,2492,2492
1503454241,2503,2503
1503455450,2504,2504
1503456334,2506,2506
1503457829,2509,2509
1503459754,2510,2510
1503461442,2523,2523
1503462504,2531,2531
1503463345,2520,2520
1503465038,2528,2528
1503466105,2541,2541
1503467131,2529,2529
1503468667,2536,2536
1503470549,2546,2546
1503472241,2555,2555
1503473258,2567,2567
1503474160,2552,2552
1503475837,2559,2559
1503476726,2565,2565
1503477649,2564,2564
1503478534,2567,2567
1503479439,2557,2557
1503479682,2559,2559
1503480642,2554,2554
1503481676,2557,2557
1503482636,2551,2551
1503483642,2568,2568
1503484955,2567,2567
1503486871,2576,2576
1503487728,2579,2579
1503489032,2581,2581
1503489915,2559,2559
1503490730,2564,2564
1503491304,2580,2580
1503492554,2578,2578
1503493835,2583,2583
1503495322,2593,2593
1503497330,2604,2604
1503498472,2621,2621
1503499368,2616,2616
1503501406,2617,2617
1503502231,2611,2611
1503503135,2611,2611
1503504640,2607,2607
1503505573,2619,2619
1503506566,2612,2612
1503508075,2635,2635
1503509758,2632,2632
1503510988,2633,2633
1503511843,2618,2618
1503512674,2635,2635
1503515432,2633,2633
1503516885,2630,2630
1503517959,2634,2634
1503519278,2639,2639
1503520239,2669,2669
1503520944,2663,2663
1503522641,2669,2669
1503523839,2657,2657
1503524731,2661,2661
1503525384,2670,2670
1503526241,2671,2671
1503528146,2675,2675
1503529745,2681,2681
1503531037,2670,2670
1503531925,2668,2668
1503532582,2670,2670
1503533446,2666,2666
1503534501,2675,2675
1503535533,2669,2669
1503536620,2674,2674
1503537470,2674,2674
1503538845,2668,2668
1503539689,2681,2681
1503540642,2677,2677
1503542560,2686,2686
1503543575,2689,2689
1503544538,2697,2697
1503545435,2686,2686
1503546329,2694,2694
1503547300,2691,2691
1503548105,2703,2703
1503548912,2706,2706
1503549934,2710,2710
1503551364,2706,2706
1503552509,2706,2706
1503553546,2701,2701
1503555047,2703,2703
1503556945,2700,2700
1503558226,2703,2703
1503559224,2702,2702
1503560129,2689,2689
1503561161,2696,2696
1503563139,2708,2708
1503564041,2695,2695
1503564952,2708,2708
1503565758,2694,2694
1503566914,2707,2707
1503567936,2688,2688
1503570786,2689,2689
1503573042,2701,2701
1503574111,2717,2717
1503575144,2706,2706
1503576177,2701,2701
1503577244,2731,2731
1503578436,2710,2710
1503579238,2719,2719
1503580074,2713,2713
1503581298,2729,2729
1503582141,2731,2731
1503584072,2729,2729
1503584935,2730,2730
1503586583,2725,2725
1503587436,2714,2714
1503589344,2703,2703
1503591263,2709,2709
1503592111,2718,2718
1503592935,2691,2691
1503595237,2717,2717
1503597325,2706,2706
1503598248,2698,2698
1503599113,2715,2715
1503600047,2701,2701
1503600922,2709,2709
1503601836,2706,2706
1503603033,2701,2701
1503603927,2689,2689
1503605432,2697,2697
1503606535,2714,2714
1503607346,2708,2708
1503609270,2720,2720
1503610530,2725,2725
1503611555,2723,2723
1503611788,2728,2728
1503612636,2723,2723
1503613729,2750,2750
1503615323,2769,2769
1503616230,2781,2781
1503616462,2785,2785
1503617427,2772,2772
1503618334,2773,2773
1503619837,2766,2766
1503621940,2752,2752
1503622866,2750,2750
1503623740,2750,2750
1503624931,2751,2751
1503627268,2746,2746
1503628069,2749,2749
1503629791,2745,2745
1503630637,2748,2748
1503631841,2736,2736
1503632730,2734,2734
1503634247,2725,2725
1503636041,2717,2717
1503636990,2716,2716
1503637857,2718,2718
1503639033,2721,2721
1503639924,2715,2715
1503640592,2723,2723
1503641439,2720,2720
1503641677,2718,2718
1503642687,2711,2711
1503643348,2712,2712
1503645055,2717,2717
1503645924,2723,2723
1503647308,2720,2720
1503649256,2725,2725
1503650406,2708,2708
1503652264,2702,2702
1503653306,2721,2721
1503654993,2706,2706
1503655845,2685,2685
1503656985,2682,2682
1503657942,2693,2693
1503659023,2675,2675
1503660030,2686,2686
1503660505,2685,2685
1503661384,2655,2655
1503663285,2664,2664
1503664141,2676,2676
1503665135,2664,2664
1503666667,2651,2651
1503667703,2665,2665
1503668757,2634,2634
1503669682,2644,2644
1503671497,2646,2646
1503672353,2648,2648
1503673418,2634,2634
1503674429,2650,2650
1503675649,2648,2648
1503676585,2661,2661
1503677434,2647,2647
1503678685,2632,2632
1503680122,2640,2640
1503681053,2624,2624
1503682117,2632,2632
1503683522,2617,2617
1503684567,2595,2595
1503685743,2607,2607
1503686736,2592,2592
1503688487,2600,2600
1503690188,2601,2601
1503691264,2612,2612
1503692146,2628,2628
1503693381,2638,2638
1503695272,2639,2639
1503695687,2636,2636
1503696597,2632,2632
1503697378,2637,2637
1503699034,2640,2640
1503700960,2656,2656
1503702659,2665,2665
1503704576,2670,2670
1503705535,2674,2674
1503706540,2682,2682
1503707726,2676,2676
1503708932,2690,2690
1503709861,2685,2685
1503711752,2660,2660
1503713440,2669,2669
1503714537,2682,2682
1503715342,2676,2676
1503716267,2687,2687
1503719723,2685,2685
1503720649,2687,2687
1503722559,2692,2692
1503723396,2710,2710
1503724271,2705,2705
1503725103,2711,2711
1503726046,2704,2704
1503726985,2713,2713
1503727839,2714,2714
1503728064,2718,2718
1503729056,2705,2705
1503729944,2709,2709
1503730588,2719,2719
1503731435,2715,2715
1503732517,2727,2727
1503733558,2701,2701
1503735039,2692,2692
1503736263,2678,2678
1503737144,2676,2676
1503738084,2681,2681
1503738917,2697,2697
1503739842,2692,2692
1503740565,2702,2702
1503741661,2690,2690
1503742464,2695,2695
1503743317,2708,2708
1503744992,2694,2694
1503745860,2676,2676
1503747030,2664,2664
1503747982,2677,2677
1503749441,2683,2683
1503751349,2681,2681
1503753052,2669,2669
1503754107,2681,2681
1503754978,2666,2666
1503755943,2667,2667
1503756775,2674,2674
1503758550,2661,2661
1503760252,2653,2653
1503760499,2652,2652
1503761423,2650,2650
1503762353,2652,2652
1503762994,2666,2666
1503763839,2654,2654
1503765045,2636,2636
1503765940,2634,2634
1503766585,2643,2643
1503767417,2642,2642
1503768518,2651,2651
1503769534,2638,2638
1503770681,2647,2647
1503771637,2646,2646
1503772751,2627,2627
1503774003,2626,2626
1503774874,2629,2629
1503776726,2618,2618
1503777840,2622,2622
1503778837,2628,2628
1503779303,2631,2631
1503780159,2607,2607
1503780993,2618,2618
1503781834,2609,2609
1503783035,2596,2596
1503784379,2594,2594
1503786643,2570,2570
1503787536,2568,2568
1503788356,2566,2566
1503789268,2570,2570
1503790102,2575,2575
1503791134,2565,2565
1503792088,2562,2562
1503793706,2581,2581
1503796254,2571,2571
1503796470,2570,2570
1503798143,2563,2563
1503799836,2570,2570
1503800699,2579,2579
1503803049,2564,2564
1503804036,2574,2574
1503804921,2567,2567
1503806932,2569,2569
1503807935,2570,2570
1503808840,2548,2548
1503809812,2555,2555
1503811830,2539,2539
1503812738,2534,2534
1503813398,2536,2536
1503814249,2525,2525
1503815286,2532,2532
1503816145,2514,2514
1503817401,2502,2502
1503818437,2517,2517
1503819639,2518,2518
1503819751,2519,2519
1503821664,2524,2524
1503822585,2516,2516
1503823347,2515,2515
1503825348,2520,2520
1503826956,2518,2518
1503828873,2516,2516
1503829884,2511,2511
1503830734,2508,2508
1503833036,2529,2529
1503834705,2511,2511
1503835841,2512,2512
1503836690,2517,2517
1503837642,2497,2497
1503838587,2507,2507
1503839439,2497,2497
1503840513,2500,2500
1503841351,2243,2243
1503843034,2200,2200
1503844824,2167,2167
1503846634,2169,2169
