DateTime,Entries,UniqueIPs
1502975902,129,129
1502976930,127,127
1502977382,125,125
1502980960,127,127
1502982912,128,128
1502984589,127,127
1502986471,126,126
1502988878,191,191
1502990091,697,697
1502991330,1145,1145
1502993445,1114,1114
1502994414,1109,1109
1502995236,1106,1106
1502996044,1102,1102
1502997065,1098,1098
1502997294,1097,1097
1502998228,1094,1094
1502999168,1091,1091
1503000646,1084,1084
1503001583,1080,1080
1503002435,1076,1076
1503003403,1076,1076
1503004255,1073,1073
1503005303,1070,1070
1503006332,1069,1069
1503007401,1068,1068
1503008991,1065,1065
1503009937,1063,1063
1503011483,1061,1061
1503015037,1059,1059
1503018644,1058,1058
1503019602,1058,1058
1503021361,1054,1054
1503022246,1051,1051
1503024337,1050,1050
1503026093,1049,1049
1503027045,1048,1048
1503029664,1044,1044
1503031185,1043,1043
1503032130,1044,1044
1503033074,1043,1043
1503034241,1041,1041
1503035192,1035,1035
1503036650,1023,1023
1503037781,1022,1022
1503038551,1019,1019
1503042187,1015,1015
1503043366,1012,1012
1503045192,1011,1011
1503046207,1011,1011
1503047469,1010,1010
1503048634,1007,1007
1503051337,1006,1006
1503052336,1007,1007
1503053411,1008,1008
1503054701,1006,1006
1503055513,1007,1007
1503056595,1006,1006
1503057394,1005,1005
1503059383,1006,1006
1503060332,1005,1005
1503061836,1008,1008
1503063070,1007,1007
1503063932,1006,1006
1503065433,1006,1006
1503066468,1007,1007
1503069301,1005,1005
1503070241,1004,1004
1503072871,1005,1005
1503073741,1004,1004
1503075388,1005,1005
1503076280,1007,1007
1503077134,1006,1006
1503081629,1005,1005
1503082540,1006,1006
1503083480,1005,1005
1503084323,1003,1003
1503085185,1003,1003
1503087268,1004,1004
1503088340,1003,1003
1503089402,1000,1000
1503090393,1003,1003
1503091229,1002,1002
1503091703,1004,1004
1503092775,1002,1002
1503095489,1004,1004
1503096153,1002,1002
1503097869,1002,1002
1503101435,999,999
1503102950,999,999
1503103828,1000,1000
1503106490,994,994
1503107486,993,993
1503108869,994,994
1503110552,992,992
1503113725,993,993
1503114677,995,995
1503117756,995,995
1503120633,995,995
1503121574,994,994
1503123032,992,992
1503124826,991,991
1503125730,992,992
1503127617,993,993
1503128450,992,992
1503129344,994,994
1503130247,995,995
1503134724,994,994
1503135661,994,994
1503136552,995,995
1503137437,996,996
1503137684,995,995
1503139530,996,996
1503140185,995,995
1503143721,996,996
1503144629,995,995
1503151074,993,993
1503152064,991,991
1503152978,990,990
1503153927,990,990
1503155709,990,990
1503158681,823,823
1503159666,822,822
1503160847,134,134
1503162606,123,123
1503163715,124,124
1503164772,125,125
1503168160,126,126
1503168988,127,127
1503169875,127,127
1503173442,126,126
1503177085,127,127
1503178110,128,128
1503179419,126,126
1503180639,127,127
1503186205,126,126
1503187839,126,126
1503189753,127,127
1503190781,128,128
1503191787,130,130
1503194170,127,127
1503195264,128,128
1503196260,127,127
1503204331,128,128
1503205896,127,127
1503206902,126,126
1503209064,125,125
1503209896,126,126
1503210801,125,125
1503212953,124,124
1503214109,125,125
1503216641,124,124
1503221431,123,123
1503223383,121,121
1503224945,122,122
1503225773,121,121
1503227764,120,120
1503228927,119,119
1503231043,118,118
1503232837,118,118
1503234980,117,117
1503235834,116,116
1503238246,119,119
1503240147,120,120
1503245436,120,120
1503246377,119,119
1503247358,118,118
1503249094,117,117
1503252647,118,118
1503254698,117,117
1503256308,118,118
1503258429,116,116
1503260078,118,118
1503261096,115,115
1503263330,116,116
1503264627,116,116
1503266171,115,115
1503267038,117,117
1503268240,116,116
1503270396,116,116
1503272461,118,118
1503273405,120,120
1503274245,119,119
1503278929,120,120
1503279757,119,119
1503283239,117,117
1503285039,116,116
1503288629,113,113
1503291334,114,114
1503292247,115,115
1503293676,114,114
1503295552,113,113
1503297758,113,113
1503299439,113,113
1503300636,114,114
1503301534,115,115
1503303032,116,116
1503304234,116,116
1503307842,115,115
1503308727,114,114
1503314438,113,113
1503317443,115,115
1503318504,116,116
1503319351,115,115
1503321043,116,116
1503322950,115,115
1503324874,115,115
1503326233,117,117
