DateTime,Entries,UniqueIPs
1503261919,13510,13510
1503263260,13507,13507
1503264613,13495,13495
1503266131,13546,13546
1503267026,13519,13519
1503268125,13568,13568
1503270368,13500,13500
1503271214,13537,13537
1503272414,13512,13512
1503273355,13558,13558
1503274227,13490,13490
1503275422,13453,13453
1503277828,13471,13471
1503278920,13524,13524
1503279736,13440,13440
1503281424,13468,13468
1503282386,13517,13517
1503283220,13415,13415
1503284114,13464,13464
1503285027,13448,13448
1503286094,13496,13496
1503288620,13466,13466
1503289497,13523,13523
1503290424,13451,13451
1503291315,13504,13504
1503292231,13485,13485
1503293638,13473,13473
1503294617,13498,13498
1503295544,13481,13481
1503296420,13527,13527
1503296900,13556,13556
1503297741,13494,13494
1503298578,13539,13539
1503299426,13510,13510
1503300621,13499,13499
1503303023,13521,13521
1503304216,13464,13464
1503305115,13468,13468
1503306624,13506,13506
1503307830,13481,13481
1503308714,13507,13507
1503310223,13556,13556
1503311426,13523,13523
1503312136,13515,13515
1503314412,13608,13608
1503315737,13565,13565
1503317428,13612,13612
1503318495,13647,13647
1503319342,13605,13605
1503320176,13642,13642
1503321028,13575,13575
1503322103,13639,13639
1503322942,13610,13610
1503324862,13596,13596
1503326213,13587,13587
1503327024,13595,13595
1503328226,13597,13597
1503330140,13612,13612
1503331325,13563,13563
1503332313,13610,13610
1503333315,13576,13576
1503334229,13592,13592
1503335429,13571,13571
1503337220,13529,13529
1503337340,13535,13535
1503339256,13542,13542
1503340209,13507,13507
1503341095,13530,13530
1503342626,13538,13538
1503343694,13613,13613
1503344605,13530,13530
1503346462,13572,13572
1503347295,13599,13599
1503348135,13530,13530
1503348981,13581,13581
1503349829,13564,13564
1503350714,13610,13610
1503351621,13545,13545
1503353428,13570,13570
1503355342,13542,13542
1503356914,13538,13538
1503358225,13483,13483
1503359121,13502,13502
1503360564,13510,13510
1503361823,13431,13431
1503362541,13414,13414
1503364229,13385,13385
1503365296,13433,13433
1503368055,13299,13299
1503369019,13209,13209
1503369919,13198,13198
1503371428,13158,13158
1503372496,13204,13204
1503374181,13083,13083
1503375029,13008,13008
1503376220,12949,12949
1503377121,12949,12949
1503379221,12933,12933
1503379696,12953,12953
1503380525,12829,12829
1503382230,12830,12830
1503383294,12896,12896
1503384975,12819,12819
1503385821,12776,12776
1503386898,12836,12836
1503387827,12736,12736
1503389141,12731,12731
1503390027,12776,12776
1503390930,12701,12701
1503393260,12694,12694
1503394221,12631,12631
1503394942,12623,12623
1503396053,12610,12610
1503396924,12647,12647
1503397821,12578,12578
1503398723,12580,12580
1503400225,12506,12506
1503401423,12486,12486
1503402321,12491,12491
1503402976,12534,12534
1503403822,12477,12477
1503405023,12458,12458
1503406519,12553,12553
1503407425,12505,12505
1503408620,12483,12483
1503409334,12490,12490
1503410870,12493,12493
1503411725,12544,12544
1503412095,12556,12556
1503413120,12503,12503
1503414455,12455,12455
1503414853,12482,12482
1503415887,12429,12429
1503416719,12428,12428
1503418226,12441,12441
1503419296,12508,12508
1503420314,12418,12418
1503421377,12354,12354
1503422419,12415,12415
1503423232,12368,12368
1503424517,12395,12395
1503425429,12346,12346
1503425655,12354,12354
1503426628,12296,12296
1503429028,12352,12352
1503430094,12429,12429
1503430937,12340,12340
1503432572,12325,12325
1503433702,12413,12413
1503435649,12287,12287
1503436521,12334,12334
1503438135,12307,12307
1503439832,12317,12317
1503440896,12370,12370
1503441736,12295,12295
1503442809,12297,12297
1503443613,12325,12325
1503444498,12365,12365
1503445324,12288,12288
1503447025,12323,12323
1503448094,12376,12376
1503448943,12286,12286
1503449777,12330,12330
1503450625,12312,12312
1503452535,12276,12276
1503454230,12305,12305
1503455423,12275,12275
1503456322,12290,12290
1503457821,12313,12313
1503459742,12257,12257
1503462495,12337,12337
1503463337,12267,12267
1503465026,12268,12268
1503466095,12316,12316
1503467122,12269,12269
1503468626,12278,12278
1503470538,12258,12258
1503472229,12346,12346
1503473248,12432,12432
1503474150,12362,12362
1503475824,12386,12386
1503476716,12442,12442
1503477625,12338,12338
1503478522,12398,12398
1503479431,12384,12384
1503479661,12406,12406
1503480624,12383,12383
1503481668,12409,12409
1503482627,12369,12369
1503483622,12444,12444
1503484938,12410,12410
1503486859,12428,12428
1503487720,12469,12469
1503489019,12491,12491
1503489904,12454,12454
1503490721,12503,12503
1503491295,12541,12541
1503492544,12463,12463
1503493822,12485,12485
1503495314,12500,12500
1503497322,12506,12506
1503498462,12570,12570
1503499352,12508,12508
1503502220,12534,12534
1503503120,12562,12562
1503504632,12574,12574
1503505561,12631,12631
1503506553,12559,12559
1503508068,12575,12575
1503509751,12605,12605
1503510616,12634,12634
1503510977,12649,12649
1503511828,12622,12622
1503512665,12674,12674
1503515425,12611,12611
1503516875,12620,12620
1503517951,12653,12653
1503519263,12667,12667
1503520222,12622,12622
1503520936,12630,12630
1503522630,12660,12660
1503523825,12643,12643
1503524720,12661,12661
1503525375,12687,12687
1503526230,12672,12672
1503528137,12679,12679
1503529732,12685,12685
1503531018,12670,12670
1503531917,12682,12682
1503532575,12723,12723
1503533431,12710,12710
1503534494,12773,12773
1503535521,12706,12706
1503536609,12714,12714
1503537461,12767,12767
1503538827,12732,12732
1503539681,12778,12778
1503540626,12800,12800
1503542543,12793,12793
1503543560,12786,12786
1503544521,12838,12838
1503545422,12795,12795
1503546314,12830,12830
1503547263,12816,12816
1503548082,12861,12861
1503548903,12900,12900
1503549921,12841,12841
1503551345,12867,12867
1503552498,12931,12931
1503553529,12847,12847
1503555031,12872,12872
1503556936,12850,12850
1503558203,12865,12865
1503560117,12942,12942
1503561148,12977,12977
1503563105,12992,12992
1503564026,12909,12909
1503564927,12963,12963
1503565741,12927,12927
1503566899,12996,12996
1503567921,12921,12921
1503569660,12964,12964
1503570768,12905,12905
1503572010,12937,12937
1503573022,12930,12930
1503574101,13004,13004
1503575124,12969,12969
1503576156,12893,12893
1503577223,12938,12938
1503578421,12874,12874
1503579230,12932,12932
1503580067,12894,12894
1503581290,12960,12960
1503582134,12880,12880
1503584059,12929,12929
1503584926,12982,12982
1503586575,12954,12954
1503587423,12926,12926
1503589335,12882,12882
1503591255,12941,12941
1503592100,12988,12988
1503592925,12907,12907
1503595220,12959,12959
1503596114,12925,12925
1503597317,12963,12963
1503599078,13003,13003
