DateTime,AddedIPs,RemovedIPs
1501229283,55,51
1501235044,51,49
1501236962,58,59
1501243213,50,56
1501245123,90,101
1501252803,90,80
1501262645,122,77
1501268409,108,112
1501274164,69,69
1501279923,106,125
1501283764,65,93
1501289523,102,103
1501295284,72,62
1501299123,126,174
1501304885,61,81
1501310884,96,78
1501314723,101,85
1501322643,107,85
1501328643,57,51
1501332484,66,60
1501336323,62,63
1501340419,101,104
1501346162,66,63
1501352165,106,94
1501358415,105,129
1501364403,101,107
1501372613,117,121
1501378325,42,76
1501380247,76,63
1501386244,144,165
1501392004,68,75
1501397764,110,100
1501403524,69,46
1501409524,91,90
1501415284,54,54
1501419125,95,99
1501425124,68,46
1501430885,99,75
1501436644,62,53
1501440964,53,55
1501442884,72,71
1501446724,95,136
1501456565,94,131
1501460403,72,70
1501466165,90,108
1501473845,143,169
1501477685,68,73
1501483444,141,107
1501489204,60,45
1501493045,60,50
1501498814,88,90
1501502644,52,54
1501508405,94,90
1501514163,59,53
1501519925,67,52
1501523766,114,122
1501531445,84,81
1501533363,86,87
1501537204,86,79
1501541044,70,93
1501546804,168,165
1501552564,159,135
1501558324,85,106
1501562164,89,110
1501566011,105,89
1501570085,162,139
1501576084,115,86
1501581843,51,48
1501587605,60,46
1501591443,93,104
1501599123,111,92
1501606813,113,105
1501612804,119,111
1501620485,76,71
1501622405,74,80
1501628167,107,161
1501632245,104,76
1501639925,123,121
1501645683,138,256
1501653364,121,65
1501657444,126,108
1501663446,84,49
1501669203,99,67
1501674965,89,108
1501682645,103,87
1501688404,51,57
1501694165,102,82
1501699923,107,112
1501707614,107,112
1501711444,60,87
1501719124,136,130
1501722963,42,76
1501730643,125,139
1501736414,155,182
1501742163,92,62
1501746004,64,62
1501749844,53,55
1501753683,62,49
1501757523,65,60
1501759445,60,64
1501763526,59,56
1501769288,98,79
1501775046,90,61
1501776964,63,53
1501782724,66,61
1501786566,114,105
1501794245,106,117
1501801925,97,118
1501807683,74,86
1501811523,110,116
1501819217,60,96
1501821126,107,95
1501826884,142,144
1501832644,116,96
1501838645,58,52
1501844414,60,49
1501848244,116,95
1501854005,61,52
1501857844,69,55
1501861683,67,61
1501865523,63,52
1501869364,116,100
1501877043,112,108
1501884964,79,111
1501888804,52,67
1501894565,73,69
1501898413,104,112
1501904164,72,115
1501908003,93,89
1501913765,156,142
1501919523,50,40
1501923364,58,32
1501927215,53,44
1501929125,61,55
1501934883,79,88
1501938725,48,51
1501942564,65,50
1501948324,90,90
1501954323,59,56
1501958163,101,84
1501967765,89,107
1501971845,50,74
1501976165,48,69
1501980006,69,52
1501985764,97,107
1501989604,65,93
1501995366,152,162
1502001124,87,59
1502003046,53,50
1502006886,59,51
1502010725,55,49
1502016483,54,55
1502020323,66,61
1502024164,65,45
1502028012,89,81
1502034244,97,89
1502041925,57,66
1502045766,106,99
1502051523,60,66
1502053447,53,67
1502059204,50,78
1502064964,96,125
1502068805,39,88
1502074817,102,59
1502076724,78,99
1502078643,84,99
1502084404,76,91
1502086323,103,50
1502090405,59,57
1502098084,87,93
1502104083,85,101
1502111764,105,76
1502117523,110,77
1502125215,106,112
1502131205,69,63
1502137922,126,123
1502139844,64,75
1502143684,49,67
1502149685,116,137
1502159284,96,106
1502165056,161,183
1502172727,139,124
1502178484,63,59
1502182323,83,73
1502188326,71,44
1502190244,64,79
1502197924,93,80
1502203924,119,98
1502211623,100,92
1502217363,92,71
1502221684,85,77
1502223634,56,65
1502229364,96,135
1502235124,61,76
1502241364,121,129
1502247123,140,154
1502255044,156,174
1502262725,124,100
1502268483,104,78
1502278084,91,91
1502281923,63,48
1502286006,58,52
1502287925,63,57
1502291763,50,61
1502299444,114,82
1502303284,66,90
1502309044,112,102
1502314805,80,77
1502316965,39,96
1502321285,73,83
1502325125,93,66
1502328964,58,79
1502334725,140,134
1502340485,94,93
1502344323,146,138
1502350084,62,62
1502355845,97,96
1502363764,108,78
1502369765,50,62
1502373615,103,81
1502379363,61,59
1502385124,119,98
1502391618,112,121
1502399284,116,131
1502403123,72,88
1502408883,63,102
1502414644,136,122
1502420412,143,165
1502426163,102,102
1502430244,59,90
1502434323,148,94
1502442019,55,47
1502445844,55,65
1502447764,53,52
1502451605,100,109
1502459284,128,94
1502468884,118,109
1502472725,69,67
1502476563,83,78
1502480406,74,92
1502484245,104,117
1502490003,52,73
1502493844,56,90
1502497685,106,70
1502499612,63,63
1502503444,65,86
1502511124,163,201
1502515205,85,76
1502519043,68,66
1502524815,68,47
1502526723,105,81
1502534885,114,100
1502543044,109,103
1502549044,65,58
1502552885,112,99
1502558644,79,79
1502564412,110,125
1502570163,67,60
1502575925,94,130
1502581683,59,80
1502585523,135,129
1502591286,71,77
1502597044,169,178
1502602805,73,100
1502604724,81,49
1502610484,114,75
1502620084,89,81
1502624164,63,66
1502629925,117,114
1502633765,75,66
1502637845,75,58
1502641686,60,52
1502645526,54,54
1502649606,63,71
1502655364,109,128
1502659444,66,76
1502665224,102,145
1502670963,75,92
1502676724,130,116
1502684405,178,190
1502688245,75,103
1502694013,143,104
1502701684,102,91
1502707686,68,77
1502711524,122,95
1502719221,120,114
1502725209,80,74
1502729044,66,59
1502733371,64,71
1502735284,85,65
1502741525,112,98
1502747522,96,155
1502753284,70,92
1502757123,98,83
1502761206,113,141
1502768883,97,108
1502774884,175,183
1502780883,142,109
1502786644,65,50
1502788563,70,62
1502794323,114,116
1502802017,67,76
1502805843,130,92
1502813523,104,108
1502819284,108,113
1502825763,123,118
1502835363,106,135
1502841125,123,144
1502846884,57,70
1502852644,145,152
1502860804,152,178
1502866565,132,112
1502875204,120,89
1502880963,57,47
1502882883,54,74
1502888644,105,107
1502894404,129,105
1502900165,106,71
