DateTime,Entries,UniqueIPs
1501166164,6712,6712
1501170004,6711,6711
1501173846,6725,6725
1501177683,6732,6732
1501181523,6764,6764
1501190403,6753,6753
1501196410,6699,6699
1501204083,6669,6669
1501210082,6658,6658
1501217764,6640,6640
1501225443,6680,6680
1501229283,6684,6684
1501235044,6686,6686
1501236962,6685,6685
1501243213,6679,6679
1501245123,6668,6668
1501252803,6678,6678
1501262645,6723,6723
1501268409,6719,6719
1501274164,6719,6719
1501279923,6700,6700
1501283764,6672,6672
1501289523,6671,6671
1501295284,6681,6681
1501299123,6633,6633
1501304885,6613,6613
1501310884,6631,6631
1501314723,6647,6647
1501322643,6669,6669
1501328643,6675,6675
1501332484,6681,6681
1501336323,6680,6680
1501340419,6677,6677
1501346162,6680,6680
1501352165,6692,6692
1501358415,6668,6668
1501364403,6662,6662
1501372613,6658,6658
1501378325,6624,6624
1501380247,6637,6637
1501386244,6616,6616
1501392004,6609,6609
1501397764,6619,6619
1501403524,6642,6642
1501409524,6643,6643
1501415284,6643,6643
1501419125,6639,6639
1501425124,6661,6661
1501430885,6685,6685
1501436644,6694,6694
1501440964,6692,6692
1501442884,6693,6693
1501446724,6652,6652
1501456565,6615,6615
1501460403,6617,6617
1501466165,6599,6599
1501473845,6573,6573
1501477685,6568,6568
1501483444,6602,6602
1501489204,6617,6617
1501493045,6627,6627
1501498814,6625,6625
1501502644,6623,6623
1501508405,6627,6627
1501514163,6633,6633
1501519925,6648,6648
1501523766,6640,6640
1501531445,6643,6643
1501533363,6642,6642
1501537204,6649,6649
1501541044,6626,6626
1501546804,6629,6629
1501552564,6653,6653
1501558324,6632,6632
1501562164,6611,6611
1501566011,6627,6627
1501570085,6650,6650
1501576084,6679,6679
1501581843,6682,6682
1501587605,6696,6696
1501591443,6685,6685
1501599123,6704,6704
1501606813,6712,6712
1501612804,6720,6720
1501620485,6725,6725
1501622405,6719,6719
1501628167,6665,6665
1501632245,6693,6693
1501639925,6695,6695
1501645683,6577,6577
1501653364,6633,6633
1501657444,6651,6651
1501663446,6686,6686
1501669203,6718,6718
1501674965,6699,6699
1501682645,6715,6715
1501688404,6709,6709
1501694165,6729,6729
1501699923,6724,6724
1501707614,6719,6719
1501711444,6692,6692
1501719124,6698,6698
1501722963,6664,6664
1501730643,6650,6650
1501736414,6623,6623
1501742163,6653,6653
1501746004,6655,6655
1501749844,6653,6653
1501753683,6666,6666
1501757523,6671,6671
1501759445,6667,6667
1501763526,6670,6670
1501769288,6689,6689
1501775046,6718,6718
1501776964,6728,6728
1501782724,6733,6733
1501786566,6742,6742
1501794245,6731,6731
1501801925,6710,6710
1501807683,6698,6698
1501811523,6692,6692
1501819217,6656,6656
1501821126,6668,6668
1501826884,6666,6666
1501832644,6686,6686
1501838645,6692,6692
1501844414,6703,6703
1501848244,6724,6724
1501854005,6733,6733
1501857844,6747,6747
1501861683,6753,6753
1501865523,6764,6764
1501869364,6780,6780
1501877043,6784,6784
1501884964,6752,6752
1501888804,6737,6737
1501894565,6741,6741
1501898413,6733,6733
1501904164,6690,6690
1501908003,6694,6694
1501913765,6708,6708
1501919523,6718,6718
1501923364,6744,6744
1501927215,6753,6753
1501929125,6759,6759
1501934883,6750,6750
1501938725,6747,6747
1501942564,6762,6762
1501948324,6762,6762
1501954323,6765,6765
1501958163,6782,6782
1501967765,6764,6764
1501971845,6740,6740
1501976165,6719,6719
1501980006,6736,6736
1501985764,6726,6726
1501989604,6698,6698
1501995366,6688,6688
1502001124,6716,6716
1502003046,6719,6719
1502006886,6727,6727
1502010725,6733,6733
1502016483,6732,6732
1502020323,6737,6737
1502024164,6757,6757
1502028012,6765,6765
1502034244,6773,6773
1502041925,6764,6764
1502045766,6771,6771
1502051523,6765,6765
1502053447,6751,6751
1502059204,6723,6723
1502064964,6694,6694
1502068805,6645,6645
1502074817,6688,6688
1502076724,6667,6667
1502078643,6652,6652
1502084404,6637,6637
1502086323,6690,6690
1502090405,6692,6692
1502098084,6686,6686
1502104083,6670,6670
1502111764,6699,6699
1502117523,6732,6732
1502125215,6726,6726
1502131205,6732,6732
1502137922,6735,6735
1502139844,6724,6724
1502143684,6706,6706
1502149685,6685,6685
1502159284,6675,6675
1502165056,6653,6653
