DateTime,Entries,UniqueIPs
1502833470,4706,4793
1502835825,4714,4803
1502837779,4713,4802
1502839718,4727,4816
1502841655,4737,4827
1502843566,4739,4830
1502845478,4738,4830
1502847387,4733,4825
1502849310,4754,4847
1502851240,4757,4850
1502853161,4758,4853
1502855065,4755,4849
1502856981,4762,4856
1502858903,4776,4870
1502860860,4777,4871
1502862765,4780,4874
1502864657,4785,4878
1502866592,4789,4884
1502868528,4793,4889
1502870469,4795,4892
1502872366,4792,4888
1502874277,4803,4900
1502876207,4804,4900
1502878118,4805,4901
1502880042,4801,4897
1502881961,4809,4905
1502883875,4816,4913
1502885811,4828,4925
1502887698,4832,4928
1502889646,4832,4927
1502891564,4840,4934
1502895755,4837,4934
1502897783,4838,4936
1502899713,4845,4943
1502901641,4847,4945
1502903570,4845,4945
1502905454,4852,4953
1502907657,4854,4954
1502909568,4868,4968
1502911710,4886,4986
1502913695,4891,4991
1502915567,4904,5004
1502917478,4894,4994
1502919400,4894,4995
1502921331,4907,5008
1502923215,4913,5014
1502925162,4918,5019
1502927066,4910,5011
1502928997,4920,5021
1502930924,4919,5020
1502932846,4930,5031
1502934759,4942,5043
1502936661,4951,5053
1502938581,4953,5055
1502940506,4972,5075
1502942451,4979,5082
1502944374,4996,5100
1502946282,5000,5104
1502948192,5001,5105
1502950112,5007,5111
1502952049,4999,5103
1502953964,4991,5095
1502955879,4991,5095
1502957810,4988,5092
1502959725,4995,5099
1502961652,5007,5111
1502963563,5014,5119
1502965485,5020,5125
1502967385,5033,5138
1502969310,5037,5140
1502971401,5040,5144
1502973385,5038,5142
1502975308,5042,5146
1502977243,5042,5146
1502979156,5043,5147
1502981328,5046,5149
1502983245,5052,5154
1502985157,5051,5153
1502987086,5043,5145
1502989749,5051,5154
1502991626,5043,5146
1502993823,5026,5129
1502995727,5037,5140
1502997632,5042,5145
1502999547,5040,5144
1503001492,5050,5155
1503003388,5053,5158
1503007287,5036,5141
1503009656,5041,5145
1503011551,5036,5140
1503013468,5031,5133
1503015409,5031,5133
1503017308,5028,5130
1503019233,5028,5129
1503021149,5025,5127
1503023071,5020,5123
1503025011,5027,5129
1503026903,5025,5128
1503028856,5025,5129
1503030747,5020,5126
1503032678,5024,5130
1503034601,5027,5133
1503036511,5041,5148
1503038426,5042,5150
1503040351,5044,5151
1503044214,5040,5147
1503046126,5047,5153
1503048037,5045,5150
1503049959,5052,5157
1503051851,5051,5156
1503053783,5052,5157
1503055706,5052,5155
1503057715,5044,5147
1503059575,5037,5140
1503061482,5042,5146
1503063386,5052,5156
1503067244,5045,5150
1503069161,5045,5151
1503071062,5037,5139
1503073013,5032,5134
1503077072,5017,5120
1503079003,5016,5119
1503081166,5016,5120
1503083079,5021,5125
1503084992,5017,5121
1503086909,5009,5113
1503088829,5003,5108
1503090749,5008,5112
1503092662,4994,5098
1503095025,4999,5104
1503096979,4997,5102
1503098903,5008,5114
1503100874,5013,5119
1503102750,5014,5120
1503104681,5016,5122
1503106587,5012,5119
1503108532,5012,5120
1503110428,5007,5115
1503112345,5016,5124
1503114269,5021,5128
1503116205,5013,5119
1503118124,5004,5110
1503120049,5001,5106
1503121944,5004,5109
1503123872,5005,5110
1503125789,5005,5111
1503127704,5004,5111
1503129691,5012,5118
1503131551,5018,5124
1503133380,5027,5133
1503135193,5015,5121
1503138992,4993,5099
1503140921,4987,5093
1503142854,4982,5088
1503144776,4982,5087
1503146917,4976,5081
1503148852,4984,5089
1503150764,4993,5098
1503152684,5004,5111
1503154602,5008,5115
1503156521,5015,5122
1503158495,5018,5125
1503160609,5017,5124
1503162512,5026,5134
1503164444,5032,5140
1503166472,5033,5141
1503168506,5032,5140
1503170674,5040,5148
1503172601,5036,5145
1503174511,5034,5143
1503176531,5033,5141
1503178367,5033,5141
1503182211,5017,5125
1503186272,5017,5124
1503188451,5006,5114
1503192252,5001,5109
1503194171,4999,5107
1503196094,5009,5117
1503198118,5015,5123
1503199951,5014,5123
1503201885,5015,5124
1503207650,4986,5095
1503209547,4981,5090
1503211460,4973,5082
1503213390,4959,5067
1503215316,4947,5055
1503217253,4941,5049
1503219172,4937,5045
1503221055,4922,5030
1503223000,4914,5022
1503226933,4887,4995
1503230692,4870,4978
1503232603,4868,4976
1503234537,4875,4983
1503236443,4874,4982
1503238368,4878,4986
1503240265,4881,4990
1503244113,4871,4980
1503246059,4874,4982
1503247967,4866,4974
1503249872,4862,4968
1503251803,4851,4957
1503253716,4839,4945
1503255667,4847,4954
1503257556,4838,4944
1503259476,4845,4951
1503261405,4840,4946
1503263333,4843,4949
1503265250,4840,4946
1503267166,4839,4944
1503269088,4833,4938
1503271011,4835,4940
1503272933,4829,4935
1503274850,4836,4942
1503276780,4833,4939
1503278913,4826,4932
1503280924,4820,4926
1503282766,4811,4917
1503284686,4801,4907
1503286606,4791,4896
1503288521,4785,4889
1503290444,4780,4884
1503292377,4779,4881
1503294264,4775,4877
1503296213,4766,4868
1503298130,4767,4868
1503300036,4763,4862
1503301970,4754,4853
1503303890,4749,4847
1503305808,4747,4845
1503307726,4751,4848
1503309716,4754,4851
1503311573,4749,4846
1503313472,4740,4837
1503315394,4729,4826
1503317293,4717,4813
1503319254,4710,4806
1503321151,4699,4795
1503323075,4694,4789
1503325024,4687,4782
1503326922,4694,4789
1503328816,4685,4780
1503330763,4677,4770
1503332653,4667,4759
1503334592,4661,4752
1503339266,4643,4733
1503341314,4639,4729
1503343217,4632,4722
1503345148,4631,4721
1503347053,4627,4718
1503348984,4624,4716
1503350894,4623,4715
1503352824,4619,4711
1503354745,4617,4709
1503356658,4611,4703
1503358569,4607,4699
1503362653,4601,4693
1503364601,4606,4698
1503366509,4605,4696
1503368428,4614,4705
1503370345,4606,4697
1503372254,4617,4708
1503374168,4616,4707
1503376090,4625,4716
1503378034,4634,4725
1503379947,4638,4729
1503381854,4640,4731
1503384036,4645,4736
1503385936,4654,4745
1503387854,4654,4746
1503389801,4650,4742
1503391707,4645,4738
1503393862,4637,4730
1503395786,4637,4730
1503397702,4626,4720
1503399615,4625,4719
1503401528,4618,4712
1503403467,4606,4700
1503405616,4596,4689
1503407567,4597,4690
1503409701,4593,4685
1503411612,4601,4693
1503413553,4606,4698
1503415461,4620,4712
1503419290,4622,4714
1503421240,4612,4705
1503423147,4615,4711
1503425083,4613,4710
1503426972,4609,4706
1503428918,4601,4698
1503430840,4600,4697
1503432753,4604,4701
1503434675,4607,4705
1503436583,4614,4712
1503438502,4612,4710
1503440657,4615,4713
1503442588,4612,4710
1503444505,4628,4726
1503446454,4626,4722
1503448346,4626,4721
1503450264,4624,4717
1503452170,4621,4714
1503454115,4596,4686
1503456028,4612,4702
1503457986,4597,4688
1503459857,4603,4694
1503461806,4580,4671
1503463690,4592,4683
1503465635,4582,4672
1503467547,4586,4675
1503469460,4567,4655
1503471386,4581,4670
1503473324,4578,4663
1503475220,4569,4655
1503477159,4566,4651
1503479062,4571,4655
1503480997,4553,4636
1503483169,4534,4617
1503485053,4532,4615
1503486978,4517,4600
1503488892,4506,4589
1503490850,4496,4579
1503492745,4487,4570
1503494674,4478,4561
1503496843,4476,4558
1503498751,4478,4560
1503500663,4464,4543
1503502572,4470,4549
1503504496,4459,4537
1503506435,4444,4521
1503510254,4432,4504
1503512200,4418,4488
1503514095,4409,4479
1503516015,4393,4462
1503517951,4382,4452
1503519872,4385,4455
1503521787,4370,4439
1503523692,4368,4437
1503525646,4362,4431
1503527550,4359,4428
1503529705,4351,4420
1503531616,4343,4412
1503533558,4341,4410
1503537397,4331,4400
1503539308,4333,4402
1503541235,4328,4397
