DateTime,AddedIPs,RemovedIPs
1502790525,33,43
1502792433,53,31
1502794361,36,54
1502796252,38,35
1502798186,47,37
1502800123,43,50
1502802099,16,46
1502803946,31,16
1502805878,15,32
1502807809,25,16
1502809714,22,22
1502811620,15,20
1502813570,33,13
1502815467,33,32
1502817414,31,36
1502819323,23,33
1502821986,38,26
1502823882,37,34
1502825807,19,40
1502827721,23,19
1502829650,22,24
1502831568,25,20
1502833470,46,21
1502835825,36,47
1502837779,29,41
1502839718,58,29
1502841655,34,57
1502843566,47,34
1502845478,48,45
1502847387,31,45
1502849310,58,33
1502851240,46,58
1502853161,49,44
1502855065,54,46
1502856981,47,57
1502858903,59,51
1502860860,48,57
1502862765,37,43
1502864657,37,41
1502866592,48,34
1502868528,46,48
1502870469,46,51
1502872366,38,44
1502874277,52,41
1502876207,37,52
1502878118,34,35
1502880042,38,33
1502881961,43,38
1502883875,47,43
1502885811,46,51
1502887698,47,41
1502889646,50,47
1502891564,46,50
1502895755,52,49
1502897783,43,52
1502899713,49,42
1502901641,30,48
1502903570,32,30
1502905454,42,32
1502907657,33,45
1502909568,60,31
1502911710,46,56
1502913695,30,50
1502915567,57,29
1502917478,27,53
1502919400,36,29
1502921331,29,34
1502923215,40,31
1502925162,47,37
1502927066,41,51
1502928997,40,46
1502930924,45,37
1502932846,53,45
1502934759,39,46
1502936661,55,43
1502938581,36,60
1502940506,57,34
1502942451,46,57
1502944374,60,44
1502946282,44,57
1502948192,52,49
1502950112,49,48
1502952049,38,50
1502953964,18,42
1502955879,52,19
1502957810,38,54
1502959725,46,34
1502961652,38,44
1502963563,41,37
1502965485,39,45
1502967385,54,37
1502969310,50,47
1502971401,43,55
1502973385,25,44
1502975308,39,29
1502977243,35,35
1502979156,22,39
1502981328,24,25
1502983245,56,19
1502985157,37,57
1502987086,27,34
1502989749,28,27
1502991626,38,30
1502993823,26,39
1502995727,40,24
1502997632,34,40
1502999547,21,35
1503001492,48,21
1503003388,38,48
1503007287,44,36
1503009656,40,40
1503011551,40,42
1503013468,50,41
1503015409,43,51
1503017308,47,42
1503019233,35,43
1503021149,49,39
1503023071,37,50
1503025011,54,34
1503026903,41,56
1503028856,37,42
1503030747,33,34
1503032678,41,31
1503034601,39,42
1503036511,45,37
1503038426,41,45
1503040351,46,49
1503044214,29,45
1503046126,38,29
1503048037,31,40
1503049959,25,27
1503051851,20,30
1503053783,28,20
1503055706,9,30
1503057715,20,10
1503059575,35,12
1503061482,47,32
1503063386,46,47
1503067244,47,51
1503069161,38,45
1503071062,33,37
1503073013,38,34
1503077072,42,38
1503079003,24,43
1503081166,41,26
1503083079,39,38
1503084992,37,37
1503086909,15,33
1503088829,42,20
1503090749,40,45
1503092662,36,33
1503095025,36,42
1503096979,36,36
1503098903,45,34
1503100874,47,44
1503102750,41,43
1503104681,38,38
1503106587,43,45
1503108532,49,42
1503110428,50,55
1503112345,51,43
1503114269,56,53
1503116205,50,60
1503118124,34,43
1503120049,42,37
1503121944,41,41
1503123872,45,42
1503125789,49,43
1503127704,46,53
1503129691,55,49
1503131551,42,52
1503133380,44,38
1503135193,14,50
1503138992,24,19
1503140921,18,26
1503142854,20,16
1503144776,38,16
1503146917,50,36
1503148852,46,51
1503150764,50,47
1503152684,57,50
1503154602,38,54
1503156521,48,41
1503158495,48,50
1503160609,42,43
1503162512,40,39
1503164444,37,46
1503166472,38,39
1503168506,48,34
1503170674,44,46
1503172601,35,40
1503174511,38,36
1503176531,54,42
1503178367,48,51
1503182211,34,50
1503186272,52,36
1503188451,55,49
1503192252,43,55
1503194171,47,44
1503196094,51,46
1503198118,49,55
1503199951,50,48
1503201885,51,43
1503207650,45,56
1503209547,38,40
1503211460,50,37
1503213390,32,48
1503215316,35,43
1503217253,38,31
1503219172,44,37
1503221055,14,50
1503223000,21,19
1503226933,18,20
1503230692,31,15
1503232603,44,27
1503234537,37,45
1503236443,37,39
1503238368,54,34
1503240265,41,52
1503244113,48,42
1503246059,64,54
1503247967,34,65
1503249872,50,32
1503251803,44,45
1503253716,39,42
1503255667,47,42
1503257556,49,45
1503259476,26,49
1503261405,49,28
1503263333,43,52
