DateTime,AddedIPs,RemovedIPs
1498283746,7,8
1498294853,10,5
1498305995,5,6
1498317039,3,6
1498328049,6,2
1498339023,3,5
1498349991,8,7
1498361013,6,7
1498372354,9,8
1498383085,4,5
1498394178,3,4
1498405456,8,7
1498416693,5,6
1498427475,2,6
1498438378,6,1
1498449387,6,0
1498460401,1,9
1498471382,4,8
1498482267,3,2
1498493279,4,6
1498504665,9,3
1498515856,3,4
1498526791,5,4
1498537703,4,5
1498548643,9,2
1498559471,2,10
1498570555,1,3
1498581498,3,5
1498592194,8,7
1498603074,1,6
1498613994,5,7
1498624976,4,6
1498635863,8,5
1498647130,9,5
1498658116,2,8
1498669201,3,8
1498680231,7,7
1498691282,4,5
1498702353,5,3
1498713587,4,5
1498724586,6,5
1498735968,3,4
1498746931,2,6
1498757948,6,4
1498769050,7,3
1498779845,9,4
1498790889,2,8
1498801962,6,1
1498812879,4,14
1498823957,7,8
1498834835,5,2
1498845861,4,6
1498856870,8,2
1498867872,4,7
1498878760,5,2
1498889763,6,5
1498900783,5,2
1498911783,4,2
1498922688,7,6
1498933645,5,4
1498944725,2,3
1498955583,10,6
1498966665,7,2
1498977594,8,5
1498988541,4,4
1498999680,8,5
1499010667,4,4
1499021743,5,6
1499032765,13,5
1499043642,6,4
1499054655,1,6
1499065550,3,10
1499076467,3,6
1499087498,3,6
1499098278,4,4
1499109294,6,3
1499120164,2,4
1499131204,6,3
1499142066,2,6
1499152967,4,8
1499164106,6,6
1499174839,8,10
1499185788,5,11
1499196615,4,11
1499207516,7,12
1499218511,3,8
1499229639,6,6
1499240436,6,7
1499251397,4,10
1499262506,11,8
1499273786,4,10
1499284810,7,5
1499296130,7,6
1499307049,2,6
1499318119,4,7
1499328924,5,11
1499339900,4,7
1499350840,2,6
1499361521,6,5
1499372778,7,4
1499384210,12,1
1499395402,11,6
1499406518,8,3
1499417214,7,5
1499428117,5,1
1499439372,13,8
1499450431,10,8
1499461700,7,7
1499472703,6,5
1499483630,6,4
1499494580,7,4
1499505443,4,3
1499516292,4,8
1499527181,3,10
1499538028,4,5
1499549052,5,9
1499560351,5,7
1499571263,8,7
1499582356,4,3
1499593327,11,5
1499603898,7,7
1499615044,2,3
1499626236,10,8
1499637338,8,8
1499648399,12,8
1499659356,4,5
1499670213,7,4
1499681544,7,9
1499692532,5,11
1499703607,5,9
1499714508,5,6
1499725581,6,7
1499736659,7,5
