DateTime,Entries,UniqueIPs
1503388343,2461,2461
1503389312,2455,2455
1503390258,2452,2452
1503391213,2454,2454
1503392206,2452,2452
1503393394,2455,2455
1503394338,2466,2466
1503395324,2462,2462
1503396261,2457,2457
1503397216,2457,2457
1503398200,2465,2465
1503399132,2470,2470
1503400092,2463,2463
1503401064,2454,2454
1503402265,2455,2455
1503403236,2457,2457
1503404203,2453,2453
1503405168,2450,2450
1503406112,2449,2449
1503407186,2459,2459
1503408295,2456,2456
1503409243,2459,2459
1503410171,2463,2463
1503411135,2467,2467
1503412115,2471,2471
1503413071,2473,2473
1503414785,2466,2466
1503415690,2462,2462
1503416673,2459,2459
1503417636,2476,2476
1503418586,2484,2484
1503419553,2483,2483
1503420494,2483,2483
1503421477,2491,2491
1503422440,2503,2503
1503423654,2500,2500
1503424571,2506,2506
1503425559,2508,2508
1503426499,2504,2504
1503427483,2510,2510
1503428419,2514,2514
1503429388,2519,2519
1503430362,2523,2523
1503431295,2518,2518
1503432263,2515,2515
1503433227,2511,2511
1503434173,2509,2509
1503435147,2504,2504
1503436102,2502,2502
1503437071,2498,2498
1503438033,2499,2499
1503438981,2512,2512
1503439954,2511,2511
1503441156,2519,2519
1503442109,2516,2516
1503443074,2518,2518
1503444016,2517,2517
1503444973,2518,2518
1503445958,2525,2525
1503446895,2521,2521
1503447855,2520,2520
1503448823,2507,2507
1503449770,2514,2514
1503450759,2510,2510
1503451702,2509,2509
1503452661,2496,2496
1503453619,2494,2494
1503454604,2497,2497
1503455570,2507,2507
1503456512,2508,2508
1503457474,2501,2501
1503458443,2516,2516
1503459400,2506,2506
1503460338,2503,2503
1503461325,2502,2502
1503462270,2519,2519
1503463235,2511,2511
1503464182,2507,2507
1503465152,2512,2512
1503466094,2518,2518
1503467068,2521,2521
1503468036,2509,2509
1503468973,2504,2504
1503469963,2502,2502
1503470912,2510,2510
1503471863,2502,2502
1503472827,2502,2502
1503473789,2496,2496
1503474735,2498,2498
1503475725,2499,2499
1503476656,2517,2517
1503477613,2514,2514
1503478603,2519,2519
1503479539,2522,2522
1503480511,2526,2526
1503481465,2524,2524
1503483185,2503,2503
1503484090,2500,2500
1503485058,2493,2493
1503486040,2502,2502
1503486983,2499,2499
1503487954,2504,2504
1503488897,2502,2502
1503489888,2503,2503
1503490865,2504,2504
1503491777,2499,2499
1503492751,2487,2487
1503493709,2483,2483
1503494679,2482,2482
1503495635,2485,2485
1503496860,2479,2479
1503497772,2465,2465
1503498756,2458,2458
1503499693,2445,2445
1503500679,2444,2444
1503501618,2441,2441
1503502580,2437,2437
1503503547,2444,2444
1503504514,2440,2440
1503505454,2441,2441
1503506439,2432,2432
1503507392,2425,2425
1503508345,2422,2422
1503509321,2412,2412
1503510272,2407,2407
1503511217,2403,2403
1503512205,2409,2409
1503513135,2400,2400
1503514111,2427,2427
1503515065,2432,2432
1503516020,2449,2449
1503516985,2456,2456
1503517955,2454,2454
1503518910,2455,2455
1503519889,2450,2450
1503520827,2449,2449
1503521791,2447,2447
1503522749,2452,2452
1503523708,2457,2457
1503524673,2453,2453
1503525650,2450,2450
1503526572,2454,2454
1503527558,2444,2444
1503529260,2462,2462
1503530172,2461,2461
1503531133,2463,2463
1503532124,2454,2454
1503533068,2457,2457
1503534039,2447,2447
1503534974,2443,2443
1503535959,2437,2437
1503536909,2433,2433
1503537855,2419,2419
1503538812,2410,2410
1503539791,2408,2408
1503540754,2412,2412
1503541693,2408,2408
1503542669,2403,2403
1503543642,2409,2409
1503544575,2407,2407
1503545566,2397,2397
1503546497,2399,2399
1503547492,2413,2413
1503548435,2403,2403
1503549376,2393,2393
1503550360,2392,2392
1503551294,2400,2400
1503552257,2397,2397
1503553230,2403,2403
1503554182,2406,2406
1503555153,2406,2406
1503556091,2406,2406
1503557071,2407,2407
1503558019,2423,2423
1503558996,2431,2431
1503559945,2432,2432
1503560910,2434,2434
1503561866,2432,2432
1503562829,2436,2436
1503564039,2441,2441
1503564988,2436,2436
1503565957,2443,2443
1503566894,2442,2442
1503567867,2441,2441
