DateTime,AddedIPs,RemovedIPs
1503368431,6,6
1503369373,7,9
1503370358,9,8
1503371291,6,6
1503372257,7,8
1503373232,6,10
1503374181,11,2
1503375157,10,7
1503376092,6,5
1503377063,5,7
1503378037,8,3
1503378972,11,4
1503380676,14,17
1503381635,9,22
1503382577,7,10
1503383558,6,10
1503384517,7,3
1503385460,8,5
1503386427,11,9
1503387386,8,8
1503388340,6,4
1503389310,8,7
1503390256,7,8
1503391211,12,6
1503392204,8,4
1503393392,7,8
1503394336,7,9
1503395322,6,5
1503396258,6,8
1503397214,10,4
1503398198,7,3
1503399130,9,11
1503400090,6,6
1503401061,6,4
1503402263,5,5
1503403234,11,7
1503404201,7,11
1503405166,7,5
1503406110,8,6
1503407184,20,5
1503408293,10,7
1503409241,6,4
1503410168,6,4
1503411133,11,3
1503412114,10,4
1503413069,10,4
1503414783,18,7
1503415688,7,0
1503416670,8,7
1503417634,5,7
1503418584,11,13
1503419551,6,6
1503420492,8,0
1503421475,8,7
1503422438,13,5
1503423651,10,0
1503424569,10,4
1503425557,10,3
1503426497,6,5
1503427480,9,5
1503428417,12,1
1503429386,8,8
1503430360,10,3
1503431293,2,3
1503432260,6,2
1503433225,9,4
1503434171,8,10
1503435145,4,5
1503436100,6,2
1503437069,5,4
1503438032,10,7
1503438979,6,8
1503439952,6,7
1503441154,8,5
1503442107,2,2
1503443071,2,9
1503444014,4,0
1503444971,9,5
1503445956,11,8
1503446893,6,10
1503447853,7,0
1503448821,6,10
1503449768,11,13
1503450752,8,9
1503451700,10,22
1503452659,6,18
1503453617,4,13
1503454602,7,11
1503455568,8,10
1503456510,5,13
1503457465,5,7
1503458441,16,5
1503459398,8,14
1503460335,6,6
1503461323,8,12
1503462268,8,6
1503463233,8,8
1503464179,13,9
1503465150,7,6
1503466092,12,13
1503467066,4,0
1503468034,5,13
1503468971,2,11
1503469960,6,13
1503470910,5,0
1503471861,5,10
1503472825,5,9
1503473787,8,26
1503474733,8,0
1503475723,6,23
1503476654,13,0
1503477610,5,11
1503478601,11,7
1503479537,7,7
1503480509,5,3
1503481463,4,8
1503483183,12,15
1503484088,8,7
1503485056,4,7
1503486038,5,5
1503486981,3,10
1503487952,8,10
1503488895,6,11
1503489886,8,8
1503490863,7,8
1503491775,10,6
1503492749,5,14
1503493706,3,7
1503494677,5,0
1503495633,7,4
1503496858,9,15
1503497769,4,9
1503498754,11,6
1503499691,2,15
1503500676,9,0
1503501616,9,3
1503502578,6,13
1503503545,1,4
1503504509,2,4
1503505452,3,6
1503506437,3,8
1503507390,0,6
1503508342,2,5
1503509319,6,10
1503510269,3,7
1503511215,3,4
1503512203,5,6
1503513133,10,6
1503514109,22,7
1503515062,10,6
1503516018,14,4
1503516983,7,8
1503517954,5,7
1503518908,5,9
1503519887,3,9
1503520825,3,4
1503521789,7,7
1503522747,8,8
1503523706,6,7
1503524670,8,1
1503525648,4,11
1503526570,6,3
1503527556,6,2
1503529258,13,2
1503530170,4,2
1503531131,8,6
1503532122,2,5
1503533065,9,2
1503534037,6,11
1503534972,3,13
1503535957,8,13
1503536907,8,15
1503537853,5,11
1503538810,6,8
1503539789,4,5
1503540752,10,7
1503541691,5,6
1503542667,4,11
1503543640,11,7
1503544573,3,4
1503545564,3,6
1503546495,7,7
1503547489,15,10
1503548434,7,3
1503549373,7,16
1503550357,3,6
1503551292,9,4
1503552255,3,3
1503553228,11,5
1503554180,5,6
1503555151,7,9
1503556089,6,8
1503557068,7,4
1503558017,17,6
1503558995,11,5
1503559943,8,6
1503560908,7,10
1503561858,4,5
1503562826,13,6
1503564037,11,18
1503564986,5,0
1503565955,9,13
1503566892,8,0
1503567865,11,23
1503568835,14,0
1503569774,17,8
1503570778,12,10
1503571693,17,6
1503572669,11,6
1503573618,14,5
1503574582,16,10
1503575554,11,8
1503576490,8,9
1503577466,6,8
1503578410,4,9
1503579389,11,8
1503580349,10,8
1503581305,11,6
1503582257,9,23
1503583214,4,0
1503584202,3,28
1503585136,3,0
1503586115,4,12
1503587072,6,0
1503588014,11,15
1503588972,12,15
1503589962,13,12
1503590912,5,5
1503591851,7,0
1503592831,9,11
1503593794,4,14
1503594747,5,12
1503595691,4,0
1503596679,7,10
1503597641,10,6
1503598566,6,0
1503599553,10,11
1503600491,9,0
1503601481,10,13
1503602415,15,0
1503603373,11,5
1503604354,16,5
1503605293,3,3
1503606252,9,9
1503607211,9,5
1503608179,9,6
1503609136,11,3
1503610087,11,0
1503611052,3,7
1503612023,5,5
1503613407,13,8
1503614416,8,12
1503615899,12,3
1503616833,9,6
1503617775,10,6
1503618738,7,8
1503619715,6,13
1503620651,7,8
1503621623,10,8
1503622596,6,13
1503623535,12,19
1503624514,5,15
1503625452,9,10
1503626412,6,10
1503627393,6,6
1503628352,4,8
1503629309,4,5
1503630266,6,5
1503631221,4,6
1503632197,8,10
1503633132,9,4
1503634107,14,15
1503635079,13,12
1503636011,6,6
1503637006,7,2
1503637936,6,8
1503638912,3,6
1503639876,6,3
1503640827,7,4
1503641789,12,2
1503642744,5,6
1503643695,6,5
1503644671,5,2
1503645630,7,5
1503646579,6,5
1503647556,7,9
1503648492,4,6
1503649454,7,5
1503650434,5,0
1503651369,5,8
1503652350,7,4
1503653309,8,10
1503654259,5,0
1503655233,8,5
1503656173,7,4
1503657155,10,5
1503658099,6,10
1503659073,9,7
1503660038,3,11
1503660976,5,0
1503661964,6,15
1503662906,9,8
1503663873,3,7
1503664830,6,10
1503665817,4,4
1503666738,4,0
1503667711,3,19
1503668767,2,8
1503669860,6,10
1503670838,7,4
1503671772,4,10
1503672730,8,3
1503673718,3,8
1503674652,4,7
1503675637,3,0
1503676572,7,0
1503677547,3,2
1503678505,8,4
1503679474,7,1
1503680430,12,5
1503681405,4,4
1503682334,3,5
1503683309,3,6
1503684270,11,5
1503685244,10,19
1503686171,6,23
1503687159,4,16
1503688108,6,21
1503689057,7,13
1503690010,18,14
1503691001,6,4
1503691931,8,4
1503692910,7,6
1503693851,7,9
1503694833,15,11
1503695787,2,5
1503696745,6,4
1503697712,4,9
1503698671,2,16
1503699616,6,0
1503700595,1,7
1503701531,6,11
1503703027,5,9
1503703956,5,3
1503704916,4,4
1503705871,5,10
1503706826,8,3
1503707774,4,7
1503708768,6,3
1503709747,7,7
1503710665,7,6
1503711614,6,9
1503712587,4,9
1503713549,11,10
1503714497,4,13
1503715476,5,8
1503716452,8,10
1503717397,10,7
1503718358,6,8
1503719298,7,3
1503720295,6,6
1503721245,4,12
1503722178,6,8
1503723151,7,5
1503724127,7,2
1503725067,4,9
1503726022,4,7
1503726995,6,10
1503727946,4,9
1503728915,6,6
1503729859,10,9
1503730824,4,20
1503731803,12,16
1503732732,5,3
1503733714,8,11
1503734663,8,5
1503735644,11,6
1503736588,2,6
1503737535,9,5
1503738510,8,8
1503739470,7,7
1503740410,6,11
1503741391,2,14
1503742344,6,9
1503745000,3,26
1503745946,14,9
1503746904,4,10
1503747852,8,11
1503748807,0,2
1503749795,6,6
1503750730,9,7
1503751706,6,15
1503752655,5,11
1503753621,8,2
1503754586,3,20
1503755525,5,4
1503756512,6,11
1503757450,4,11
1503758435,4,8
1503759394,6,8
1503760377,9,7
1503761314,10,8
1503762272,1,2
1503763239,4,7
1503764168,11,10
1503765160,4,5
1503766099,5,7
1503767061,4,5
1503768014,10,9
1503768997,8,0
1503769930,5,16
1503771023,14,9
1503772112,11,7
1503773051,6,4
1503774017,3,9
1503775005,6,5
1503775956,2,13
1503776906,6,6
1503777873,4,8
1503778819,6,9
1503779791,4,5
1503780754,5,9
1503781694,8,3
1503782667,9,3
1503783611,5,3
1503784579,4,4
1503785548,10,8
1503786754,5,9
1503787698,4,14
1503788671,4,7
1503790376,10,14
1503791290,2,0
1503792269,5,6
1503793232,11,16
1503794185,7,7
1503795143,16,0
1503796095,1,5
1503797075,6,13
1503798029,2,5
1503798969,1,0
1503799965,0,13
1503800893,3,0
1503801858,7,7
1503802831,2,13
1503803786,6,5
1503804748,2,7
1503805711,1,27
1503806664,2,0
1503807614,2,5
1503808589,5,8
1503809548,4,0
1503810506,5,6
1503811456,3,9
1503812406,5,7
1503813392,2,8
1503814354,2,12
1503815297,3,0
1503816267,12,10
1503817227,19,4
1503818180,14,0
1503819159,16,7
1503820090,10,0
1503821062,5,6
1503822025,14,6
1503822986,9,4
1503823929,7,4
1503824911,7,13
1503825852,9,0
1503826840,9,8
1503827771,10,0
1503828739,14,11
1503829688,3,18
1503830664,1,0
1503831631,3,4
1503832585,5,9
1503833546,14,7
1503834503,6,11
1503835466,5,7
1503836438,10,4
1503837386,4,3
1503838349,8,3
