DateTime,Entries,UniqueIPs
1503360492,6524,6558
1503361471,6527,6561
1503362656,6545,6580
1503363620,6551,6586
1503364615,6557,6592
1503365536,6562,6597
1503366511,6561,6596
1503367471,6561,6596
1503368431,6561,6596
1503369373,6566,6601
1503370358,6568,6603
1503371291,6569,6605
1503372257,6571,6607
1503373232,6574,6610
1503374181,6585,6621
1503375157,6592,6628
1503376092,6594,6630
1503377063,6596,6632
1503378037,6602,6638
1503378972,6611,6647
1503380676,6613,6649
1503381635,6622,6658
1503382577,6629,6665
1503383558,6630,6666
1503384517,6630,6666
1503385460,6630,6666
1503386427,6637,6673
1503387386,6639,6675
1503388340,6641,6677
1503389310,6648,6684
1503390256,6650,6686
1503391211,6660,6696
1503392204,6659,6695
1503393392,6661,6697
1503394336,6662,6698
1503395322,6665,6700
1503396258,6663,6698
1503397214,6666,6701
1503398198,6670,6705
1503399130,6669,6704
1503400090,6669,6704
1503401061,6668,6703
1503402263,6663,6698
1503403234,6674,6709
1503404201,6675,6710
1503405166,6674,6709
1503406110,6675,6710
1503407184,6685,6720
1503408293,6670,6705
1503409241,6662,6697
1503410168,6668,6703
1503411133,6665,6700
1503412114,6667,6702
1503413069,6645,6680
1503414783,6651,6685
1503415688,6647,6681
1503416670,6642,6676
1503417634,6636,6670
1503418584,6638,6672
1503419551,6635,6669
1503420492,6633,6667
1503421475,6631,6666
1503422438,6631,6667
1503423651,6638,6674
1503424569,6641,6677
1503425557,6636,6672
1503426497,6642,6678
1503427480,6643,6680
1503428417,6648,6685
1503429386,6649,6686
1503430360,6649,6686
1503431293,6647,6684
1503432260,6642,6680
1503433225,6645,6683
1503434171,6642,6680
1503435145,6640,6678
1503436100,6635,6673
1503437069,6633,6671
1503438032,6637,6675
1503438979,6635,6673
1503439952,6627,6665
1503441154,6624,6662
1503442107,6619,6657
1503443071,6612,6650
1503444014,6612,6649
1503444971,6617,6654
1503445956,6621,6658
1503446893,6625,6662
1503447853,6625,6662
1503448821,6617,6654
1503449768,6620,6657
1503450752,6623,6660
1503451700,6630,6667
1503452659,6625,6662
1503453617,6618,6655
1503454602,6617,6654
1503455568,6611,6648
1503456510,6598,6635
1503457465,6581,6618
1503458441,6586,6622
1503459398,6582,6618
1503460335,6566,6602
1503461323,6548,6584
1503462268,6484,6519
1503463233,6492,6527
1503464179,6505,6540
1503465150,6512,6547
1503466092,6514,6549
1503467066,6454,6488
1503468034,6403,6437
1503468971,6362,6396
1503469960,6368,6402
1503470910,6294,6327
1503471861,6192,6223
1503472825,6106,6137
1503473787,6073,6104
1503474733,6018,6048
1503475723,5981,6010
1503476654,5953,5979
1503477610,5933,5959
1503478601,5933,5959
1503479537,5913,5939
1503480509,5887,5914
1503481463,5872,5899
1503483183,5845,5872
1503484088,5837,5864
1503485056,5832,5859
1503486038,5818,5845
1503486981,5815,5842
1503487952,5811,5838
1503488895,5805,5832
1503489886,5794,5821
1503490863,5791,5818
1503491775,5801,5828
1503492749,5803,5830
1503493706,5784,5811
1503494677,5775,5802
1503495633,5776,5803
1503496858,5776,5803
1503497769,5771,5798
1503498754,5769,5796
1503499691,5760,5787
1503500676,5763,5790
1503501616,5772,5799
1503502578,5770,5797
1503503545,5761,5788
1503504509,5763,5790
1503505452,5761,5788
1503506437,5756,5783
1503507390,5753,5780
1503508342,5744,5771
1503509319,5739,5766
1503510269,5729,5756
1503511215,5732,5759
1503512203,5732,5759
1503513133,5737,5764
1503514109,5758,5785
1503515062,5764,5790
1503516018,5778,5804
1503516983,5772,5798
1503517954,5771,5797
1503518908,5765,5791
1503519887,5749,5775
1503520825,5752,5778
1503521789,5748,5773
1503522747,5737,5762
1503523706,5737,5762
1503524670,5698,5722
1503525648,5702,5726
1503526570,5684,5708
1503527556,5651,5675
1503529258,5597,5621
1503530170,5578,5602
1503531131,5563,5586
1503532122,5545,5568
1503533065,5517,5540
1503534037,5500,5523
1503534972,5482,5505
1503535957,5459,5482
1503536907,5449,5472
1503537853,5432,5455
1503538810,5413,5436
1503539789,5404,5427
1503540752,5386,5409
1503541691,5362,5385
1503542667,5352,5375
1503543640,5334,5357
1503544573,5326,5349
1503545564,5313,5336
1503546495,5308,5331
1503547489,5312,5335
1503548434,5310,5333
1503549373,5311,5335
1503550357,5300,5325
1503551292,5295,5320
1503552255,5292,5317
1503553228,5291,5316
1503554180,5282,5307
1503555151,5278,5303
1503556089,5273,5298
1503557068,5273,5298
1503558017,5280,5305
1503558995,5277,5302
1503559943,5277,5302
1503560908,5272,5297
1503561858,5262,5287
1503562826,5272,5297
1503564037,5276,5301
1503564986,5265,5290
1503565955,5218,5243
1503566892,5194,5219
1503567865,5189,5214
1503568835,5189,5213
1503569774,5192,5216
1503570778,5177,5201
1503571693,5184,5209
1503572669,5185,5211
1503573618,5188,5215
1503574582,5200,5227
1503575554,5205,5232
1503576490,5201,5228
1503577466,5201,5228
1503578410,5197,5224
1503579389,5203,5230
1503580349,5209,5236
1503581305,5214,5241
1503582257,5218,5245
1503583214,5216,5243
1503584202,5216,5243
1503585136,5213,5240
1503586115,5217,5244
1503587072,5218,5245
1503588014,5226,5253
1503588972,5228,5255
1503589962,5228,5255
1503590912,5228,5255
1503591851,5235,5262
1503592831,5234,5262
1503593794,5233,5261
1503594747,5234,5262
1503595691,5233,5261
1503596679,5233,5261
1503597641,5235,5263
1503598566,5241,5269
1503599553,5233,5261
1503600491,5242,5270
1503601481,5236,5264
1503602415,5233,5261
1503603373,5222,5250
1503604354,5218,5246
1503605293,5221,5249
1503606252,5217,5245
1503607211,5223,5251
1503608179,5221,5249
1503609136,5226,5254
1503610087,5233,5261
1503611052,5227,5255
1503612023,5228,5256
1503613407,5227,5256
1503614416,5235,5264
1503615899,5242,5271
1503616833,5229,5258
1503617775,5232,5261
1503618738,5236,5266
1503619715,5215,5245
1503620651,5184,5214
1503621623,5178,5208
1503622596,5165,5195
1503623535,5159,5190
1503624514,5151,5182
1503625452,5144,5175
1503626412,5132,5164
1503627393,5118,5149
1503628352,5115,5146
1503629309,5108,5139
1503630266,5103,5134
1503631221,5094,5125
1503632197,5092,5123
1503633132,5088,5119
1503634107,5091,5123
1503635079,5094,5126
1503636011,5089,5121
1503637006,5083,5115
1503637936,5084,5116
1503638912,5080,5112
1503639876,5072,5104
1503640827,5070,5102
1503641789,5075,5106
1503642744,5073,5104
1503643695,5071,5102
1503644671,5070,5101
1503645630,5071,5102
1503646579,5071,5101
1503647556,5069,5099
1503648492,5066,5096
1503649454,5067,5096
1503650434,5064,5093
1503651369,5064,5093
1503652350,5062,5091
1503653309,5055,5084
1503654259,5047,5076
1503655233,5050,5079
1503656173,5052,5081
1503657155,5056,5085
1503658099,5057,5086
1503659073,5049,5078
1503660038,5049,5078
1503660976,5046,5072
1503661964,5045,5071
1503662906,5046,5072
1503663873,5045,5071
1503664830,5045,5071
1503665817,5040,5066
1503666738,5037,5063
1503667711,5032,5058
1503668767,5032,5058
1503669860,5030,5056
1503670838,5029,5055
1503671772,5027,5053
1503672730,5030,5056
1503673718,5028,5053
1503674652,5026,5051
1503675637,5024,5049
1503676572,5023,5048
1503677547,5019,5044
1503678505,5020,5045
1503679474,5018,5042
1503680430,5025,5049
1503681405,5024,5049
1503682334,5024,5049
1503683309,5022,5047
1503684270,5029,5051
1503685244,5033,5055
1503686171,5034,5056
1503687159,5030,5052
1503688108,5029,5051
1503689057,5029,5051
1503690010,5042,5064
1503691001,5040,5062
1503691931,5041,5063
1503692910,5045,5067
1503693851,5045,5067
1503694833,5056,5078
1503695787,5051,5073
1503696745,5051,5073
1503697712,5050,5072
1503698671,5040,5062
1503699616,5046,5068
1503700595,5039,5061
1503701531,5034,5056
1503703027,5024,5045
1503703956,5026,5047
1503704916,5023,5044
1503705871,5022,5043
1503706826,5017,5038
1503707774,5008,5029
1503708768,4990,5011
1503709747,4993,5014
1503710665,4988,5009
1503711614,4974,4995
1503712587,4965,4986
1503713549,4967,4988
1503714497,4952,4973
1503715476,4948,4969
1503716452,4952,4973
1503717397,4960,4981
1503718358,4961,4982
1503719298,4959,4980
1503720295,4959,4980
1503721245,4957,4978
1503722178,4955,4976
1503723151,4957,4978
1503724127,4961,4982
1503725067,4962,4983
1503726022,4962,4983
1503726995,4961,4982
1503727946,4958,4979
1503728915,4958,4979
1503729859,4960,4981
1503730824,4961,4982
1503731803,4953,4974
1503732732,4946,4967
1503733714,4944,4965
1503734663,4940,4961
1503735644,4947,4968
1503736588,4943,4964
