DateTime,AddedIPs,RemovedIPs
1503384517,7,7
1503385460,8,10
1503386427,11,9
1503387386,8,15
1503388340,6,11
1503389310,8,13
1503390256,7,10
1503391211,12,11
1503392204,8,7
1503393392,7,7
1503394336,7,3
1503395322,6,8
1503396258,6,7
1503397214,10,8
1503398198,7,7
1503399130,9,7
1503400090,6,5
1503401061,6,10
1503402263,5,10
1503403234,11,11
1503404201,7,8
1503405166,7,8
1503406110,8,6
1503407184,20,14
1503408293,10,7
1503409241,6,4
1503410168,6,6
1503411133,11,9
1503412114,10,9
1503413069,10,6
1503414783,18,15
1503415688,7,3
1503416670,8,13
1503417634,5,4
1503418584,11,4
1503419551,6,6
1503420492,8,8
1503421475,8,6
1503422438,13,5
1503423651,10,10
1503424569,10,7
1503425557,10,4
1503426497,6,6
1503427480,9,6
1503428417,12,7
1503429386,8,6
1503430360,10,4
1503431293,2,8
1503432260,6,7
1503433225,9,9
1503434171,8,9
1503435145,4,4
1503436100,6,7
1503437069,5,8
1503438032,10,7
1503438979,6,1
1503439952,6,11
1503441154,8,3
1503442107,2,2
1503443071,2,2
1503444014,4,2
1503444971,9,6
1503445956,11,5
1503446893,6,2
1503447853,7,11
1503448821,6,13
1503449768,11,13
1503450752,8,15
1503451700,10,11
1503452659,6,8
1503453617,4,5
1503454602,7,7
1503455568,8,6
1503456510,5,11
1503457465,5,7
1503458441,16,4
1503459398,8,6
1503460335,6,7
1503461323,8,10
1503462268,8,3
1503463233,8,16
1503464179,13,6
1503465150,7,4
1503466092,12,3
1503467066,4,5
1503468034,5,6
1503468971,2,9
1503469960,6,8
1503470910,5,4
1503471861,5,6
1503472825,5,5
1503473787,8,6
1503474733,8,10
1503475723,6,5
1503476654,13,6
1503477610,5,11
1503478601,11,7
1503479537,7,9
1503480509,5,4
1503481463,4,8
1503483183,12,15
1503484088,8,8
1503485056,4,10
1503486038,5,6
1503486981,3,6
1503487952,8,5
1503488895,6,10
1503489886,8,8
1503490863,7,9
1503491775,10,8
1503492749,5,9
1503493706,3,8
1503494677,5,8
1503495633,7,6
1503496858,9,23
1503497769,4,11
1503498754,11,17
1503499691,2,7
1503500676,9,5
1503501616,9,15
1503502578,6,15
1503503545,1,3
1503504509,2,9
1503505452,3,5
1503506437,3,11
1503507390,0,10
1503508342,2,4
1503509319,6,12
1503510269,3,6
1503511215,3,4
1503512203,5,6
1503513133,10,6
1503514109,22,5
1503515062,10,6
1503516018,14,7
1503516983,7,5
1503517954,5,5
1503518908,5,3
1503519887,3,9
