DateTime,AddedIPs,RemovedIPs
1503477613,685,685
1503478603,796,796
1503479539,602,602
1503480511,747,747
1503481465,643,643
1503483185,1276,1276
1503484090,641,641
1503485058,699,699
1503486040,676,676
1503486983,657,657
1503487954,687,687
1503488897,776,776
1503489888,775,775
1503490865,689,689
1503491777,621,621
1503492751,873,873
1503493709,694,694
1503494679,689,689
1503495635,643,643
1503496860,1003,1003
1503497772,740,740
1503498756,610,610
1503499693,575,575
1503500679,727,727
1503501618,626,626
1503502580,699,699
1503503547,700,700
1503504514,824,824
1503505454,702,702
1503506439,681,681
1503507392,922,922
1503508345,857,857
1503509321,884,884
1503510272,1136,1136
1503511217,1110,1110
1503512205,1101,1101
1503513135,1524,1524
1503514111,811,811
1503515065,732,732
1503516020,494,494
1503516985,452,452
1503517955,317,317
1503518910,174,174
1503519889,165,165
1503520827,185,185
1503521791,185,185
1503522749,176,176
1503523708,201,201
1503524673,1568,1568
1503525650,1413,1413
1503526572,1301,1301
1503527558,1647,1647
1503529260,2000,2000
1503530172,647,647
1503531133,725,725
1503532124,764,764
1503533068,824,824
1503534039,740,740
1503534974,657,657
1503535959,861,861
1503536909,594,594
1503537855,829,829
1503538812,708,708
1503539791,782,782
1503540754,668,668
1503541693,763,763
1503542669,739,739
1503543642,756,756
1503544575,625,625
1503545566,784,784
1503546497,742,742
1503547492,807,807
1503548435,636,636
1503549376,788,788
1503550360,734,734
1503551294,619,619
1503552257,729,729
1503553230,682,682
1503554182,843,843
1503555153,732,732
1503556091,711,711
1503557071,663,663
1503558019,770,770
1503558996,688,688
1503559945,761,761
1503560910,695,695
1503561866,796,796
1503562829,688,688
1503564039,817,817
1503564988,791,791
1503565957,720,720
1503566894,639,639
1503567867,656,656
1503568837,670,670
1503569776,624,624
1503570780,691,691
1503571695,624,624
1503572671,822,822
1503573620,646,646
1503574584,613,613
1503575556,791,791
1503576492,717,717
1503577468,737,737
1503578412,600,600
1503579391,790,790
1503580352,760,760
1503581307,666,666
1503582260,798,798
1503583216,721,721
1503584204,697,697
1503585138,731,731
1503586117,809,809
1503587085,671,671
1503588016,696,696
1503588974,739,739
1503589965,806,806
1503590914,607,607
1503591854,775,775
1503592833,614,614
1503593795,755,755
1503594750,919,919
1503595694,710,710
1503596681,707,707
1503597643,865,865
1503598568,653,653
1503599555,813,813
1503600493,638,638
1503601484,853,853
1503602416,717,717
1503603376,703,703
1503604356,895,895
1503605295,658,658
1503606254,847,847
1503607213,652,652
1503608181,782,782
1503609138,762,762
1503610089,859,859
1503611054,725,725
1503612026,758,758
1503613409,1059,1059
1503614418,632,632
1503615902,1417,1417
1503616835,724,724
1503617777,724,724
1503618740,854,854
1503619717,723,723
1503620653,836,836
1503621625,813,813
1503622598,887,887
1503623538,834,834
1503624516,813,813
1503625454,852,852
1503626415,867,867
1503627395,768,768
1503628354,766,766
1503629311,829,829
1503630268,759,759
1503631222,896,896
1503632199,826,826
1503633134,1040,1040
1503634109,953,953
1503635081,819,819
1503636013,554,554
1503637008,602,602
1503637938,380,380
1503638915,560,560
1503639878,376,376
1503640830,535,535
1503641791,483,483
1503642746,434,434
1503643697,362,362
1503644674,2000,2000
1503645632,998,998
1503646581,685,685
1503647558,860,860
1503648494,702,702
1503649456,679,679
1503650436,820,820
1503651371,599,599
1503652352,574,574
1503653310,705,705
1503654262,757,757
1503655235,643,643
1503656175,693,693
1503657157,722,722
1503658101,651,651
1503659076,738,738
1503660040,611,611
1503660978,632,632
1503661966,765,765
1503662908,613,613
1503663875,745,745
1503664832,746,746
1503665819,632,632
1503666740,746,746
1503667712,669,669
1503668771,1005,1005
1503669862,905,905
1503670840,761,761
1503671774,675,675
1503672733,820,820
1503673721,568,568
1503674654,767,767
1503675639,655,655
1503676575,737,737
1503677550,850,850
1503678508,637,637
1503679477,834,834
1503680432,835,835
1503681407,680,680
1503682336,722,722
1503683311,682,682
1503684273,811,811
1503685246,669,669
1503686173,802,802
1503687161,897,897
1503688109,678,678
1503689059,980,980
1503690012,630,630
1503691004,905,905
1503691935,852,852
1503692912,596,596
1503693853,685,685
1503694835,755,755
1503695789,875,875
1503696747,656,656
1503697714,685,685
1503698673,588,588
1503699618,849,849
1503700597,1256,1256
1503701534,951,951
1503703029,1163,1163
1503703958,857,857
1503704918,865,865
1503705873,1000,1000
1503706828,723,723
1503707776,583,583
1503708771,951,951
1503709749,517,517
1503710667,872,872
1503711617,602,602
