DateTime,AddedIPs,RemovedIPs
1501996342,60,55
1501999941,66,55
1502003537,64,62
1502007144,79,43
1502010745,79,36
1502014350,67,38
1502017957,81,37
1502021565,88,61
1502025170,77,36
1502028772,82,33
1502032375,58,54
1502035977,80,31
1502039569,81,45
1502043175,75,49
1502046777,97,44
1502050382,94,43
1502053986,81,35
1502057585,71,44
1502061185,71,55
1502064790,74,38
1502068369,74,45
1502071971,83,48
1502075585,75,43
1502079181,72,33
1502082783,72,40
1502086379,69,41
1502089987,65,36
1502093588,64,40
1502097195,94,45
1502100790,67,59
1502104396,84,49
1502107992,108,38
1502111596,127,36
1502115202,126,48
1502118815,107,53
1502122391,110,24
1502126008,92,17
1502129616,94,22
1502133234,100,15
1502136831,99,18
1502140435,96,24
1502144039,85,17
1502147652,124,20
1502151248,100,16
1502154844,81,25
1502158446,67,16
1502162052,69,14
1502165650,74,20
1502169259,73,20
1502172858,82,17
1502176463,79,13
1502180076,76,22
1502183669,78,39
1502187269,76,42
1502190873,80,38
1502194490,68,43
1502198075,101,38
1502201676,72,43
1502205279,78,43
1502212483,153,86
1502216089,65,36
1502219685,72,59
1502223292,83,38
1502226903,85,38
1502230488,77,36
1502234084,73,61
1502237694,63,27
1502241305,82,36
1502244894,76,35
1502248504,70,34
1502252109,94,33
1502255719,67,42
1502259302,64,44
1502262887,75,37
1502266498,73,41
1502270112,70,57
1502273715,72,43
1502277317,89,53
1502280920,108,67
1502284530,77,62
1502288135,71,50
1502291731,74,49
1502295319,73,49
1502298940,73,60
1502302550,77,45
1502306143,79,51
1502309728,74,63
1502313331,78,55
1502316938,77,55
1502320537,73,50
1502324137,76,69
1502327731,86,59
1502331331,70,66
1502334933,69,67
1502338532,63,73
1502342124,58,70
1502345729,73,77
1502349332,64,85
1502352923,83,67
1502356515,74,101
1502360118,80,115
1502363717,121,105
1502367328,109,104
1502370938,90,66
1502374539,90,46
1502378144,88,36
1502381741,86,53
1502385354,79,41
1502388950,67,41
1502392550,76,41
1502396160,81,32
1502399756,81,44
1502403355,79,48
1502406965,77,46
1502410576,79,34
1502414172,73,44
1502417761,74,35
1502421352,71,42
1502424959,67,43
1502428565,74,40
1502432165,73,58
1502435757,65,42
1502439358,69,59
1502442967,168,42
1502446578,262,43
1502450181,242,61
1502453791,220,60
1502457396,213,40
1502461009,186,52
1502464619,175,39
1502468214,196,58
1502471826,151,56
1502475435,148,50
1502479039,139,59
1502482647,162,49
1502486246,104,65
1502489849,118,49
1502493455,109,67
1502497057,116,49
1502500661,105,52
1502504266,91,65
1502507874,96,58
1502511475,92,61
1502515079,96,68
1502518676,89,62
1502522280,99,72
1502525874,101,71
1502529480,91,57
1502533081,114,61
1502536672,77,68
1502540286,78,64
1502543884,98,75
1502547480,95,68
1502551086,106,60
1502554684,88,80
1502558290,83,58
1502561884,72,61
1502565492,91,60
1502569092,100,71
1502572693,84,67
1502576292,75,59
1502579892,71,66
1502583492,98,65
1502587097,84,51
1502590686,87,63
1502594285,67,51
1502597888,68,63
1502601482,62,58
1502605081,73,69
1502608682,63,78
1502612288,75,75
1502615897,77,76
1502619495,88,70
1502623098,72,74
1502626696,69,85
1502630301,77,76
1502633903,87,88
1502637505,89,59
1502641102,79,76
1502644703,85,63
1502648310,86,66
1502651913,81,81
1502655517,73,85
1502659110,73,70
1502662707,71,67
1502666303,86,72
1502669904,97,60
1502673504,75,65
1502677101,75,72
1502680700,76,65
1502684303,65,73
1502687902,79,80
1502691502,76,70
1502695096,54,61
1502698700,101,70
1502702302,75,76
1502705906,75,74
1502709507,70,79
1502713102,76,110
1502716700,76,126
1502720303,79,111
1502723904,87,90
1502727496,81,108
1502731100,71,97
1502734699,72,94
1502738299,76,98
1502741894,72,99
1502745498,83,92
1502749097,86,99
1502752686,82,124
1502756292,65,105
1502759889,82,74
1502763494,69,67
1502767099,69,76
1502770705,78,62
1502774301,90,74
1502777904,71,77
1502781497,82,78
1502785094,63,79
1502788712,83,69
1502792310,71,80
1502795908,66,88
1502799506,78,86
1502803115,80,104
1502806705,84,79
1502810313,76,79
1502813896,84,79
1502817501,91,79
1502821105,77,71
1502824709,81,69
1502828310,81,85
1502831907,74,84
1502835503,67,88
1502839102,66,76
1502842703,73,65
1502846298,67,82
1502849906,78,80
1502853505,71,65
1502857100,61,93
1502860711,57,74
1502864302,74,67
1502867898,75,70
1502871502,61,70
1502875091,76,80
1502878690,92,74
1502882296,118,75
1502885888,113,91
1502889489,105,85
1502893092,109,74
1502896697,112,85
1502900300,106,93
1502903901,90,72
1502907509,84,74
1502911108,77,64
1502914710,77,78
1502918308,94,82
1502921909,76,74
1502925508,73,73
1502929108,97,78
1502932704,68,84
1502936299,78,78
1502939901,83,79
1502943500,75,66
1502947104,84,65
1502950704,93,72
1502954310,79,63
1502957912,76,78
1502961504,61,66
1502965109,74,79
1502968702,89,80
1502972307,89,85
1502975901,91,73
1502979506,73,80
1502983093,86,86
1502986696,84,82
1502990292,82,81
1502993905,63,72
1502997499,87,80
1503001103,81,79
1503004699,73,84
1503008296,75,95
1503011902,96,82
1503015501,74,79
1503019101,91,74
1503022696,92,86
1503026309,95,56
1503029908,70,60
1503033506,86,72
1503037110,101,73
1503040714,72,63
1503044315,147,76
1503047919,98,96
1503051522,89,126
1503055122,90,125
1503058744,106,124
1503062337,85,112
1503065945,89,120
1503069564,81,133
1503073140,88,124
1503076742,92,116
1503080341,78,108
1503083948,87,107
1503087524,97,114
1503091128,86,82
1503094720,76,115
1503098317,74,104
1503101913,82,94
1503105511,74,110
1503109118,98,100
1503112716,86,111
1503116300,87,110
1503119907,70,112
1503123501,68,99
1503127089,67,105
1503130688,63,111
1503134291,73,132
1503137881,65,137
1503141496,70,126
1503145085,81,133
1503148682,72,127
1503152269,69,161
1503155862,63,161
1503159458,58,159
1503163054,72,140
1503166653,70,152
1503170250,75,158
1503173842,75,150
1503177443,90,115
1503181037,87,98
1503184646,86,78
1503188247,79,94
1503191835,87,76
1503195433,145,88
1503199039,146,76
1503202638,144,75
1503206246,94,78
1503209838,110,81
1503213444,128,70
1503217054,111,74
1503220651,106,72
1503224254,96,95
1503227862,96,75
1503231462,91,72
1503235080,78,79
1503238675,89,83
1503242272,96,79
1503245869,128,82
1503249483,91,82
1503253088,86,82
1503256687,74,74
1503260300,90,94
1503263904,76,73
1503267489,62,72
1503271093,59,86
1503274687,71,69
1503278297,78,93
1503281900,210,80
1503285496,77,75
1503289063,58,63
1503292681,82,88
1503296283,80,77
1503299882,69,63
1503303507,77,109
1503307088,71,78
1503310694,73,64
1503314286,76,71
1503317878,81,79
1503321478,79,71
1503325082,71,82
1503328680,88,84
1503332287,66,83
1503335883,70,75
1503339488,73,76
1503343079,96,71
1503346673,54,72
1503350281,67,81
1503353877,76,80
1503357478,79,76
1503361075,60,59
1503364675,56,85
1503368277,69,71
1503371887,77,73
1503375481,60,72
1503379093,70,93
1503382689,71,74
1503386285,78,83
1503389874,78,70
1503393488,86,91
1503397079,80,64
1503400672,63,64
1503404283,65,80
1503407890,99,78
1503411483,90,86
1503415086,82,75
1503418679,70,76
1503422291,87,87
1503425885,60,76
1503429493,70,95
1503433079,74,82
1503436676,71,70
1503440274,73,72
1503443877,57,65
1503447477,70,80
1503451072,83,64
1503454670,65,73
1503458266,58,75
1503461866,61,64
1503465470,57,55
1503472662,160,151
1503476265,98,67
1503479867,94,67
1503483463,85,91
1503487066,100,100
1503490664,80,121
1503494263,67,108
1503497864,95,100
