DateTime,Entries,UniqueIPs
1502289842,6726,6726
1502293683,6747,6747
1502299443,6757,6757
1502301363,6733,6733
1502305210,6750,6750
1502307122,6743,6743
1502310963,6746,6746
1502314804,6689,6689
1502319122,6679,6679
1502321284,6746,6746
1502323206,6706,6706
1502325124,6679,6679
1502327046,6685,6685
1502328963,6688,6688
1502334724,6691,6691
1502336642,6692,6692
1502340484,6668,6668
1502344322,6700,6700
1502346242,6668,6668
1502348163,6700,6700
1502352012,6705,6705
1502353923,4944,4944
1502355843,6701,6701
1502357763,6695,6695
1502361604,6701,6701
1502363763,6731,6731
1502365923,6719,6719
1502367854,6731,6731
1502369763,6707,6707
1502373609,6719,6719
1502375522,6707,6707
1502377443,6745,6745
1502381282,6739,6739
1502385123,6765,6765
1502387043,6763,6763
1502391608,6756,6756
1502395443,6759,6759
1502399283,6740,6740
1502401203,6724,6724
1502406963,6685,6685
1502408882,6699,6699
1502414643,6699,6699
1502416563,6685,6685
1502418482,6707,6707
1502420410,6677,6677
1502422323,6707,6707
1502424243,6677,6677
1502426162,6646,6646
1502432163,6692,6692
1502434322,6700,6700
1502438163,6708,6708
1502442005,6698,6698
1502443923,6699,6699
1502447763,6685,6685
1502451602,6699,6699
1502453523,6690,6690
1502455444,6710,6710
1502459283,6724,6724
1502463123,6725,6725
1502465044,6724,6724
1502466963,6733,6733
1502470807,6735,6735
1502472724,6740,6740
1502476562,6722,6722
1502480404,6740,6740
1502482322,6725,6725
1502484244,6709,6709
1502490002,6688,6688
1502491922,6654,6654
1502495763,6690,6690
1502497684,6654,6654
1502499607,6690,6690
1502501527,6668,6668
1502505362,6647,6647
1502511123,6630,6630
1502513044,6639,6639
1502517122,6641,6641
1502520963,6662,6662
1502524812,6688,6688
1502526722,6686,6686
1502534883,6700,6700
1502538963,6713,6713
1502541126,6706,6706
1502543043,6705,6705
1502544963,6714,6714
1502549043,6724,6724
1502554802,6727,6727
1502556723,6726,6726
1502558642,6714,6714
1502560564,6690,6690
1502562483,6726,6726
1502566323,6711,6711
1502568245,6718,6718
1502570162,6695,6695
1502574002,6718,6718
1502575924,6682,6682
1502579763,6661,6661
1502581682,6690,6690
1502583604,6661,6661
1502585522,6690,6690
1502587443,6667,6667
1502589363,6661,6661
1502591284,6648,6648
1502595123,6652,6652
1502598964,6625,6625
1502604722,6657,6657
1502606644,6674,6674
1502608562,6657,6657
1502610483,6696,6696
1502612402,6625,6625
1502614324,6686,6686
1502616242,6674,6674
1502618163,6704,6704
1502622018,6701,6701
1502624163,6711,6711
1502629924,6705,6705
1502631843,6714,6714
1502633764,6705,6705
1502637844,6731,6731
1502639764,6739,6739
1502643607,6738,6738
1502645524,6730,6730
1502649605,6709,6709
1502651523,6730,6730
1502653444,6711,6711
1502657524,6701,6701
1502661364,6693,6693
1502667122,6642,6642
1502670962,6619,6619
1502674803,6642,6642
1502676723,6656,6656
1502678643,6645,6645
1502682483,6644,6644
1502686322,6616,6616
1502692084,6648,6648
1502694006,6655,6655
1502697843,6648,6648
1502699763,6666,6666
1502703605,6657,6657
1502707684,6685,6685
1502711523,6684,6684
1502715365,6671,6671
1502717283,6684,6684
1502719207,6691,6691
1502721124,6697,6697
1502725204,6704,6704
1502729043,6696,6696
1502733364,6716,6716
1502737208,6738,6738
1502739124,6730,6730
1502741524,6738,6738
1502743442,6700,6700
1502747521,6670,6670
1502751363,6648,6648
1502755213,6670,6670
1502757122,6643,6643
1502761202,6648,6648
1502763127,6635,6635
1502765042,6624,6624
1502771042,6617,6617
1502772963,6616,6616
1502776807,6644,6644
1502780882,6665,6665
1502782802,6650,6650
1502784723,6665,6665
1502786643,6673,6673
1502790483,6661,6661
1502794322,6670,6670
1502798163,6662,6662
1502802012,6689,6689
1502807762,6686,6686
1502811603,6696,6696
1502815443,6693,6693
1502817362,6700,6700
1502819282,6696,6696
1502821923,4096,4096
1502823843,6694,6694
1502825762,6695,6695
1502829603,6673,6673
1502833442,6666,6666
1502837283,6643,6643
1502841123,6645,6645
1502844963,6632,6632
1502848808,6642,6642
1502852643,6625,6625
1502854562,6594,6594
1502858402,6599,6599
1502862722,6632,6632
1502866564,6632,6632
1502868484,6618,6618
1502870407,6632,6632
1502872323,6650,6650
1502876162,6660,6660
1502880002,6641,6641
1502881923,6660,6660
1502883843,6644,6644
1502889602,6639,6639
1502893444,6655,6655
1502895608,6641,6641
1502897522,6639,6639
1502899682,6697,6697
1502901602,6703,6703
1502903523,6641,6641
1502905443,6708,6708
1502911684,6704,6704
1502913628,6708,6708
1502915523,6657,6657
1502919362,6634,6634
1502923203,6629,6629
1502925123,6632,6632
1502927043,6629,6629
1502928964,6632,6632
1502930882,6597,6597
1502934722,6609,6609
1502938563,6598,6598
1502942412,6562,6562
1502944325,6566,6566
1502948163,6606,6606
1502952004,6594,6594
1502953923,6626,6626
1502955845,6594,6594
1502957763,6626,6626
1502959683,6633,6633
1502963523,6643,6643
1502967364,6634,6634
1502971215,6639,6639
1502973122,6635,6635
1502977202,6659,6659
1502981283,6661,6661
1502987042,6671,6671
1502989683,6676,6676
1502991602,6656,6656
1502995682,6676,6676
1502997603,6650,6650
1502999522,6656,6656
1503001442,6631,6631
1503003362,6629,6629
1503007204,6608,6608
1503009604,6602,6602
1503013443,6612,6612
1503015363,6580,6580
1503017282,6612,6612
1503019203,6580,6580
1503021122,6580,6580
1503024963,6557,6557
1503026883,6557,6557
1503030722,6552,6552
1503034562,6585,6585
1503038402,6593,6593
1503042243,6585,6585
1503044163,6594,6594
1503046082,6615,6615
1503049922,6610,6610
1503053763,6617,6617
1503057606,6624,6624
1503059523,6630,6630
1503063362,6637,6637
1503067203,6656,6656
1503071042,6661,6661
1503074882,6675,6675
1503081123,6666,6666
1503084962,6677,6677
1503088803,6670,6670
1503090723,6677,6677
1503092642,6638,6638
1503094562,6661,6661
1503096482,6598,6598
1503102243,6633,6633
1503104163,6626,6626
1503106082,6633,6633
1503108012,6626,6626
1503109923,6620,6620
1503111849,6600,6600
1503113762,6573,6573
1503117603,6564,6564
1503121443,6579,6579
1503125282,6600,6600
1503129123,6602,6602
1503133225,6617,6617
1503135124,6629,6629
1503138963,6639,6639
1503142803,6632,6632
1503144723,6639,6639
1503146883,6632,6632
1503148803,6635,6635
1503150722,6661,6661
1503154563,6650,6650
1503158409,6673,6673
1503160563,6651,6651
1503164402,6649,6649
1503166323,6648,6648
1503172082,6649,6649
1503174002,6651,6651
1503176164,6641,6641
1503178323,6649,6649
1503180243,6625,6625
1503182162,6588,6588
1503184083,6633,6633
1503186243,6607,6607
1503190322,6573,6573
1503194163,6602,6602
1503198010,6575,6575
1503199922,6573,6573
1503203762,6551,6551
1503205683,6581,6581
1503211444,6591,6591
1503215283,6602,6602
1503219123,6616,6616
1503222964,6641,6641
1503224884,6637,6637
1503228724,6632,6632
1503230644,6647,6647
1503232562,6656,6656
1503236402,6680,6680
1503240242,6675,6675
1503244083,6687,6687
1503247922,6687,6687
1503251763,6687,6687
1503253684,6669,6669
1503255608,6671,6671
1503257523,6656,6656
1503261363,6660,6660
1503265206,6639,6639
1503269044,6610,6610
1503272883,6588,6588
1503274802,6660,6660
1503276723,6576,6576
1503280810,6592,6592
1503282724,6588,6588
1503284645,6639,6639
1503286564,6522,6522
1503290403,6522,6522
1503294242,6552,6552
1503298083,6562,6562
1503301924,6570,6570
1503307684,6592,6592
1503309607,6602,6602
1503311524,6595,6595
1503315363,6594,6594
1503319205,6607,6607
1503323045,6620,6620
1503324963,6638,6638
1503326884,6620,6620
1503328802,6638,6638
1503330723,6660,6660
1503337203,6666,6666
1503341043,6670,6670
1503344884,6673,6673
1503348723,6660,6660
1503350643,6670,6670
1503352564,6633,6633
1503356408,6615,6615
1503358322,5352,5352
1503360243,6622,6622
1503362162,6595,6595
1503366003,6613,6613
1503369842,6590,6590
1503373682,6569,6569
1503377522,6557,6557
1503381363,6590,6590
1503385208,6612,6612
1503387122,6636,6636
1503390963,6635,6635
1503394803,6650,6650
1503398644,6633,6633
1503402723,6634,6634
1503404657,6633,6633
1503406563,6637,6637
1503408723,6663,6663
1503412562,6677,6677
1503416643,6671,6671
1503420482,6680,6680
1503426243,6671,6671
1503428163,6670,6670
1503432009,6684,6684
1503433922,6652,6652
1503435842,6617,6617
1503441842,6593,6593
1503447602,6617,6617
1503449522,6670,6670
1503451443,6652,6652
1503453363,6589,6589
1503457442,6617,6617
1503459363,6589,6589
1503461283,6580,6580
1503463202,6569,6569
1503467042,6586,6586
1503470882,6585,6585
1503472802,6586,6586
1503474722,6607,6607
1503478563,6613,6613
1503483123,6603,6603
1503485043,6585,6585
1503486963,6603,6603
1503488882,6600,6600
1503492722,6599,6599
1503496812,6607,6607
1503498722,6626,6626
1503504483,6628,6628
1503508322,6635,6635
1503510243,6629,6629
1503514082,6651,6651
1503517922,6650,6650
1503523683,6681,6681
1503525607,6652,6652
1503527522,6596,6596
1503531603,6614,6614
1503535442,6596,6596
1503537364,6622,6622
1503541202,6621,6621
1503543122,6611,6611
1503546963,6607,6607
1503550810,6607,6607
1503554643,6609,6609
1503556562,6615,6615
1503560404,6625,6625
1503566402,6623,6623
1503568322,6622,6622
1503572162,6633,6633
1503576009,6630,6630
1503577923,6636,6636
1503581762,6645,6645
1503585603,6648,6648
1503589443,6657,6657
1503593283,6660,6660
1503597122,6676,6676
1503600963,6667,6667
1503604816,6684,6684
1503608642,6681,6681
1503612482,6646,6646
1503614402,6626,6626
1503616323,6646,6646
1503618243,6626,6626
1503624003,6614,6614
1503625922,6629,6629
1503629763,6606,6606
1503631683,6591,6591
1503635523,6587,6587
1503639362,6612,6612
1503641282,6591,6591
1503643203,6616,6616
1503647042,6625,6625
1503652802,6618,6618
1503654722,6625,6625
1503656644,6625,6625
1503658563,6632,6632
1503660483,6625,6625
1503662412,6628,6628
1503664323,6652,6652
1503668162,6655,6655
1503672242,6664,6664
1503678002,6661,6661
1503679922,6653,6653
1503683763,6644,6644
1503687608,6664,6664
1503689523,6644,6644
1503691443,6665,6665
1503693362,6636,6636
1503697204,6635,6635
1503699123,6636,6636
1503701043,6614,6614
1503704882,6629,6629
1503708722,6608,6608
1503712563,6626,6626
1503716405,6603,6603
1503718323,6588,6588
1503722162,6575,6575
1503726002,6586,6586
1503729842,6590,6590
1503733682,6601,6601
1503737522,6600,6600
1503743283,6606,6606
1503745204,6617,6617
1503747122,6606,6606
1503749042,6637,6637
1503750962,6633,6633
1503754804,6642,6642
1503758642,6657,6657
1503762722,6642,6642
1503764644,6652,6652
1503768482,6648,6648
1503770408,6649,6649
1503774483,6649,6649
1503776403,6637,6637
1503778324,6649,6649
1503780242,6611,6611
1503784082,6590,6590
1503787922,6577,6577
1503790323,6590,6590
1503794162,6577,6577
1503798002,6592,6592
1503801842,6558,6558
1503803762,6557,6557
1503809522,6547,6547
1503813363,6570,6570
1503817206,6569,6569
1503819122,6588,6588
1503822962,6604,6604
1503824883,6609,6609
1503830642,6621,6621
