DateTime,AddedIPs,RemovedIPs
1502785515,79,3
1502786112,96,3
1502787013,119,3
1502787613,36,3
1502793913,1,0
1502804413,2,0
1502812815,1,0
1502816112,1,0
1502816413,0,1
1502818514,0,1
1502823014,5,0
1502825713,1,0
1502827214,0,1
1502829613,1,0
1502830813,1,0
1502839213,1,0
1502840114,0,1
1502840713,0,1
1502842214,0,1
1502843413,0,1
1502844314,0,1
1502849713,6,1
1502850913,3,0
1502863513,1,0
1502873414,0,1
1502874313,0,1
1502882716,1,0
1502886313,0,1
1502888113,1,1
1502890213,0,1
1502891413,0,1
1502893522,0,1
1502895313,94,0
1502896813,9,0
1502897116,107,3
1502901013,0,1
1502902513,0,1
1502906418,0,1
1502907614,0,1
1502907913,1,0
1502919313,1,0
1502920816,0,1
1502923812,0,1
1502926813,0,1
1502939114,1,0
1502940614,0,1
1502940913,0,1
1502943313,1,0
1502944814,70,3
1502945114,71,3
1502945414,58,3
1502945713,36,0
1502946013,25,0
1502946613,117,0
1502946914,54,0
1502947213,52,0
1502947519,40,0
1502947814,68,0
1502948113,33,0
1502948414,52,0
1502948713,60,0
1502949013,63,0
1502949613,113,0
1502949913,85,0
1502950512,123,1
1502950813,75,0
1502951413,109,6
1502952013,122,3
1502952313,64,0
1502952913,118,0
1502953513,102,3
1502953812,50,0
1502954414,77,0
1502954713,57,0
1502955313,131,12
1502955613,69,0
1502956213,135,3
1502956514,71,9
1502956814,69,3
1502957414,124,3
1502957713,71,0
1502958014,61,0
1502958322,57,0
1502958613,43,0
1502959213,101,6
1502959512,42,9
1502960113,120,0
1502960713,90,1
1502961013,53,3
1502961613,92,12
1502961913,52,1
1502962513,104,0
1502965213,1,0
1502966112,28,0
1502975713,18,0
1502982012,8,0
1502983213,82,0
1502983513,23,0
1502983814,4,0
1502984113,1,0
1502985013,60,0
1502985613,23,5
1502990113,28,0
1502990414,39,0
1502991012,32,0
1502991314,10,0
1502991613,26,0
1502992213,41,0
1502992513,8,0
1502992814,21,0
1502993413,44,0
1502993714,24,0
1502994016,20,1
1502994318,6,0
1502994613,29,0
1502995212,48,0
1502995513,26,0
1502996113,72,3
1502996414,18,0
1502997013,51,3
1502997314,48,6
1502997613,37,3
1502997913,18,0
1502998513,34,6
1502998814,20,1
1502999113,37,4
1502999413,23,0
1503000013,77,3
1503000313,33,0
1503000913,51,0
1503001213,40,0
1503001813,91,0
1503002113,30,0
1503002414,27,0
1503002713,25,3
1503003013,30,0
1503003313,38,0
1503003912,86,0
1503004213,39,6
1503004813,60,0
1503005122,19,0
1503005713,71,3
1503006013,46,0
1503006313,30,0
1503006613,26,0
1503006912,28,0
1503007214,22,0
1503007513,16,0
1503008413,15,0
1503012613,1,0
1503014413,1,0
1503024913,1,0
1503028513,0,1
1503042013,2,0
1503043214,34,1
1503043513,148,3
1503044113,44,0
1503045613,1,0
1503056113,0,1
1503062413,43,0
1503062713,63,0
1503063613,1,0
1503064814,1,0
1503068714,45,0
1503069613,21,0
1503070214,1,0
1503070813,68,0
1503071412,67,0
1503072016,1,0
1503075613,1,0
1503075913,1,0
1503081014,0,1
1503084014,0,1
1503093913,1,0
1503099614,0,1
1503101713,1,0
1503114914,0,1
1503117913,0,1
1503131413,1,0
1503132612,1,0
1503135014,0,1
1503136513,0,1
1503159613,1,0
