DateTime,AddedIPs,RemovedIPs
1500272643,423,446
1500280322,326,329
1500288003,238,236
1500295683,205,202
1500303365,170,155
1500307443,197,195
1500315123,146,143
1500322803,132,130
1500330723,67,65
1500338404,296,904
1500346083,780,225
1500353763,693,668
1500361443,421,413
1500365283,327,325
1500372962,229,229
1500380643,178,175
1500388323,148,142
1500396003,176,170
1500403684,130,135
1500411628,92,91
1500415445,66,69
1500423363,284,894
1500431282,792,218
1500438963,648,613
1500446642,376,388
1500454563,410,411
1500462243,410,430
1500466083,132,131
1500473762,102,113
1500481442,144,149
1500489122,59,56
1500496805,42,46
1500504482,24,27
1500512163,310,841
1500519842,768,211
1500523682,708,679
1500531603,386,390
1500539284,333,330
1500546962,260,264
1500554644,205,194
1500562322,165,157
1500570009,188,181
1500574083,102,111
1500581765,70,83
1500589443,55,63
1500597122,355,887
1500604804,742,260
1500612482,737,692
1500620163,368,366
1500627843,334,342
1500631683,242,240
1500639363,155,148
1500647283,155,148
1500654962,135,128
1500662883,111,118
1500670564,166,173
1500678243,94,94
1500682082,317,885
1500689762,778,250
1500697445,706,675
1500705122,359,366
1500712803,349,345
1500720483,207,208
1500728164,208,195
1500735843,156,156
1500739683,138,136
1500747842,86,88
1500755522,88,92
1500763444,54,48
1500771122,611,887
1500778803,677,443
1500782643,760,712
1500790563,369,379
1500798244,314,323
1500805923,238,239
1500813604,256,235
1500821282,138,128
1500828964,135,141
1500836642,125,114
1500840483,112,105
1500848163,63,65
1500855842,588,914
1500863523,725,438
1500871207,688,672
1500878883,410,413
1500886564,384,378
1500894242,256,260
1500898083,186,185
1500906002,142,143
1500913683,169,157
1500921363,110,119
1500929043,102,105
1500936723,49,45
1500944403,527,894
1500948243,742,435
1500955923,625,607
1500963842,328,332
1500971523,266,247
1500979204,185,188
1500987123,124,125
1500995043,109,104
1500998883,101,106
1501006563,84,83
1501014243,80,82
1501021923,57,60
1501029602,613,859
1501037282,688,457
1501044964,677,644
1501052643,389,390
1501056483,323,310
1501064403,243,241
1501072323,164,167
1501080004,148,142
1501087683,128,133
1501095364,97,99
1501103283,77,74
1501107123,42,43
1501114802,733,889
1501122483,685,566
1501130163,693,666
1501137843,406,389
1501145522,307,322
1501153203,240,229
1501157282,199,198
1501164962,132,138
1501172882,183,177
1501180802,140,151
1501188482,96,102
1501196164,52,58
1501200243,677,870
1501208164,674,478
1501215843,681,676
1501223522,372,372
1501231204,282,271
1501238882,201,210
1501247044,191,188
1501250884,176,164
1501258803,177,176
1501266484,129,129
1501274163,70,69
1501281843,47,52
1501289522,618,892
1501297209,679,440
1501301045,695,668
1501308964,432,418
1501316883,311,310
1501324563,200,215
1501332482,195,194
1501340411,157,159
1501344243,130,124
1501352164,115,112
1501359842,88,86
1501367586,44,50
1501376406,11,888
1501380245,827,10
1501387923,681,631
1501395842,480,456
1501403522,346,349
1501411443,224,224
1501419123,172,171
1501426808,135,143
1501430883,123,117
1501439044,120,124
1501446722,109,111
1501454404,63,70
1501462322,11,885
1501470007,869,9
1501473843,655,627
1501481523,355,348
1501489202,300,312
1501496884,219,217
1501504562,234,232
1501512243,158,153
1501519922,137,132
1501527604,97,105
1501531443,89,92
1501539124,58,61
1501546802,299,894
1501554483,803,223
1501562162,678,672
1501570083,369,362
1501577764,298,283
1501585442,181,185
1501589523,190,186
1501597203,134,138
1501604883,122,132
1501612802,118,124
1501620483,82,82
1501628165,37,37
1501632243,613,887
1501639923,681,442
1501647603,737,675
1501655523,417,440
1501663443,350,346
1501671122,229,231
1501678815,209,210
1501682643,144,146
1501690323,150,155
1501698002,101,104
1501705683,88,89
1501713362,79,73
