DateTime,AddedIPs,RemovedIPs
1503405026,138,209
1503405618,20,15
1503406431,2551,0
1503406831,188,3
1503407568,137,277
1503408613,134,236
1503409702,111,325
1503410021,254,0
1503410861,199,156
1503411613,22,11
1503411716,124,0
1503412220,40,256
1503413554,138,233
1503414446,143,269
1503415462,60,10
1503415873,95,186
1503416705,346,353
1503417367,20,11
1503418205,163,164
1503419291,131,790
1503421241,536,301
1503421368,89,191
1503422405,110,0
1503423148,31,24
1503423215,91,167
1503424538,255,0
1503425083,46,15
1503425405,194,269
1503426615,116,210
1503426973,32,9
1503427510,255,250
1503428919,22,13
1503429306,262,571
1503430085,112,0
1503430841,27,13
1503430925,85,259
1503432754,21,13
1503432908,132,173
1503433686,161,0
1503434676,25,11
1503435638,224,459
1503436584,118,20
1503438503,209,293
1503440659,206,161
1503441028,115,1
1503441726,106,235
1503442589,14,19
1503442800,130,105
1503443707,72,14
1503444506,26,15
1503444620,88,256
1503445315,88,266
1503446455,24,308
1503447006,188,130
1503448085,130,1
1503448347,15,17
1503448927,90,313
1503449824,95,1
1503450266,16,14
1503450606,121,160
1503452171,19,21
1503452526,235,276
1503454116,18,15
1503454205,226,186
1503455428,147,202
1503456029,28,23
1503456306,131,90
1503457987,18,15
1503458106,230,177
1503459027,0,251
1503459858,286,372
1503461808,282,228
1503462624,151,0
1503463327,93,363
1503463691,20,18
1503465006,232,182
1503465636,390,0
1503466085,125,0
1503467549,11,25
1503468025,136,349
1503468605,175,141
1503469461,14,18
1503470527,250,392
1503471387,13,7
1503472213,266,187
1503473325,174,12
1503474137,118,359
1503475221,21,23
1503476107,216,280
1503477160,106,12
1503477607,117,449
1503478507,97,1
1503479063,12,19
1503479406,171,304
1503480607,236,434
1503480998,8,12
1503481658,219,124
1503483170,211,284
1503483606,232,1
1503485054,16,19
1503485108,285,365
1503486979,439,425
1503487710,143,0
1503488893,13,21
1503489625,229,287
1503489895,217,415
1503490851,239,30
1503492746,188,18
1503492782,0,1780
1503493229,254,538
1503493806,141,293
1503494675,16,268
1503495305,203,373
1503496844,38,36
1503497312,235,335
1503498752,44,21
1503499248,199,352
1503500063,7,508
1503500664,11,15
1503501404,0,27746
1503502206,27618,0
1503502573,12,16
1503503107,98,367
1503503611,1272,0
1503504497,28,987
1503504906,163,191
1503505552,100,0
1503506435,12,21
1503506707,96,287
1503508340,486,0
1503508507,177,151
1503509742,394,136
1503510255,30,13
1503510605,186,60
1503510872,0,255
1503511223,69,0
1503512201,201,151
1503512654,106,1
1503514097,26,13
1503514520,253,0
1503515405,379,330
1503516016,28,15
1503516618,0,255
1503516867,195,161
1503517952,146,80
1503519874,193,138
1503520222,133,190
1503520926,84,80
1503521787,17,12
1503522606,185,135
1503523693,36,37
1503523823,0,255
1503524705,251,237
1503525647,109,73
1503526206,108,128
1503527551,8,12
1503528127,237,239
1503529713,213,172
1503531617,166,226
1503531905,89,60
1503532617,76,0
1503533559,125,177
1503534485,137,0
1503535472,10,24
1503535966,129,295
1503536595,163,157
1503537398,10,15
1503537452,119,0
1503539309,12,18
1503539665,312,311
1503540606,142,162
1503541236,10,24
1503542526,302,365
1503543163,19,17
1503543547,138,175
1503544506,153,13
1503545074,12,19
1503545405,154,226
1503546305,154,67
1503546971,24,16
1503547253,164,139
1503548064,140,1
1503548895,16,15
1503549024,129,1
1503550848,621,298
1503551336,221,147
1503552756,12,13
1503553507,231,0
1503554689,212,320
1503555306,318,166
1503556590,20,14
1503556926,290,319
1503558510,21,14
1503559206,320,156
1503560105,168,241
1503560417,15,16
1503561137,142,73
1503562334,12,15
1503563095,292,188
1503564006,116,404
1503564253,18,11
1503564907,129,0
1503565731,97,172
1503566442,22,35
1503567023,154,1
1503568352,18,33
1503568812,89,293
1503569645,170,146
1503570256,18,36
1503570749,145,209
1503572194,10,15
1503572425,143,89
1503573006,133,140
1503574117,154,24
1503576049,152,251
1503576140,109,232
1503577206,114,0
1503577961,26,21
1503578405,143,293
1503579221,99,0
1503579861,21,14
1503580058,81,180
1503581789,12,18
1503582125,194,281
1503583709,14,24
1503584046,205,135
1503584916,85,1
1503585613,14,17
1503586566,190,225
1503587556,126,157
1503589474,528,274
1503590430,1011,511
1503591425,421,1019
1503592085,99,0
1503593326,93,250
1503595239,714,113
1503596106,171,178
1503597162,16,12
1503597305,170,67
1503599113,249,142
1503600006,91,253
1503600996,123,10
1503601806,89,116
1503602916,30,16
1503603905,283,256
1503604844,57,20
1503605405,169,160
1503606759,146,268
1503607326,113,288
1503608681,19,14
1503609245,239,132
1503610599,181,200
1503611538,106,72
1503612498,43,14
1503612604,94,147
1503613692,140,0
1503614411,10,15
1503615635,231,497
1503616355,176,155
1503617407,201,210
1503618273,13,12
1503618305,155,64
1503620197,299,193
1503622119,352,310
1503622845,142,165
1503623706,157,0
1503624018,23,18
1503624905,219,224
1503625935,18,8
1503627864,325,286
1503628226,111,0
1503629792,14,32
1503630024,235,340
1503630606,91,182
1503631711,22,11
1503631823,201,239
1503632707,128,58
1503633620,16,13
1503634514,238,171
1503635554,60,40
1503636006,224,310
1503636966,127,2
1503637474,347,0
1503637818,132,126
1503639390,20,11
1503639885,285,295
1503640565,82,0
1503641309,20,17
1503641406,108,196
1503642627,168,266
1503643233,12,10
1503643327,121,84
1503645153,22,17
1503645307,245,162
1503645906,97,0
1503647056,24,13
1503647637,161,294
1503648972,25,7
1503649207,235,151
1503650898,17,13
1503651216,105,456
1503652213,303,254
1503652839,18,14
1503653286,191,0
1503654733,19,8
1503654966,376,549
1503655806,140,273
1503656672,26,13
1503657021,166,0
1503658574,15,15
1503658991,263,698
1503660006,172,1
1503660491,23,9
1503660630,87,0
1503661335,137,657
1503662450,229,198
1503663309,129,1
1503664360,161,14
1503665622,506,0
1503666265,169,261
1503666908,252,234
1503667685,157,0
1503668190,23,7
1503669647,279,391
1503670093,16,23
1503670506,99,1
1503671447,98,188
1503672271,20,32
1503672307,123,60
1503673383,123,142
1503674198,20,10
1503674406,124,0
1503675613,159,177
1503676098,17,524
1503676565,416,0
1503677406,109,192
1503678042,24,850
1503678638,166,418
1503679958,23,16
1503681012,370,430
1503681862,422,0
1503682086,165,1
1503683789,15,10
1503684537,412,563
1503685700,181,26
1503685819,254,0
1503687642,174,352
1503688449,249,159
1503689556,19,19
1503690133,192,261
1503691468,161,230
1503692107,108,0
1503693402,163,202
1503695328,288,267
1503695709,53,0
1503696579,122,210
1503697239,12,16
1503697338,98,74
1503699154,16,16
1503699308,199,149
1503701069,249,511
1503703015,211,151
1503703824,0,251
1503704534,193,286
1503704915,14,7
1503705622,92,0
1503706506,100,173
1503706824,19,11
1503707705,108,220
1503708756,10,25
1503709223,138,90
1503710108,81,164
1503710663,23,19
1503711729,180,346
1503712576,20,10
1503713407,169,171
1503714495,117,22
1503715326,93,418
1503716450,100,46
1503717309,105,231
1503718356,19,32
1503720283,238,463
1503720606,93,237
1503722176,13,15
1503722527,204,508
1503723367,100,0
1503724115,403,0
1503724506,100,242
1503725428,92,0
1503726021,126,408
1503726965,119,0
1503727944,112,194
1503728109,15,0
1503729027,69,249
1503729858,15,15
1503729906,89,159
1503730565,64,0
1503731418,66,176
1503731791,14,22
1503732486,87,0
1503733712,18,18
1503734442,106,366
1503735632,147,181
1503737106,180,272
1503737534,11,15
1503737977,82,95
1503738869,84,15
1503739458,12,21
1503739820,80,189
1503740534,70,53
1503741389,14,17
1503741641,110,151
1503742446,70,0
1503743327,22,16
1503743420,69,0
1503745226,210,247
1503745817,64,218
1503747137,16,5
1503747918,186,304
1503749076,19,13
1503749709,161,127
1503750996,8,25
1503751326,179,675
1503752914,15,21
1503753307,168,210
1503754085,107,0
