DateTime,Entries,UniqueIPs
1502823084,42205,132922
1502823820,42693,133777
1502826310,42694,133524
1502828163,42692,133523
1502828265,42697,133528
1502829909,42696,133272
1502830843,42701,133277
1502833906,42703,133024
1502835461,42705,133026
1502836323,42704,133279
1502838050,42705,133280
1502838908,42702,133530
1502841798,42700,133528
1502842659,42704,133532
1502844003,42360,133189
1502847390,42359,133188
1502849861,42362,133191
1502850762,42363,133192
1502851683,42619,133446
1502852636,42614,133441
1502857116,42615,133442
1502859364,42680,133507
1502863480,42682,133509
1502864260,42684,133511
1502865159,42685,133512
1502866253,42658,133485
1502867043,42653,133486
1502867749,42654,133487
1502868762,42655,133488
1502870884,42651,133484
1502871346,42650,133483
1502871464,42656,133489
1502874738,42662,133495
1502878563,42673,133507
1502878663,42674,133508
1502880465,42675,133509
1502884072,42676,133510
1502884994,42677,133511
1502885772,42896,133719
1502885859,42899,133722
1502886483,42901,133723
1502887659,42903,133725
1502887875,42228,133048
1502891064,42228,133048
1502893065,42231,133051
1502894162,42222,133042
1502896816,42216,133036
1502900260,42225,133045
1502902083,42236,133056
1502907462,42238,133058
1502908097,42231,133051
1502909763,42210,133031
1502914659,42213,133034
1502917442,42214,133035
1502919088,42202,133023
1502921283,42204,133025
1502921865,42210,133031
1502928964,42015,132831
1502929070,42017,132833
1502930413,42007,132823
1502936258,42009,132825
1502936643,42226,133041
1502940631,42231,132791
1502941408,42229,132789
1502943476,42232,132792
1502944324,42234,132794
1502950667,42236,132796
1502952003,42242,132803
1502952349,42235,132796
1502952458,42214,132775
1502954197,42213,132774
1502958024,42217,132778
1502959682,42215,132776
1502962412,42207,132768
1502965059,42209,132770
1502967363,42206,132511
1502971263,42352,132659
1502972262,42355,132662
1502973290,42350,132657
1502975042,42338,132645
1502975748,42337,132389
1502976628,42339,132391
1502978479,42340,132392
1502978882,42350,132401
1502979460,42354,132405
1502980217,41355,131400
1502984660,41350,131395
1502986563,41349,131394
1502986668,41351,131396
1502989216,41393,131438
1502991171,41873,132285
1502993860,41873,132286
1502994483,41864,132278
1502995639,41858,132272
1502995663,41836,132250
1503001071,41837,132251
1503002403,41831,132246
1503006435,41828,132243
1503008264,41831,132246
1503010084,41842,132257
1503011004,41841,132001
1503011864,41842,132002
1503012766,41843,132003
1503015464,41842,132002
1503017763,41733,131891
1503022108,41736,131894
1503022661,41740,131898
1503025443,41792,131951
1503028615,41795,131954
1503029284,41857,132015
1503029880,41857,132015
1503036964,41849,132008
1503037067,41854,132013
1503039138,41838,131997
1503039352,41835,131994
1503042468,41836,131995
1503044643,41835,131997
1503045905,41836,131998
1503050222,41839,132001
1503051472,41842,132005
1503052323,41859,132018
1503058553,41864,132036
1503058665,41869,132041
1503060003,41872,132044
1503061182,41870,132042
1503062222,41869,132041
1503064571,41859,132538
1503065814,41863,132542
1503065863,41863,132542
1503067684,41865,132544
1503070219,41864,132798
1503072382,41868,132802
1503073072,41874,132808
1503075363,41873,132807
1503079443,41867,132546
1503080276,41870,132549
1503082772,41011,130650
1503083452,41015,130654
1503085509,41017,130399
1503087364,41010,130392
1503087472,41016,130398
1503089110,41015,130142
1503093792,41008,130388
1503095005,39961,129329
1503095524,39961,129329
1503101861,39963,129331
1503103203,39894,129263
1503105947,39891,129260
1503110883,39932,129300
1503116279,39935,129303
1503116870,39940,129308
1503117164,39941,129309
1503118564,39972,129340
1503123463,39976,129344
1503125265,39573,128690
1503126243,39556,128673
1503128021,39560,128677
1503128867,39561,128678
1503130083,39569,128686
1503130654,39574,128691
1503138003,39565,128683
1503138852,39569,128687
1503144364,39627,128691
1503145069,39628,128692
1503145683,39642,128706
1503146706,39641,128450
1503147800,39642,128451
1503148621,39637,128446
1503149659,39635,128444
1503152260,39640,128449
1503153165,39641,128450
1503153363,39641,128450
1503153906,39640,128194
1503158592,39638,128700
1503159462,39640,128702
1503160285,39639,128701
1503161042,39640,128703
1503162948,39640,128703
1503163058,39641,128704
1503166660,39643,128706
1503168723,39642,128705
1503168742,39620,128427
1503171353,39616,128423
1503173865,39617,128424
1503176405,39619,128426
1503177461,39620,128427
1503180242,39619,128426
1503181063,39620,128427
1503182334,39617,128679
1503187922,39501,128562
1503188262,39505,128566
1503189021,39504,128310
1503193338,39512,128318
1503195462,39513,128319
1503195843,39585,128391
1503199056,39586,128392
1503202682,39588,128394
1503203522,39660,128466
1503204509,39664,128470
1503208066,39665,128471
1503209866,39668,128474
1503211443,39633,128439
1503211661,39099,127649
1503213466,39100,127650
1503215416,39106,127656
1503217065,39112,127662
1503219122,39120,127672
1503224263,39121,127673
1503226243,39122,127674
1503226806,39122,127680
1503229901,39123,127681
1503230643,39123,127681
1503231464,39174,127717
1503237312,39171,127714
1503238322,39185,127725
1503238672,39188,127728
1503246002,39187,127727
1503248020,39187,128237
1503248435,39186,128236
1503250219,39184,127724
1503253064,39189,127729
1503253683,39193,127733
1503255127,39172,127712
1503259456,39171,127711
1503260265,39175,127715
1503261362,39173,127713
1503267459,39176,127716
1503269043,39176,127716
1503270503,39173,127713
1503274661,39174,127714
1503276722,39075,127608
1503281755,39076,127609
1503281865,39077,127610
1503284644,39097,127630
1503288484,39163,127697
1503289076,39168,127702
1503290855,39169,127703
1503291338,35382,123864
1503292560,35381,123863
1503294351,35382,123864
1503296163,35382,123865
1503296268,35387,123870
1503298402,35367,123850
1503303322,35365,123848
1503303845,35370,123853
1503310560,35371,123854
1503310666,35374,123857
1503311523,35380,123864
1503314294,35376,123860
1503316339,35377,124626
1503316847,35396,124658
1503317865,35395,124657
1503319204,35376,124639
1503325057,35378,124641
1503325364,35376,124639
1503326883,35371,124633
1503327866,35380,124642
1503330868,35381,124133
1503332260,35387,124139
1503334564,35406,124156
1503335863,35407,124157
1503337215,36035,125415
1503339465,36041,125421
1503341638,35470,124513
1503342243,35469,124512
1503343066,35470,124513
1503346088,35474,124520
1503346666,35481,124527
1503348421,35483,124529
1503353763,35486,124532
1503353864,35492,124546
1503361060,35498,124552
1503361444,35380,124431
1503363797,35690,124744
1503368269,35695,124749
1503369122,35793,124847
1503373929,35793,125102
1503375484,35795,125104
1503376041,35781,125090
1503376803,35824,125133
1503382666,35827,125136
1503384483,35823,125132
1503384977,35672,124922
1503385393,35673,124923
1503387028,35671,124921
1503389865,35675,124925
1503392164,35669,124919
1503393354,35670,124920
1503397063,35671,124921
1503398148,35673,124923
1503399843,35661,124910
1503403682,35669,124918
1503404264,35761,125010
1503406431,35747,125760
1503409206,35743,125756
1503410021,35743,126011
1503411362,35743,126011
1503411470,35742,126010
1503412220,35743,126011
1503415240,35749,126017
1503415822,35749,125768
1503418664,35757,125776
1503419043,35758,125779
1503419420,35763,125529
1503420178,35758,125524
1503420464,35759,125525
1503425861,35763,125529
1503426722,35761,125527
1503427659,35370,124992
1503431260,35371,124993
1503433076,35377,124999
1503434643,35385,125007
1503437576,36143,126091
1503440270,36145,126093
1503442323,34681,124620
1503446414,34678,124615
1503447471,34681,124618
1503448222,34685,124366
1503453332,34681,124362
1503454082,34650,124332
1503458913,34649,124331
1503461763,34697,124379
1503461882,34701,124383
1503464152,34703,124385
1503469062,34708,124390
1503469444,34693,124375
1503471166,34671,124353
1503474977,34672,124354
1503476262,34675,124357
1503477123,34699,124382
1503478849,34698,124381
1503483463,34702,124385
1503484804,34700,124382
1503486014,34703,124384
1503489213,34705,123876
1503489672,34781,123955
1503490674,34782,123956
1503492483,34788,123961
1503495028,34787,123960
1503497219,34795,123968
1503497864,34794,123967
1503498767,34796,123714
1503500168,34793,123711
1503502576,34796,123714
1503503107,34795,123458
1503503611,34794,123712
1503505062,34798,123716
1503507843,34804,123722
1503508218,34808,123726
1503511401,34809,123727
1503511683,34812,123730
1503512266,34815,123733
1503514520,34160,122876
1503516765,34161,122877
1503519380,34152,122869
1503519463,34154,122871
1503526660,34155,122872
1503527043,34150,122867
1503528464,34824,123986
1503530390,34827,123989
1503533870,34828,123990
1503534722,34821,123984
1503541065,34823,123986
1503541204,34827,123991
1503542404,34766,123928
1503546258,34766,123928
1503548287,34768,123930
1503550083,34811,123974
1503552092,34815,123979
1503555467,34817,123981
1503557763,34804,123969
1503562672,34808,123973
1503563244,34807,123972
