DateTime,AddedIPs,RemovedIPs
1503472922,3,2
1503473522,1,0
1503474122,4,5
1503475321,9,0
1503475922,3,12
1503476522,0,8
1503477721,2,0
1503478921,1,3
1503480121,5,1
1503480781,1,0
1503481322,0,1
1503483121,0,2
1503483721,2,0
1503484922,3,2
1503485521,2,3
1503486122,4,12
1503486722,1,0
1503487321,1,7
1503487921,15,12
1503487981,4,5
1503489721,5,8
1503490321,5,0
1503490921,5,8
1503491522,4,0
1503492122,3,0
1503493322,3,3
1503493922,1,0
1503494522,5,1
1503495721,2,1
1503496321,0,2
1503496922,2,6
1503497522,0,8
1503498122,1,0
1503498721,2,1
1503498781,3,1
1503499322,5,0
1503499922,2,1
1503500521,1,14
1503501721,1,1
1503502921,2,1
1503504122,5,9
1503504722,4,4
1503505321,7,11
1503506521,5,0
1503507121,3,0
1503507722,13,0
1503508322,1,1
1503508921,5,0
1503509582,0,1
1503510122,4,0
1503510722,1,0
1503511322,10,7
1503511922,0,1
1503512522,1,3
1503513122,4,2
1503513721,1,1
1503514321,2,3
1503514921,4,0
1503515522,1,0
1503516122,21,1
1503516721,1,1
1503517321,4,2
1503517921,3,3
1503519722,0,7
1503520321,3,2
1503520921,27,3
1503521521,0,2
1503522121,3,1
1503523322,2,9
1503525122,1,0
1503525721,10,1
1503526322,3,0
1503526921,0,1
1503528721,17,21
1503529322,11,1
1503530521,10,0
1503531181,14,3
1503531722,1,13
1503532322,2,3
1503532921,5,0
1503533521,0,1
1503534122,1,0
1503535322,5,13
1503536522,6,2
1503537122,1,15
1503537721,3,2
1503538322,1,2
1503538921,2,2
1503539522,2,1
1503540122,4,1
1503541322,5,1
1503542521,1,0
1503543722,1,7
1503544922,4,16
1503545522,1,0
1503546122,13,9
1503547321,8,1
1503547921,3,0
1503548522,4,5
1503549122,1,0
1503549722,3,0
1503550321,0,1
1503550921,1,0
1503552122,3,1
1503552721,1,1
1503553322,1,3
1503554521,28,41
1503555122,1,0
1503555722,1,14
1503556922,4,4
1503557522,6,2
1503558121,3,0
1503560522,1,5
1503561121,0,8
1503561722,9,11
1503562322,4,2
1503562922,11,7
1503563521,1,0
1503564121,1,1
1503565321,2,0
1503565921,1,0
1503566522,1,0
1503567121,0,10
1503567721,1,4
1503568322,1,0
1503568922,3,7
1503569522,5,1
1503571321,1,0
1503572522,1,19
1503573721,1,3
1503574921,8,13
1503576121,5,7
1503577322,2,4
1503577922,23,24
1503578521,5,0
1503579122,0,1
1503579721,2,6
1503580321,0,3
1503580921,2,6
1503582121,1,10
1503583321,1,2
1503584522,1,11
1503585121,0,2
1503585721,9,4
1503586921,0,1
1503587522,0,1
1503588122,17,5
1503588722,0,1
1503589321,1,1
1503590521,1,5
1503591122,3,4
1503591722,1,2
1503592322,2,4
1503592921,4,2
1503593521,6,19
1503594122,3,19
1503594721,3,3
1503595322,2,7
1503596522,6,2
1503597122,1,8
1503597722,1,5
1503598922,2,2
1503599521,0,1
1503600122,2,0
1503600722,2,0
1503601322,3,0
1503601922,1,1
1503602522,7,8
1503603721,2,3
1503604921,0,3
1503606121,1,3
1503607322,1,1
1503607922,0,1
1503609121,0,1
1503609721,0,1
