DateTime,AddedIPs,RemovedIPs
1502756177,2,0
1502759302,0,1
1502759774,1,0
1502762175,0,3
1502762661,1,0
1502769133,2,0
1502774900,0,1
1502775391,1,0
1502780657,0,1
1502785219,1,1
1502790037,1,0
1502791937,1,1
1502797933,0,2
1502798901,3,1
1502799374,0,1
1502802982,1,0
1502804417,0,2
1502804908,1,1
1502806334,0,1
1502808256,1,0
1502812334,0,1
1502813059,1,0
1502814022,1,0
1502818817,1,1
1502826258,6,2
1502829621,0,1
1502831540,1,0
1502833969,3,0
1502836340,0,1
1502838259,1,0
1502840181,2,0
1502852661,0,2
1502860825,0,1
1502861298,1,0
1502868018,4,0
1502868504,0,1
1502874735,0,2
1502880978,2,0
1502887932,1,3
1502902577,0,1
1502903538,0,1
1502904018,1,0
1502905216,1,0
1502906903,0,1
1502909539,1,1
1502910495,1,0
1502912661,1,4
1502921343,1,0
1502931858,2,0
1502932334,1,1
1502932816,1,0
1502935454,0,1
1502939059,0,2
1502940976,2,0
1502952503,0,2
1502968336,1,0
1502972430,0,1
1502973373,0,1
1502973859,0,1
1502975057,1,0
1502975785,1,0
1502980094,1,1
1502999055,4,2
1503017780,2,0
1503018267,0,1
1503018734,1,0
1503019702,1,1
1503020658,0,2
1503022586,3,2
1503024015,2,0
1503026896,1,2
1503027854,0,2
1503038904,1,1
1503052588,1,0
1503073936,0,1
1503075858,1,0
1503083057,0,1
1503084975,1,0
1503085462,3,3
1503096257,3,0
1503104175,2,0
1503104666,0,1
1503105143,0,2
1503105615,1,2
1503106095,0,1
1503115699,0,2
1503139978,1,0
1503160102,2,0
1503163455,0,2
1503172100,2,2
1503180264,0,1
1503182177,1,0
1503183713,1,0
1503188421,2,0
1503191058,1,1
1503191534,1,1
1503192021,1,0
1503193933,0,2
1503194898,2,0
1503195375,0,2
1503240259,2,0
1503251778,0,2
1503258499,2,1
1503271473,3,0
1503278903,2,1
1503279374,1,0
1503279859,0,1
1503281783,1,0
1503285137,0,2
1503290895,1,0
1503294351,1,0
1503310582,1,0
1503311541,1,0
1503314422,2,0
1503315155,5,0
1503336006,1,0
1503337686,0,1
1503338168,1,0
1503339126,0,1
1503340805,1,0
1503344649,2,2
1503353768,0,1
1503354245,1,0
1503359087,5,0
1503363615,2,0
1503364577,0,1
1503365046,1,1
1503365525,1,0
1503366009,0,1
1503366966,1,1
1503368404,0,1
1503370325,1,2
1503371286,2,0
1503376807,0,3
1503378014,0,1
1503378486,2,0
1503388325,0,2
1503389772,9,0
1503390248,1,0
1503390726,0,1
1503392645,0,1
1503393365,2,0
1503393849,1,0
1503394328,0,2
1503396246,0,1
1503396726,1,0
1503400568,0,1
1503401523,0,1
1503402248,1,0
1503402771,2,0
1503404164,0,1
1503404660,0,1
1503405128,0,1
1503405604,1,0
1503406086,1,0
1503408732,0,1
1503409205,1,0
1503410649,0,1
1503411124,1,0
1503411604,0,1
1503412084,2,0
1503416164,0,1
1503416647,1,0
1503418568,0,1
1503419046,1,0
1503419524,2,0
1503424085,0,1
1503424565,1,0
1503425046,1,1
1503426005,0,2
1503428887,0,1
1503429849,0,1
1503430807,1,1
1503431284,2,6
1503431765,2,0
1503435124,0,1
1503435612,0,1
1503436085,1,0
1503440408,0,1
1503441129,1,0
1503444005,0,1
1503445449,1,0
1503448325,2,0
1503450246,0,3
1503451204,0,1
1503451686,1,0
1503452165,1,0
1503453124,0,1
1503453611,1,1
1503455048,1,0
1503456488,0,1
1503456965,1,0
1503457449,0,1
1503457927,1,0
1503459850,0,2
1503468966,0,1
1503469447,1,0
1503472808,0,1
1503474727,1,0
1503476169,0,1
1503476646,1,1
1503477130,1,1
1503479528,0,1
1503485048,1,0
1503490453,2,0
1503490822,0,1
1503491286,1,0
1503492727,1,0
1503493215,7,0
1503494164,0,4
1503494650,4,0
1503495128,0,3
1503495612,3,0
1503497764,0,1
1503498247,1,0
1503498727,0,1
1503499210,1,0
1503500649,0,1
1503502567,2,0
1503503046,0,1
1503507849,0,1
1503508326,1,0
1503508809,0,4
1503509284,3,0
1503510727,1,0
1503511209,0,2
1503512173,0,1
1503512645,1,0
1503513124,0,1
1503517448,3,2
1503523211,0,1
1503523690,1,0
1503526564,0,1
1503527046,1,0
1503530164,0,3
1503530647,3,0
1503531123,0,1
1503531610,1,0
1503534005,0,3
1503534512,5,0
1503536415,2,0
1503536885,0,1
1503537368,1,1
1503538326,1,2
1503538805,2,0
1503539294,1,1
1503539769,1,0
1503541208,0,2
1503541686,1,1
1503542649,1,0
1503544568,0,2
1503545049,2,0
1503545528,0,2
1503546005,2,0
1503548407,0,2
1503549365,0,1
1503551764,1,0
1503552245,0,1
1503554165,1,0
1503554652,0,1
1503555124,1,1
1503555604,0,1
1503556086,1,0
1503557049,1,0
1503558488,0,1
1503558968,0,2
1503559446,2,0
1503560410,1,0
1503561365,1,0
1503562326,1,1
1503562804,0,1
1503563290,1,0
1503566407,0,1
1503566888,1,0
1503567364,0,1
1503569764,0,1
1503571687,1,0
1503573604,0,2
1503574096,3,0
1503574564,0,1
1503576967,0,1
1503578197,2,0
1503578885,1,0
1503580329,0,1
1503580806,0,2
