DateTime,Entries,UniqueIPs
1502887699,1934,1934
1502889647,1941,1941
1502891565,1965,1965
1502893459,1947,1947
1502895756,1964,1964
1502897784,1975,1975
1502899714,1983,1983
1502901642,2049,2049
1502903571,2071,2071
1502905455,2109,2109
1502907658,2126,2126
1502909569,2135,2135
1502911711,2139,2139
1502913696,2329,2329
1502917479,2362,2362
1502919401,2408,2408
1502921332,2401,2401
1502923216,2410,2410
1502925163,2438,2438
1502927067,2453,2453
1502928998,2464,2464
1502930925,2478,2478
1502932847,2477,2477
1502934760,2487,2487
1502936662,2495,2495
1502938582,2513,2513
1502940507,2512,2512
1502942452,2522,2522
1502944375,2523,2523
1502946283,2522,2522
1502948193,2871,2871
1502950113,2930,2930
1502952049,2965,2965
1502953965,3024,3024
1502955881,3046,3046
1502957811,3037,3037
1502959726,3045,3045
1502961653,3050,3050
1502963564,3050,3050
1502965486,3056,3056
1502967386,3092,3092
1502969311,3108,3108
1502971403,3181,3181
1502973386,3209,3209
1502975309,3221,3221
1502977244,3219,3219
1502979157,3224,3224
1502981329,3238,3238
1502983246,3237,3237
1502985158,3237,3237
1502987088,2000,2000
1502989750,2802,2802
1502991627,2782,2782
1502993824,2782,2782
1502995728,2815,2815
1502997633,2835,2835
1502999549,2829,2829
1503001494,2845,2845
1503003389,2830,2830
1503005308,2815,2815
1503007288,2814,2814
1503009657,2805,2805
1503011552,2843,2843
1503013469,2846,2846
1503015410,2855,2855
1503017309,2846,2846
1503019234,2828,2828
1503021150,2800,2800
1503023072,2747,2747
1503025012,2743,2743
1503026904,2726,2726
1503028857,2680,2680
1503030748,2661,2661
1503032679,2653,2653
1503034602,3387,3387
1503036512,3372,3372
1503038427,3389,3389
1503040352,3381,3381
1503042267,3365,3365
1503044215,3361,3361
1503046127,3333,3333
1503048038,3331,3331
1503049960,3328,3328
1503051852,3308,3308
1503053784,3309,3309
1503055707,3309,3309
1503057715,3288,3288
1503061483,3263,3263
1503063388,3246,3246
1503065311,3173,3173
1503067245,3160,3160
1503069162,3147,3147
1503071063,3113,3113
1503073014,1243,1243
1503074924,1243,1243
1503077074,2019,2019
1503079005,2007,2007
1503081167,1970,1970
1503084993,1955,1955
1503086910,1985,1985
1503088831,2004,2004
1503090750,2011,2011
1503092663,2003,2003
1503095026,1996,1996
