DateTime,Entries,UniqueIPs
1503412206,39485,39485
1503413107,39401,39401
1503414008,39395,39395
1503414907,39367,39367
1503415808,39312,39312
1503416708,39288,39288
1503417608,39243,39243
1503418510,39224,39224
1503419408,39187,39187
1503420307,39164,39164
1503421208,39136,39136
1503422107,39118,39118
1503423006,39101,39101
1503423907,39075,39075
1503424807,39038,39038
1503425707,39010,39010
1503426607,38993,38993
1503427506,38974,38974
1503428406,38952,38952
1503429307,38907,38907
1503430207,38879,38879
1503431106,38852,38852
1503432006,38828,38828
1503432906,38797,38797
1503433806,38778,38778
1503434707,38756,38756
1503435606,38727,38727
1503436506,38686,38686
1503437405,38652,38652
1503438305,38617,38617
1503439205,38559,38559
1503440105,38524,38524
1503441005,38474,38474
1503441905,38451,38451
1503442806,38427,38427
1503443706,38422,38422
1503444605,38414,38414
1503445505,38397,38397
1503446405,38434,38434
1503447305,38429,38429
1503448205,38419,38419
1503449106,38413,38413
1503450005,38444,38444
1503450904,38480,38480
1503451805,38543,38543
1503452704,38647,38647
1503453605,38852,38852
1503454505,38936,38936
1503455404,38953,38953
1503456304,38985,38985
1503458104,39157,39157
1503459005,39234,39234
1503459905,39322,39322
1503460805,39333,39333
1503461705,39376,39376
1503462606,39396,39396
1503463505,39444,39444
1503464405,39454,39454
1503465305,39456,39456
1503466205,39467,39467
1503467107,39477,39477
1503468006,39472,39472
1503468906,39474,39474
1503469806,39484,39484
1503470706,39449,39449
1503471607,39443,39443
1503472506,39390,39390
1503473406,39105,39105
1503474306,39038,39038
1503475206,38987,38987
1503476106,38942,38942
1503477006,38844,38844
1503477906,38779,38779
1503478806,38747,38747
1503479705,38609,38609
1503480606,38451,38451
1503481506,38295,38295
1503482406,38190,38190
1503483306,38212,38212
1503484207,38260,38260
1503485107,38293,38293
1503486006,38685,38685
1503486906,39160,39160
1503487806,39375,39375
1503488708,39319,39319
1503489607,39378,39378
1503490508,39149,39149
1503491408,38999,38999
1503492309,38859,38859
1503493208,38845,38845
1503494107,38805,38805
1503495007,38774,38774
1503495908,38709,38709
1503496808,38675,38675
1503497708,38618,38618
1503498608,38574,38574
1503499508,38487,38487
1503500407,38452,38452
1503501307,38366,38366
1503502207,38274,38274
1503503107,38197,38197
1503504007,38191,38191
1503504908,38169,38169
1503505807,38094,38094
1503506707,38038,38038
1503507607,38001,38001
1503508507,37925,37925
1503509406,37756,37756
1503510306,37569,37569
1503511206,37391,37391
1503512105,37315,37315
1503513007,37272,37272
1503513907,37221,37221
1503514806,37181,37181
1503515705,37166,37166
1503516607,37202,37202
1503517506,37365,37365
1503518406,37409,37409
1503519306,37460,37460
1503520206,37456,37456
1503521106,37504,37504
1503522005,37623,37623
1503522905,37716,37716
1503523807,37769,37769
1503524706,37825,37825
1503525606,37865,37865
1503526506,38003,38003
1503527405,38069,38069
1503529205,38109,38109
1503530105,38162,38162
1503531004,38228,38228
1503531904,38240,38240
1503532803,38264,38264
1503533705,38293,38293
1503534605,38359,38359
1503535505,38554,38554
1503536403,38781,38781
1503537304,38845,38845
1503538205,38890,38890
1503539104,38864,38864
1503540004,38897,38897
1503540904,38991,38991
1503541805,39018,39018
1503542706,39062,39062
1503543606,39124,39124
1503544507,39213,39213
1503545406,39211,39211
1503546306,39246,39246
1503547206,39303,39303
1503548107,39311,39311
1503549006,39360,39360
1503549907,39376,39376
1503550807,39410,39410
1503551707,39464,39464
1503552608,39544,39544
1503553508,39544,39544
1503554409,39556,39556
1503555307,39557,39557
1503556208,39396,39396
1503557107,39308,39308
1503558009,39248,39248
