DateTime,AddedIPs,RemovedIPs
1501029035,17,0
1501032633,2,0
1501036835,5,0
1501041035,6,0
1501045235,3,0
1501052433,2,0
1501057236,2,0
1501062036,2,0
1501068036,6,0
1501072835,2,0
1501081236,4,0
1501084833,3,0
1501092033,4,0
1501099233,1,0
1501102834,3,0
1501110033,1,0
1501113635,2,0
1501117232,1,0
1501124433,2,0
1501127435,1,0
1501131635,2,0
1501135233,5,0
1501139436,1,0
1501144835,1,0
1501147833,3,0
1501151438,1,0
1501160435,3,0
1501163433,1,0
1501170633,2,0
1501174235,2,0
1501177833,4,0
1501182635,2,0
1501185635,4,0
1501189236,5,0
1501192834,2,0
1501196435,4,0
1501200032,31,0
1501203634,1,0
1501210833,3,0
1501218032,1,0
1501221635,1,0
1501228234,2,0
1501231833,1,0
1501239633,1,0
1501246832,3,0
1501254033,2,0
1501257635,1,0
1501261233,2,0
1501264235,1,0
1501268435,2,0
1501275632,1,0
1501279234,2,0
1501282232,3,0
1501287035,4,0
1501295433,2,0
1501299034,2,0
1501306235,3,0
1501309833,1,0
1501313434,1,0
1501317035,2,0
1501320035,1,0
1501324235,2,0
1501341632,1,0
1501349435,10,0
1501356635,1,0
1501360233,1,0
1501363837,1,0
1501367433,1,0
1501370434,1,0
1501374635,3,0
1501382432,2,0
1501387235,4,0
1501390833,2,0
1501398034,1,0
1501401635,1,0
1501405232,1,0
1501408836,2,0
1501428032,1,0
1501432235,4,0
1501435833,2,0
1501450235,1,0
1501454435,6,0
1501468835,1,0
1501474234,1,0
1501479035,2,0
1501482632,1,0
1501486835,1,0
1501492234,1,0
1501497635,3,0
1501501233,1,0
1501510233,1,0
1501515035,2,0
1501519235,1,0
1501522833,4,0
1501526435,3,0
1501530635,1,0
1501535435,3,0
1501540835,4,0
1501544431,3,0
1501550435,4,0
1501555835,2,0
1501569032,1,0
1501573234,5,0
1501578635,1,0
1501587033,2,0
1501605032,1,0
1501615835,2,0
1501619433,3,0
1501623034,2,0
1501626633,1,0
1501636237,1,0
1501641634,4,0
1501653632,1,0
1501667432,3,0
1501675232,2,0
1501685435,1,0
1501689032,3,0
1501700433,1,0
1501704035,1,0
1501711234,3,0
1501714833,19,0
1501718434,6,0
1501732831,4,0
1501740034,2,0
1501758035,2,0
1501761632,1,0
1501771831,1,0
1501775435,1,0
1501779032,3,0
1501782634,3,0
1501794033,1,0
1501797635,3,0
1501804833,4,0
1501809034,2,0
1501819234,2,0
1501822832,3,0
1501825834,2,0
1501829431,1,0
1501848031,3,0
1501851034,2,0
1501858231,1,0
1501865432,2,0
1501869034,2,0
1501890631,1,0
1501894834,1,0
1501910433,1,0
1501914032,1,0
1501921232,1,0
1501932032,1,0
1501935634,2,0
1501939233,1,0
1501957834,1,0
1501975831,2,0
1501982432,3,0
1501989631,1,0
1501993833,1,0
1501997431,1,0
1502001034,1,0
1502007634,1,0
1502011232,1,0
1502018431,1,0
1502029235,5,0
1502036494,4,0
1502044232,1,0
1502050831,2,0
1502061631,1,0
1502074231,1,0
1502077834,105,0
1502082034,207,0
1502091635,6,0
1502097034,21,0
1502101835,1,0
1502109032,7,0
1502112634,6,0
1502119835,2,0
1502123432,1,0
1502127034,10,0
1502130632,15,0
1502134235,7,0
1502141434,6,0
1502144432,10,0
1502148634,2,0
1502155834,7,0
1502159432,3,0
1502163035,5,0
1502166631,1,0
1502170234,2,0
1502173832,5,0
1502181032,6,0
1502191834,1,0
1502195432,4,0
1502199034,1,0
1502202632,2,0
1502209832,16,0
1502213435,24,0
1502217032,12,0
1502220634,1,0
1502224835,1,0
1502228432,6,0
1502233835,9,0
1502244032,9,0
1502248234,1,0
1502252434,8,0
1502259632,27,0
1502263834,21,0
1502273435,16,0
1502279434,59,0
1502285435,7,0
1502289636,6,0
1502295634,28,0
1502301036,15,0
1502306435,7,0
1502311835,15,0
1502316635,3,0
1502322034,4,0
1502327435,9,0
1502333434,8,0
1502339435,7,0
1502344235,4,0
1502354434,3,0
1502360434,9,0
1502365235,6,0
1502371234,4,0
1502376635,3,0
1502381434,3,0
1502385032,1,0
1502388634,2,0
1502392232,3,0
1502396435,1,0
1502401234,2,0
1502406635,4,0
1502412033,7,0
1502417434,5,0
1502426435,6,0
1502430031,9,0
1502433034,2,0
1502437234,0,6
1502440832,3,0
1502446235,2,10
1502451634,2,8
1502455232,2,0
1502458235,2,3
1502462437,6,4
1502467834,3,14
1502473236,6,5
1502476832,6,0
1502480435,9,3
1502485835,3,10
1502491833,6,5
1502496633,1,3
1502500832,0,5
1502505632,1,4
1502511634,6,1
1502516433,3,7
1502521833,1,9
1502526633,1,4
1502530230,1,0
1502534433,4,11
1502538031,1,0
1502543433,3,3
1502546430,1,0
1502550033,2,8
1502553631,2,9
1502560834,0,3
1502563832,2,8
1502568033,1,6
1502571631,1,0
1502575232,1,5
1502578831,2,0
1502583633,4,11
1502588433,3,3
1502599832,2,8
1502607632,1,5
1502611832,2,3
1502617234,0,3
1502620831,1,0
1502625632,0,9
1502632831,0,2
1502635833,0,7
1502643631,7,2
1502646633,5,5
1502650833,1,3
1502655633,6,7
1502661034,1,1
