DateTime,AddedIPs,RemovedIPs
1501468833,5,4
1501474232,4,0
1501479032,3,8
1501482630,3,0
1501486833,3,12
1501492232,1,0
1501497633,7,3
1501501230,1,0
1501506632,2,10
1501510230,2,0
1501515032,4,0
1501519233,2,5
1501522831,3,0
1501526432,4,5
1501530633,2,4
1501535432,5,9
1501540832,5,0
1501544429,5,0
1501550433,3,4
1501555832,7,4
1501560632,4,10
1501565432,4,12
1501569030,5,0
1501573232,7,4
1501578633,3,5
1501583433,4,4
1501587030,2,0
1501590632,3,4
1501594230,2,3
1501597833,2,2
1501605030,3,17
1501608635,6,4
1501615833,3,5
1501619431,4,10
1501623032,1,0
1501626630,4,10
1501630832,4,11
1501636234,5,4
1501641632,1,0
1501645238,3,4
1501650032,1,1
1501653630,2,0
1501656632,2,0
1501660230,4,6
1501667430,4,5
1501671633,1,4
1501675229,6,0
1501678832,4,0
1501682430,5,5
1501685433,2,0
1501689030,5,2
1501692632,4,0
1501700430,4,5
1501704033,6,3
1501707630,3,0
1501711232,1,6
1501714831,6,5
1501718432,4,1
1501722030,5,2
1501725632,5,0
1501732829,3,4
1501740032,1,5
1501743632,3,0
1501747230,4,0
1501750232,0,5
1501753830,4,10
1501758032,5,5
1501761630,3,0
1501764632,4,2
1501771829,4,6
1501775432,5,0
1501779030,2,4
1501782632,3,11
1501786230,4,0
1501790433,2,7
1501794030,1,4
1501797633,2,5
1501804830,7,9
1501809032,2,7
1501814432,3,3
1501819232,3,0
1501822830,3,0
1501825832,0,10
1501829429,3,0
1501833031,2,2
1501836630,2,9
1501840232,6,0
1501844432,1,5
1501848029,4,3
1501851032,4,4
1501858229,5,4
1501865430,5,10
1501869032,4,2
1501872630,3,4
1501876232,4,0
1501879830,4,3
1501882831,3,3
1501890629,2,9
1501894832,6,2
1501899032,1,5
1501906829,3,6
1501910431,4,4
1501914030,2,1
1501917632,2,3
1501921230,3,3
1501924831,3,3
1501929032,2,3
1501932030,3,4
1501935632,4,1
1501939230,4,6
1501942831,1,4
1501945829,2,0
1501949432,4,4
1501953029,3,1
1501957833,3,6
1501961429,4,0
1501964432,1,8
1501968030,4,0
1501975829,4,7
