DateTime,AddedIPs,RemovedIPs
1501492232,14,19
1501497633,23,19
1501501230,20,22
1501506632,23,21
1501510230,20,23
1501515032,17,18
1501519233,19,17
1501522831,22,22
1501526432,24,21
1501530633,20,23
1501535432,26,23
1501540832,23,25
1501544429,25,23
1501550433,21,25
1501555832,22,20
1501560632,24,24
1501565432,20,22
1501569030,19,19
1501573232,23,21
1501578633,21,22
1501583433,19,23
1501587030,22,17
1501590632,20,21
1501594230,18,20
1501597833,19,17
1501605030,20,21
1501608635,22,21
1501612230,22,20
1501615833,20,22
1501619431,22,22
1501623032,19,21
1501626630,18,17
1501630832,23,23
1501636234,25,23
1501641632,21,22
1501645238,19,19
1501650032,19,22
1501653630,17,15
1501656632,22,21
1501660230,23,21
1501667430,22,24
1501671633,21,22
1501675229,22,20
1501678832,19,20
1501682430,24,21
1501685433,17,22
1501689030,20,18
1501692632,23,22
1501700430,22,23
1501704033,19,18
1501707630,23,23
1501711232,21,22
1501714831,18,20
1501718432,18,17
1501722030,23,20
1501725632,21,21
1501732829,23,22
1501740032,19,25
1501743632,23,18
1501747230,24,24
1501750232,20,22
1501753830,20,20
1501758032,24,22
1501761630,19,22
1501764632,22,20
1501771829,23,23
1501775432,21,23
1501779030,21,19
1501782632,18,20
1501786230,19,18
1501790433,20,21
1501794030,22,21
1501797633,23,24
1501804830,25,22
1501809032,19,25
1501814432,21,18
1501819232,20,21
1501822830,23,22
1501825832,20,20
1501829429,20,20
1501833031,18,17
1501836630,15,18
1501840232,21,16
1501844432,20,23
1501848029,19,18
1501851032,21,21
1501858229,24,22
1501865430,21,24
1501869032,20,19
1501872630,20,20
1501876232,20,20
1501879830,21,19
1501882831,20,23
1501890629,23,21
1501894832,23,24
1501899032,21,20
1501906829,20,22
1501910431,20,18
1501914030,19,21
1501917632,23,20
1501921230,21,22
1501924831,19,21
1501929032,21,19
1501932030,19,22
1501935632,22,19
1501939230,19,22
1501942831,18,18
1501945829,18,16
1501949432,20,22
1501953029,20,19
1501957833,21,20
1501961429,19,19
1501964432,19,19
1501968030,23,22
1501975829,23,23
1501978832,20,22
1501982430,16,16
1501989629,23,21
1501993831,18,20
1501997429,16,16
1502001032,23,20
1502004030,19,23
1502007632,22,20
1502011230,22,21
1502014831,15,17
1502018429,17,19
1502025630,21,17
1502029232,21,20
1502036440,21,22
1502040632,19,19
1502044230,17,19
1502047832,20,19
1502050829,21,22
1502054431,21,19
1502061629,24,25
1502066432,24,23
1502074229,23,24
1502077831,22,22
1502082032,22,21
1502086231,23,24
1502091632,24,23
1502097032,23,23
1502101833,24,24
1502109029,20,21
1502112632,18,21
1502116231,21,18
1502119832,19,17
1502123430,23,23
1502127032,24,24
1502130630,23,23
1502134232,19,22
1502137830,21,21
1502141432,23,20
1502144430,19,21
1502148632,20,21
1502152229,22,20
1502155832,22,22
1502159430,19,21
1502163033,20,20
1502166629,23,20
1502170232,21,21
1502173830,22,24
1502181030,20,22
1502184633,20,19
1502188230,24,20
1502191832,21,22
1502195430,20,21
1502199032,19,21
1502202630,22,19
1502206233,21,25
1502209830,19,16
1502213433,19,19
1502217030,25,23
1502220632,23,23
1502224833,20,24
1502228430,23,23
1502233833,25,23
1502236830,21,20
1502244030,22,25
1502248231,21,20
1502252431,22,22
1502259630,24,23
1502263831,20,20
1502273432,21,23
1502279432,23,20
1502285432,23,25
1502289634,24,24
1502295632,22,23
1502301034,24,22
1502306432,22,20
1502311832,22,25
1502316632,22,23
1502322032,20,20
1502327432,25,23
1502333431,25,24
1502339432,26,26
1502344232,24,25
1502349032,24,24
1502354432,24,25
1502360432,23,22
1502365232,27,25
1502371231,26,26
1502376632,20,24
1502381432,23,22
1502385030,21,20
1502388632,20,22
1502392230,23,20
1502396433,21,23
1502401232,21,21
1502406632,22,20
1502412031,24,25
1502417432,21,22
1502421029,22,22
1502426432,24,21
1502430029,22,25
1502433032,24,22
1502437232,19,21
1502440829,21,23
1502446232,24,22
1502451631,23,23
1502455230,21,22
1502458232,25,23
1502462433,20,21
1502467832,21,21
1502473234,23,21
1502476830,22,25
1502480433,22,21
1502485832,26,24
1502491831,26,26
1502496631,26,26
1502500830,22,24
1502505630,25,23
1502511632,23,26
1502516431,22,22
1502521831,24,22
1502526631,23,25
1502530228,23,20
1502534431,23,24
1502538029,21,24
1502543431,20,21
1502546428,22,17
1502550031,23,26
1502553629,20,20
1502560831,20,22
1502563830,23,18
1502568031,21,24
1502571629,21,19
1502575230,22,25
1502578829,18,17
1502583631,23,22
1502588431,22,23
1502595031,24,22
1502599830,22,23
1502607630,22,24
1502611830,21,20
1502617231,23,21
1502620829,23,22
1502625631,22,22
1502632829,20,25
1502635831,21,19
1502643629,23,21
1502646631,23,22
1502650831,24,24
1502655631,24,24
1502661031,26,26
1502665830,24,24
1502671831,25,25
1502677230,25,25
1502681431,23,25
1502685631,24,24
1502691630,23,24
1502697031,26,23
1502702430,21,23
1502707231,23,23
1502712631,23,23
1502718631,20,20
1502724031,22,22
1502728832,21,21
1502731828,21,18
1502736031,18,25
1502742031,21,17
1502747431,22,21
1502752830,21,24
1502757631,22,19
1502763031,24,24
1502766628,23,22
1502772631,25,25
1502777431,26,26
1502781630,23,25
1502785831,17,18
1502790031,23,23
1502795431,21,20
1502801430,22,22
1502806230,23,23
1502809829,21,21
1502814630,20,21
1502818228,21,19
1502821831,22,23
1502825428,20,20
1502829630,25,23
1502833832,22,23
1502838032,21,23
1502841629,21,20
1502845832,19,21
1502851832,23,20
1502856632,25,24
1502861431,21,22
1502865029,23,22
1502869232,23,24
1502873432,20,23
1502878832,20,20
1502884231,26,21
1502889632,24,25
1502895031,24,26
1502899832,19,20
1502905231,17,21
1502911231,22,17
1502916632,23,24
1502922032,27,23
1502926232,22,26
1502930433,25,21
1502935831,24,27
1502941832,26,24
1502947232,26,25
1502952632,23,26
1502957432,26,24
1502964032,24,25
1502968832,22,24
1502974232,24,23
1502979631,22,23
1502985032,24,23
1502990434,23,22
1502995832,25,24
1503001832,23,25
1503006632,22,22
1503012032,23,24
1503017431,23,22
1503022832,27,24
1503028232,25,27
1503033031,24,23
1503037831,21,26
1503041429,19,18
1503045031,23,18
1503052230,22,25
1503055831,24,22
1503059429,22,23
1503063031,23,24
1503066630,21,18
1503070231,20,23
1503073829,26,23
1503077432,22,23
1503081635,23,24
1503086432,24,24
1503090029,22,23
1503097828,20,22
1503103231,22,19
1503105630,20,23
1503110432,24,22
1503113429,22,21
1503117032,23,22
1503120629,20,24
1503127830,23,20
1503131432,20,23
1503138629,23,21
1503141632,22,22
1503145832,26,24
1503150031,26,26
1503156032,21,26
1503161432,25,21
1503166832,22,23
1503171632,22,23
1503177032,24,23
1503183032,22,24
1503189631,24,22
1503195032,23,24
1503200432,21,23
1503205232,23,20
1503210632,20,21
1503216632,24,22
1503222632,20,24
1503228032,22,21
1503233431,20,19
1503238832,24,23
1503244231,24,23
1503249632,20,23
1503255032,21,21
1503261032,23,19
1503266432,19,23
1503271832,22,21
1503277231,23,23
1503283231,24,23
1503289831,24,24
1503295233,24,24
1503300031,26,24
1503311433,26,26
1503316832,25,26
1503322232,23,25
1503333032,20,17
1503337832,23,25
1503343232,22,22
1503348632,22,24
1503354032,23,22
1503359432,20,23
1503365432,24,20
1503370832,27,24
1503376235,22,27
1503381635,26,21
1503387034,25,27
1503391832,25,25
1503397232,26,25
1503403232,24,26
1503408632,21,24
1503413433,21,18
1503418832,24,24
1503424832,23,23
1503429632,24,24
1503435031,25,24
1503440432,23,24
1503446432,24,23
1503450632,22,23
1503457233,24,23
1503462032,26,24
1503467431,20,25
1503473432,20,20
1503479432,24,21
1503486032,22,24
1503491431,23,23
1503496831,26,23
1503501631,19,22
1503506432,24,23
1503511831,25,24
1503517832,23,25
1503523232,25,23
1503528032,23,24
1503531629,25,23
1503535832,21,26
1503540634,25,20
1503546032,23,24
1503551432,20,24
1503557431,24,19
1503562232,25,25
1503567632,23,25
1503573032,23,24
1503578432,25,22
1503583831,24,25
1503589232,23,24
1503594632,25,24
1503600032,26,25
1503605432,23,24
1503610832,22,24
1503614430,23,22
1503618032,25,22
1503624031,22,27
1503629432,21,19
1503634231,23,23
1503639632,22,23
1503645032,24,21
1503651031,20,24
1503655832,23,20
1503661831,21,22
1503666631,21,22
1503672031,19,21
1503677431,23,19
1503683432,22,22
1503688832,21,22
1503693632,23,24
1503698432,21,20
1503702029,26,23
1503706232,22,25
1503711632,21,21
1503717031,22,23
1503723033,24,22
1503727832,24,25
1503731430,23,23
1503736831,22,22
1503742232,26,24
1503748232,23,24
1503753632,24,24
1503758432,22,25
1503763832,22,20
1503768032,24,24
1503772232,23,22
1503775829,20,21
1503783029,23,22
1503787232,22,23
1503790829,22,23
1503796232,22,22
1503799829,18,20
1503805232,23,21
1503810632,23,23
1503817832,24,23
1503825032,23,23
1503832249,22,23
1503837031,26,23
1503843032,22,26
1503848432,18,21
1503853832,23,18
1503860433,25,24
1503865232,22,23
1503870632,24,24
