DateTime,AddedIPs,RemovedIPs
1502460733,0,2
1502495533,2,0
1502500099,0,1
1502500581,1,0
1502501546,0,1
1502502016,1,0
1502521457,0,2
1502535860,3,1
1502560582,0,2
1502593696,2,0
1502599702,0,2
1502607132,2,0
1502630416,0,2
1502630900,1,0
1502631857,2,0
1502645542,0,2
1502668336,2,0
1502676980,1,1
1502695214,1,0
1502698818,0,2
1502705297,2,0
1502707218,0,1
1502712496,1,2
1502714899,0,1
1502715379,1,0
1502718737,0,1
1502719455,1,0
1502721374,2,0
1502724254,0,1
1502724736,1,0
1502729058,0,2
1502736257,0,1
1502738181,1,0
1502740103,1,1
1502750902,1,0
1502756177,2,0
1502759302,0,1
1502759774,1,0
1502762175,0,3
1502762661,1,0
1502769133,2,0
1502774900,0,1
1502775391,1,0
1502780657,0,1
1502785219,1,1
1502791937,1,1
1502797933,0,2
1502798901,3,1
1502799374,0,1
1502802982,1,0
1502804417,0,2
1502804908,1,1
1502806334,0,1
1502808256,1,0
1502812334,0,1
1502814022,1,0
1502818817,1,1
1502829621,0,1
1502831540,1,0
1502836340,0,1
1502840181,2,0
1502852661,0,2
1502860825,0,1
1502861298,1,0
1502868018,3,1
1502868504,1,1
1502874735,0,2
1502880978,2,0
1502887932,1,3
1502902577,0,1
1502903538,0,1
1502904018,1,0
1502905216,1,0
1502906903,0,1
1502909539,1,1
1502910495,1,0
1502931858,2,0
1502932334,1,1
1502932816,1,0
1502935454,0,1
1502939059,0,2
1502940976,2,0
1502952503,0,2
1502968336,1,0
1502972430,0,1
1502973373,0,1
1502973859,0,1
1502975057,1,0
1502975785,1,0
1502980094,1,1
1503017780,2,0
1503018267,0,1
1503018734,1,0
1503019702,1,1
1503020658,0,2
1503022586,3,2
1503024015,2,0
1503026896,1,2
1503027854,0,2
1503038904,1,1
1503073936,0,1
1503075858,1,0
1503083057,0,1
1503084975,1,0
1503104175,2,0
1503104666,0,1
1503105143,0,2
1503105615,1,2
1503106095,0,1
1503110902,0,1
1503111374,1,0
1503115699,0,2
1503160102,2,0
1503163455,0,2
1503177854,0,1
1503178340,1,0
1503180264,0,1
1503182177,1,0
1503188421,2,0
1503191058,1,1
1503191534,1,1
1503192021,1,0
1503193933,0,2
1503194898,2,0
1503195375,0,2
1503240259,2,0
1503251778,0,2
1503278903,2,1
1503279374,1,0
1503279859,0,1
1503281783,1,0
1503285137,0,2
1503311541,1,0
1503337686,0,1
1503338168,1,0
1503339126,0,1
1503340805,1,0
1503353768,0,1
1503354245,1,0
1503363615,2,0
1503364577,0,1
1503365046,1,1
1503365525,1,0
1503366009,0,1
1503366966,1,1
1503368404,0,1
1503370325,1,2
1503371286,2,0
1503376807,0,3
1503378014,0,1
1503378486,2,0
1503388325,0,2
1503389772,9,0
1503390248,1,0
1503390726,0,1
1503392645,0,1
1503393365,2,0
1503394328,0,2
1503396246,0,1
1503396726,1,0
1503400568,0,1
1503401523,0,1
1503402248,1,0
1503402734,1,0
1503404164,0,1
1503404660,0,1
1503405128,0,1
1503405604,1,0
1503406086,1,0
1503408732,0,1
1503409205,1,0
1503410649,0,1
1503411124,1,0
1503411604,0,1
1503412084,1,0
1503416164,0,1
1503416647,1,0
1503418568,0,1
1503419046,1,0
1503419524,2,0
1503424085,0,1
1503424565,1,0
1503425046,1,1
1503426005,0,2
1503428887,0,1
1503429849,0,1
1503430807,1,1
1503431284,0,2
1503431765,2,0
1503435124,0,1
1503435612,0,1
1503436085,1,0
1503440408,0,1
1503441129,1,0
1503444005,0,1
1503445449,1,0
1503448325,2,0
1503450246,0,3
1503451204,0,1
1503451686,1,0
1503452165,1,0
1503453124,0,1
1503453611,1,1
1503455048,1,0
1503456488,0,1
1503456965,1,0
1503457449,0,1
1503457927,1,0
1503459850,0,2
1503468966,0,1
1503469447,1,0
1503471366,0,1
1503471847,1,0
1503472808,0,1
1503474727,1,0
1503476169,0,1
1503476646,1,1
1503477130,1,1
1503479528,0,1
1503485048,1,0
1503490822,0,1
1503491286,1,0
1503492727,1,0
1503493215,7,0
1503494164,0,4
1503494650,4,0
1503495128,0,3
1503495612,3,0
1503497764,0,1
1503498247,1,0
1503498727,0,1
1503499210,1,0
1503500649,0,1
1503502567,2,0
1503503046,0,1
1503507849,0,1
1503508326,1,0
1503508809,0,4
1503509284,3,0
1503510727,1,0
1503511209,0,2
1503512173,0,1
1503512645,1,0
1503513124,0,1
1503523211,0,1
1503523690,1,0
1503526564,0,1
1503527046,1,0
1503530164,0,3
1503530647,3,0
1503531123,0,1
1503531610,1,0
1503534005,0,3
1503534490,3,0
1503536415,2,0
1503536885,0,1
1503537368,1,1
1503538326,1,2
1503538805,2,0
1503539294,1,1
1503539769,1,0
1503541208,0,2
1503541686,1,1
1503542649,1,0
1503544568,0,2
1503545049,2,0
1503545528,0,2
1503546005,2,0
1503548407,0,2
1503549365,0,1
1503551764,1,0
1503552245,0,1
1503554165,1,0
1503554652,0,1
1503555124,1,1
1503555604,0,1
1503556086,1,0
1503557049,1,0
1503558488,0,1
1503558968,0,2
1503559446,2,0
1503560410,1,0
1503561365,1,0
1503562326,1,1
1503562804,0,1
1503563290,1,0
1503566407,0,1
1503566888,1,0
1503567364,0,1
1503569764,0,1
1503571687,1,0
1503573604,0,2
1503574096,3,0
1503574564,0,1
1503576967,0,1
1503578885,1,0
1503580329,0,1
1503580806,0,2
1503581285,2,0
1503582727,0,1
1503584169,0,1
1503584647,1,0
1503585128,0,1
1503585607,1,0
1503586085,0,2
1503587046,1,0
1503588004,0,1
1503588488,2,0
1503589450,0,1
1503589924,1,0
1503591372,0,2
1503591844,1,0
1503592806,1,0
1503593289,1,0
1503594725,0,2
1503595209,1,1
1503596644,0,1
1503597613,1,0
1503598090,2,0
1503600484,0,2
1503600970,3,1
1503601447,1,0
1503601930,0,1
1503602405,0,1
1503602887,1,0
1503603850,1,0
1503605766,0,1
1503606245,1,0
1503607204,0,1
1503612964,0,1
1503613690,1,0
1503614164,0,1
1503615854,1,0
1503616804,0,2
1503617289,2,0
1503617765,0,1
1503618246,1,0
1503620167,0,1
1503620644,1,0
1503623049,0,1
1503623526,1,1
1503624007,3,1
1503624484,0,1
1503624968,2,0
1503625927,0,1
1503626406,1,0
1503628328,0,1
1503628804,1,0
1503629285,0,1
1503629766,1,0
1503630250,0,1
1503630728,1,0
1503632164,0,2
1503632649,2,0
1503633125,0,1
1503633614,1,0
1503635528,0,1
1503636005,1,0
1503636488,0,2
1503638409,0,1
1503640327,1,0
1503643688,0,1
1503644165,1,0
1503644647,0,1
1503645125,1,0
1503645604,0,1
1503647048,1,1
1503648020,0,1
1503648487,1,0
1503648965,0,1
1503649446,1,0
1503651847,0,1
1503652329,1,0
1503652806,0,4
1503653289,3,0
1503654726,1,0
1503656166,0,2
1503656648,2,0
1503659526,0,1
1503660010,0,1
1503660969,0,2
1503661449,2,0
1503661926,1,0
1503667207,0,2
1503667690,2,0
1503670572,0,2
1503671287,2,0
1503674166,0,2
1503674644,2,0
1503675126,2,0
1503681847,0,2
1503685208,0,3
1503685689,3,0
1503688086,0,1
1503690005,1,0
1503693844,1,0
1503694817,0,1
1503695291,1,0
1503695764,0,3
1503696249,2,0
1503697688,1,0
1503699605,0,1
1503700085,1,0
1503702973,0,1
1503703444,1,0
1503706806,0,1
1503707286,1,0
1503708730,2,0
1503710647,0,1
1503711125,1,0
1503711606,1,1
1503712086,0,3
1503712568,3,0
1503713047,0,1
1503713525,1,0
1503714007,0,2
1503714491,2,0
1503717369,0,1
1503717845,1,0
1503718330,0,1
1503718804,1,0
1503721205,0,1
1503721690,1,0
1503722166,0,1
1503722650,0,2
1503723614,1,0
1503724090,0,1
1503724569,0,1
1503725044,0,1
1503725529,0,1
1503726013,1,0
1503726486,1,0
1503727448,0,2
1503727933,2,0
1503731766,0,1
1503732246,2,0
1503738968,0,1
1503739447,1,0
1503741845,0,1
1503742324,1,0
1503742810,0,2
1503743288,2,0
1503746164,0,1
1503746646,1,0
1503752410,0,1
1503752889,1,0
1503753844,1,0
1503760807,0,1
1503761288,1,0
1503764164,0,1
1503764649,1,0
1503765125,1,0
1503771365,0,2
1503771844,1,0
1503773529,1,0
1503776884,0,1
1503777365,1,0
1503777850,0,1
1503778329,1,1
1503778809,1,0
1503781218,0,1
1503781686,1,0
1503786008,0,1
1503786729,1,0
1503793686,2,0
1503796088,0,2
1503796565,0,3
1503797046,2,0
1503797529,3,0
1503798484,0,1
1503799446,1,0
1503800409,0,2
1503800889,1,0
1503801365,0,1
1503801847,1,0
1503802325,0,2
1503802812,2,0
1503803766,0,1
1503804249,1,0
1503804725,0,1
1503808090,0,2
1503808564,0,1
1503809049,1,0
1503810964,0,1
1503811448,1,1
1503812170,1,0
1503815764,0,1
1503816250,1,0
1503824888,0,1
1503825369,2,0
1503825845,0,1
1503826327,1,0
1503829209,0,1
1503829685,1,0
1503832086,0,1
1503832568,1,0
1503835446,0,1
1503835928,1,0
1503838875,2,0
1503840286,0,1
