DateTime,AddedIPs,RemovedIPs
1503431522,11,9
1503432121,10,6
1503432721,14,0
1503433321,11,0
1503433921,9,11
1503434522,2,6
1503435122,20,14
1503435722,5,0
1503436321,12,4
1503436921,17,16
1503437522,10,4
1503438122,12,0
1503439322,7,15
1503439922,5,7
1503441122,3,9
1503441721,13,15
1503442922,13,0
1503444121,13,32
1503445322,3,11
1503446522,3,7
1503447721,20,25
1503448922,3,12
1503449522,10,0
1503450121,14,11
1503451322,13,37
1503451921,8,0
1503452523,11,8
1503453722,16,0
1503454322,6,3
1503454922,14,18
1503455521,8,16
1503456121,10,0
1503456722,17,8
1503457321,17,9
1503457921,13,5
1503458522,7,3
1503459122,9,0
1503459722,8,26
1503460921,8,23
1503461522,5,11
1503462122,6,7
1503462721,2,0
1503463322,2,0
1503464522,29,14
1503465721,1,0
1503466921,11,9
1503468121,4,41
1503469322,16,11
1503469921,13,7
1503470521,5,8
1503471121,12,0
1503471722,7,6
1503472321,5,17
1503472922,12,9
1503473522,11,0
1503474122,8,2
1503475321,9,7
1503475922,5,6
1503476522,11,9
1503477122,3,3
1503477721,12,6
1503478921,8,17
1503479522,4,0
1503480121,9,7
1503481322,7,23
1503482522,3,23
1503483121,8,0
1503483721,13,0
1503484922,3,21
1503485521,5,6
1503486122,10,0
1503487321,6,0
1503488522,7,0
1503489721,4,47
1503490321,9,0
1503490921,18,7
1503491522,10,0
1503492122,10,7
1503493322,8,8
1503494522,8,3
1503495721,6,18
1503496922,3,22
1503498122,5,0
1503498721,6,3
1503499322,13,3
1503499922,5,7
1503500521,2,9
1503501721,2,20
1503502921,2,18
1503504122,8,41
1503504722,13,0
1503505321,4,0
1503506521,9,52
1503507121,10,0
1503507722,4,0
1503508322,5,46
1503508921,9,21
1503510122,8,0
1503510722,11,5
1503511322,13,0
1503511922,3,38
1503512522,7,0
1503513122,11,23
1503513721,19,0
1503514321,2,14
1503514921,6,11
1503515522,8,9
1503516122,30,0
1503516721,4,6
1503517321,7,40
1503517921,16,10
1503518522,1,0
1503519722,12,35
1503520321,15,12
1503520921,10,0
1503521521,4,6
1503522121,4,25
1503523322,6,39
1503523922,1,13
1503524521,13,18
1503525122,5,0
1503525721,4,3
1503526322,4,0
1503526921,2,25
1503528721,1,29
1503529322,6,7
1503530521,16,12
1503531722,7,0
1503532322,14,13
1503532921,6,4
1503534122,8,5
1503535322,2,10
1503536522,20,3
1503537122,2,5
1503537721,6,0
1503538322,13,13
1503538921,9,3
1503539522,6,8
1503540122,9,16
1503540722,5,6
1503541322,2,0
1503542521,4,36
1503543722,5,43
1503544922,7,11
1503545522,10,14
1503546122,4,8
1503547321,2,8
1503547921,9,0
1503548522,8,17
1503549122,7,0
1503549722,9,7
1503550321,3,0
1503550921,17,0
1503552122,7,16
1503552721,9,0
1503553322,8,0
1503554521,21,14
1503555122,1,0
1503555722,3,0
1503556922,2,35
1503557522,2,4
1503558121,8,0
1503559322,11,17
1503560522,7,10
1503561121,2,6
1503561722,13,8
1503562922,1,20
1503563521,2,0
1503564121,1,21
1503565321,4,8
1503566522,10,29
1503567721,2,17
1503568922,4,0
1503569522,8,0
1503570122,3,21
1503571321,4,0
1503572522,4,13
1503573721,2,27
1503574921,5,3
1503576121,5,15
1503577322,13,3
1503577922,0,16
1503578521,8,0
1503579721,4,21
1503582121,3,18
1503583321,1,0
1503584522,4,3
1503585721,16,1
1503586921,6,22
1503587522,6,5
1503588122,5,2
1503588722,2,0
1503589321,6,4
1503590521,5,40
1503591122,8,0
1503591722,3,0
1503592322,4,7
1503592921,3,0
1503593521,7,51
1503594122,11,0
1503594721,10,2
1503595322,8,3
1503596522,11,21
1503597122,3,17
1503597722,4,53
1503598922,9,13
1503599521,6,45
1503600122,8,14
1503600722,6,4
1503601322,8,52
1503601922,5,0
1503602522,17,13
1503603721,8,7
1503604921,8,35
1503606121,9,3
1503606721,2,9
1503607322,5,32
1503607922,4,0
1503608521,4,8
1503609121,3,0
1503609721,1,0
1503610322,7,18
1503610922,5,0
1503611521,31,15
1503612121,6,0
1503612722,6,2
1503613321,3,29
1503613921,5,0
1503614521,2,0
1503615722,2,6
1503616921,0,8
1503618122,8,27
1503619322,8,7
1503619922,3,3
1503620521,6,0
1503621722,13,12
1503622322,6,0
1503622922,6,16
1503624122,5,3
1503624721,3,18
1503625321,4,11
1503626522,0,22
1503627722,7,17
1503628921,1,0
1503629521,6,8
1503630121,2,0
1503630722,12,0
1503631322,6,0
1503632522,4,38
1503633121,4,0
1503633722,2,0
1503634321,4,17
1503634922,4,0
1503635522,0,39
1503636122,1,0
1503637322,4,24
1503637922,2,0
1503639722,7,63
1503640321,3,0
1503640922,3,0
1503642122,2,17
1503642722,3,2
1503643322,5,0
1503644521,0,8
1503645721,3,0
1503646921,4,18
1503647521,1,0
1503648122,2,3
1503649322,7,4
1503650521,1,25
1503651122,3,0
1503651722,4,0
1503652922,8,7
1503654122,8,51
1503654721,24,0
1503655322,3,16
1503655921,3,1
1503656522,5,0
1503657122,5,16
1503657722,18,4
1503658922,4,0
1503659521,6,2
1503660122,6,0
1503661322,0,5
1503661922,3,0
1503662522,5,0
1503663121,3,5
1503663722,1,30
1503664921,4,36
1503665521,2,0
1503666122,0,1
1503666722,7,0
1503667321,3,1
1503668522,21,0
1503669721,3,6
1503670921,1,14
1503671522,4,0
1503672121,6,12
1503673321,3,48
1503673922,1,5
1503674522,10,1
1503675721,11,24
1503676322,10,0
1503676921,2,0
1503678122,2,23
1503679322,17,13
1503679921,2,44
1503680522,3,1
1503681722,2,45
1503682321,7,0
1503682921,4,0
1503684122,7,48
1503685322,9,58
1503685921,3,0
1503686522,0,2
1503687722,0,29
1503688321,2,12
1503688921,2,9
1503690122,11,4
1503691322,1,9
1503692521,1,0
1503693122,2,27
1503693721,6,0
1503694922,16,8
1503695522,11,0
1503696121,0,2
1503696722,1,0
1503697321,1,6
1503697922,0,6
1503698522,1,25
1503699121,5,0
1503700322,3,6
1503700922,1,9
1503702722,1,5
1503703322,7,1
1503704522,2,0
1503705121,3,3
1503705722,3,19
1503706921,3,10
1503708721,0,63
1503709323,5,1
1503709921,16,0
1503710521,0,3
1503711121,9,0
1503711721,6,3
1503712922,2,10
1503714121,8,7
1503714722,2,12
1503715322,6,17
1503716521,6,3
1503717122,3,10
1503717722,1,4
1503718921,5,0
1503720121,3,20
1503720721,7,0
1503721322,3,13
1503722521,1,28
1503723722,9,0
1503724321,5,8
1503724921,10,0
1503725522,4,0
1503726121,5,0
1503726722,6,1
1503727322,3,5
1503727921,6,0
1503728521,5,9
1503729122,4,4
1503729722,2,0
1503732121,8,5
1503733321,8,0
1503733922,11,3
1503734521,10,27
1503735721,4,1
1503736922,1,0
1503737522,3,3
1503738122,7,0
1503739322,10,46
1503740522,1,0
1503741721,13,9
1503742922,3,13
1503744122,2,45
1503745322,7,4
1503746521,2,7
1503747721,3,0
1503748921,1,25
1503749522,2,0
1503750122,8,1
1503751322,1,5
1503751921,7,3
1503752522,18,0
1503753121,10,41
1503753722,5,0
1503754921,5,3
1503756122,1,30
1503756722,1,0
1503757322,1,0
1503757922,7,8
1503758522,2,10
1503759722,6,12
1503760322,6,1
1503760922,5,0
1503761522,5,3
