DateTime,AddedIPs,RemovedIPs
1503412921,2,1
1503414721,17,7
1503415322,10,0
1503416521,5,2
1503417121,12,3
1503417722,2,0
1503418921,13,1
1503420121,2,6
1503421322,6,2
1503422521,8,0
1503423721,10,1
1503424921,2,1
1503425521,0,6
1503426121,1,0
1503427322,7,9
1503428522,10,2
1503429721,4,8
1503430321,2,0
1503430922,8,0
1503432121,5,8
1503433321,9,0
1503434522,3,3
1503435722,8,9
1503436921,11,10
1503438122,4,5
1503439322,3,8
1503439922,5,8
1503440522,2,10
1503441122,2,0
1503441721,2,4
1503442922,3,2
1503444121,4,0
1503445322,3,9
1503446522,6,2
1503447121,5,5
1503447721,7,0
1503448922,5,3
1503450121,4,11
1503451322,2,0
1503451921,3,7
1503452523,5,1
1503453722,1,3
1503454922,21,14
1503455521,0,3
1503456121,3,0
1503457321,3,13
1503457921,3,0
1503458521,8,13
1503459122,1,0
1503459722,6,10
1503460321,3,0
1503460921,9,0
1503461522,0,12
1503462122,0,9
1503462721,0,8
1503463322,4,0
1503464522,9,28
1503465721,4,0
1503466921,6,11
1503468121,3,17
1503469322,0,6
1503469921,6,0
1503470521,7,6
1503471722,18,4
1503472321,1,0
1503472922,3,9
1503474122,8,4
1503474722,2,4
1503475321,9,0
1503475922,5,7
1503476522,0,9
1503477721,4,19
1503478921,4,20
1503480121,3,5
1503480721,2,11
1503481322,1,3
1503481922,1,0
1503483121,4,11
1503483721,1,0
1503484922,0,11
1503486122,2,13
1503486722,4,0
1503487321,1,0
1503487921,2,0
1503489721,6,17
1503490921,3,7
1503491522,1,0
1503492121,4,8
1503493322,8,7
1503493922,3,4
1503494522,4,0
1503495721,6,13
1503496321,0,8
1503496922,3,3
1503497522,1,0
1503498121,1,1
1503498721,1,5
1503499922,0,9
1503501721,1,10
1503502321,2,5
1503502921,3,0
1503504122,3,19
1503504722,3,0
1503506521,0,9
1503507121,2,0
1503507722,12,0
1503508322,1,4
1503508921,4,5
1503510122,2,0
1503511322,13,9
1503511922,1,5
1503512521,2,0
1503513721,2,1
1503514321,0,12
1503514921,0,16
1503516122,6,0
1503517321,3,9
1503519722,0,11
1503520921,31,0
1503522121,1,13
1503523322,3,0
1503523922,0,8
1503524521,5,5
1503525721,12,2
1503526921,1,5
1503528721,6,7
1503529322,16,6
1503530521,9,5
1503531722,2,0
1503532322,3,6
1503532921,0,3
1503533521,0,9
1503534122,1,10
1503535322,4,8
1503536522,5,0
1503537122,5,12
1503537721,1,0
1503538921,3,17
1503540122,3,12
1503541322,8,0
1503542521,2,25
1503543722,0,5
