DateTime,Entries,UniqueIPs
1503274921,5260,5348
1503276122,5263,5352
1503276722,5263,5352
1503277322,5264,5353
1503277922,5265,5354
1503280321,5274,5363
1503280921,5275,5364
1503281521,5277,5366
1503282122,5278,5367
1503282721,5275,5364
1503284522,5272,5361
1503285722,5273,5362
1503286322,5274,5363
1503286921,5267,5356
1503287522,5275,5364
1503288122,5275,5364
1503288721,5274,5363
1503289321,5276,5365
1503291121,5273,5362
1503291722,5269,5358
1503292322,5266,5355
1503294121,5271,5360
1503294722,5272,5361
1503295921,5271,5360
1503296521,5269,5358
1503297722,5268,5357
1503298922,5270,5359
1503299522,5270,5359
1503300721,5271,5360
1503301322,5272,5361
1503301922,5277,5366
1503302521,5277,5366
1503303721,5277,5366
1503304321,5278,5367
1503304922,5276,5365
1503305522,5278,5367
1503306122,5280,5369
1503307321,5281,5370
1503308522,5275,5364
1503309722,5276,5365
1503310322,5280,5369
1503313321,5280,5369
1503313922,5281,5370
1503314522,5286,5375
1503315721,5286,5375
1503316921,5288,5377
1503317521,5289,5378
1503318121,5290,5379
1503319322,5289,5378
1503320521,5289,5378
1503321121,5287,5376
1503322922,5288,5377
1503323521,5290,5379
1503324122,5291,5380
1503324722,5286,5375
1503327722,5284,5373
1503328922,5283,5372
1503331321,5280,5369
1503332522,5284,5373
1503333722,5282,5371
1503336721,5276,5365
1503337321,5277,5364
1503339122,5274,5361
1503340922,5273,5360
1503341522,5272,5359
1503342123,5273,5360
1503343322,5271,5358
1503345721,5275,5362
1503346921,5274,5361
1503348122,5277,5364
1503349321,5278,5365
1503349921,5279,5366
1503351721,5277,5364
1503352321,5279,5366
1503352921,5279,5366
1503354121,5280,5367
1503355321,5278,5365
1503356522,5277,5364
1503357721,5280,5367
1503358921,5273,5360
1503360721,5272,5359
1503361321,5271,5358
1503363721,5269,5356
1503364921,5270,5357
1503366122,5279,5366
1503366721,5281,5368
1503367322,5283,5370
1503367922,5288,5376
1503368521,5290,5378
1503369121,5287,5375
1503370922,5287,5375
1503372122,5318,5406
1503373321,5318,5406
1503374522,5320,5408
1503375721,5326,5414
1503376322,5327,5415
1503376922,5329,5417
1503378121,5354,5442
1503379323,5357,5445
1503380522,5358,5446
1503381721,5359,5447
1503382921,5359,5447
1503384122,5355,5443
1503384722,5352,5440
1503385922,5356,5444
1503386521,5360,5448
1503387722,5367,5455
1503388322,5367,5455
1503388921,5371,5459
1503389521,5371,5459
1503390122,5373,5461
1503391322,5372,5460
1503391921,5369,5457
1503392522,5370,5458
1503393121,5371,5459
1503393721,5372,5460
1503394921,5369,5457
1503395522,5366,5454
1503397321,5377,5465
1503397921,5380,5468
1503398521,5381,5469
1503402122,5382,5469
1503402722,5383,5470
1503403321,5389,5477
1503404521,5393,5481
1503405722,5402,5490
1503406321,5404,5492
1503406922,5405,5493
1503408122,5404,5492
1503409322,5406,5494
1503410522,5407,5495
1503411122,5401,5489
1503411722,5402,5490
1503412322,5403,5491
1503414721,5407,5495
1503415322,5409,5497
1503416521,5405,5492
1503417121,5407,5494
1503418921,5409,5496
1503421322,5410,5497
1503422521,5410,5495
1503423721,5410,5495
1503424921,5407,5492
1503427322,5411,5495
1503428522,5412,5496
1503429721,5407,5490
1503430321,5409,5492
1503430922,5414,5497
1503432121,5413,5496
1503433321,5415,5498
1503434522,5413,5495
1503435722,5414,5496
1503436921,5415,5497
1503439922,5417,5499
1503440522,5417,5499
1503441122,5414,5496
1503441721,5410,5492
1503444121,5409,5491
1503445322,5406,5488
1503446522,5407,5489
1503447121,5408,5490
1503447721,5410,5492
1503448922,5406,5488
1503450121,5408,5490
1503451322,5407,5489
1503452523,5408,5490
1503453722,5407,5489
1503454922,5418,5500
1503457321,5417,5499
1503457921,5417,5501
1503458521,5412,5496
1503459722,5417,5501
1503460321,5419,5503
1503460921,5421,5505
1503461522,5419,5503
1503463322,5422,5506
1503464522,5428,5512
1503465721,5425,5509
1503466921,5422,5506
1503468121,5420,5504
1503469322,5419,5503
1503469921,5419,5503
1503470521,5423,5507
1503471722,5428,5511
1503472321,5427,5510
1503472922,5428,5511
1503474122,5430,5513
1503475321,5436,5519
1503475922,5427,5510
1503476522,5426,5509
1503478921,5425,5508
1503480121,5425,5506
1503483121,5423,5504
1503484922,5423,5503
1503486122,5414,5491
1503486722,5415,5492
1503487321,5409,5486
1503489721,5409,5486
1503490921,5404,5479
1503491522,5405,5480
1503492121,5406,5481
1503493322,5407,5482
