DateTime,AddedIPs,RemovedIPs
1503412921,29,29
1503414721,79,78
1503415322,48,49
1503416521,52,52
1503417121,43,42
1503417722,39,39
1503418921,77,78
1503420121,47,47
1503421322,70,70
1503422521,67,67
1503423721,76,75
1503424921,74,75
1503425521,59,59
1503426121,46,45
1503427322,63,63
1503428522,71,72
1503429721,76,75
1503430321,47,47
1503430922,64,64
1503432121,69,70
1503433321,76,75
1503434522,70,70
1503435722,81,81
1503436921,85,85
1503438122,79,79
1503439322,75,75
1503439922,64,64
1503440522,53,53
1503441122,24,25
1503441721,83,82
1503442922,76,77
1503444121,72,71
1503445322,60,60
1503446522,72,72
1503447121,46,46
1503447721,72,73
1503448922,72,71
1503450121,80,81
1503451322,65,65
1503451921,80,80
1503452523,67,67
1503453722,54,54
1503454922,60,60
1503455521,11,11
1503456121,37,37
1503457321,62,61
1503457921,36,37
1503458521,45,45
1503459122,17,17
1503459722,44,44
1503460321,19,19
1503460921,58,58
1503461522,34,34
1503462122,22,22
1503462721,14,14
1503463322,76,75
1503464522,73,73
1503465721,68,69
1503466921,60,60
1503468121,38,38
1503469322,33,33
1503469921,36,35
1503470521,12,13
1503471722,84,84
1503472321,33,33
1503472922,7,7
1503474122,67,66
1503474722,45,46
1503475321,56,56
1503475922,33,33
1503476522,15,15
1503477721,51,51
1503478921,44,44
1503480121,35,35
1503480721,19,19
1503481322,31,31
1503481922,23,23
1503483121,60,59
1503483721,26,26
1503484922,29,29
1503486122,47,47
1503486722,30,31
1503487321,19,19
1503487921,32,32
1503488522,12,12
1503489721,42,42
1503490921,56,56
1503491522,26,26
1503492121,26,26
1503493322,50,50
1503493922,43,43
1503494522,30,30
1503495721,43,43
1503496321,16,16
1503496922,14,14
1503497522,7,7
1503498121,8,8
1503498721,5,5
1503499322,3,3
1503499922,5,5
1503500521,6,6
1503501721,7,7
1503502321,7,7
1503502921,15,14
1503504122,18,19
1503504722,15,15
1503505321,9,9
1503506521,23,23
1503507121,21,21
1503507722,22,22
1503508322,6,6
1503508921,26,26
1503510122,24,24
1503511322,41,41
1503511922,8,8
1503512521,13,13
1503513721,19,19
1503514321,12,12
1503514921,3,3
1503516122,40,39
1503517321,27,27
1503517921,17,17
1503518522,4,4
1503519722,22,22
1503520921,59,59
1503522121,37,37
1503523322,37,37
1503523922,7,8
1503524521,28,28
1503525721,41,41
1503526321,9,9
1503526921,17,17
1503528721,48,48
1503529322,45,44
1503530521,55,56
1503531722,39,39
1503532322,30,30
1503532921,19,19
1503533521,20,20
1503534122,22,22
1503535322,44,44
1503536522,30,30
1503537122,26,26
1503537721,18,18
1503538921,32,32
1503540122,41,41
1503541322,35,35
1503542521,27,27
1503543123,13,13
1503543722,7,7
1503544922,12,12
1503546122,38,38
1503547321,14,14
1503548522,9,9
1503549122,10,10
1503549722,8,8
1503550321,4,4
1503550921,7,7
1503552122,19,19
1503552721,10,10
1503553322,3,3
1503553921,3,3
1503554521,4,4
1503555122,7,7
1503555722,6,6
1503556922,24,24
1503557522,15,15
1503558121,11,11
1503559322,16,16
1503559921,2,2
1503560522,20,20
1503561722,15,15
1503562322,20,20
1503562921,40,39
1503563521,27,28
1503564121,18,18
1503565321,21,21
1503565921,9,9
1503566522,15,15
1503567121,5,5
1503567721,13,13
1503568322,5,5
1503568921,16,16
1503570122,29,29
1503571321,17,17
1503572522,13,13
1503573721,24,24
1503574921,28,27
1503576121,10,10
1503577322,8,8
1503577922,4,4
1503578521,9,9
1503579122,12,12
1503579721,6,6
1503580321,2,2
1503580921,14,14
1503582121,10,11
1503582722,9,9
1503583321,14,14
1503583921,6,6
1503584522,4,4
1503585721,16,16
1503586921,17,16
1503588122,58,59
1503589321,22,22
1503590521,21,21
1503591122,15,15
1503591722,19,19
1503592921,21,21
1503593521,10,10
1503594122,5,5
1503595322,37,37
1503596522,41,40
1503597721,24,24
1503598922,20,20
1503599521,16,16
1503600122,21,21
1503600722,7,7
1503601322,29,29
1503602522,40,41
1503603721,40,39
1503604921,37,37
1503606121,44,45
1503607322,29,28
1503608521,41,41
1503609721,33,34
1503610322,26,26
1503610922,47,46
1503612121,51,52
1503613321,54,53
1503613921,33,33
1503614521,46,46
1503615722,43,43
1503616921,51,51
1503618122,59,59
1503618721,38,39
1503619322,28,28
1503619922,33,33
1503620521,30,30
1503621121,36,35
1503621721,19,19
1503622922,46,46
1503624122,47,47
1503624721,14,14
1503625321,21,21
1503626522,38,38
1503627122,19,19
1503627722,17,17
1503628921,37,38
1503629521,20,20
1503630121,17,17
1503630722,17,17
1503631322,23,23
1503632522,27,27
1503633722,44,44
1503634321,26,26
1503634922,25,25
1503635521,17,16
1503636122,12,13
1503637322,33,33
1503638522,25,25
1503639722,25,25
1503640321,23,23
1503640922,27,27
1503642122,21,21
1503642722,29,29
1503643322,24,24
1503644521,17,17
1503645122,10,10
1503645721,11,11
1503646921,14,13
1503647521,10,10
1503648122,16,16
1503649322,26,27
1503649921,11,11
1503650521,9,9
1503651122,7,7
1503651722,14,14
1503652922,18,18
1503654122,45,44
1503654721,15,15
1503655321,12,13
1503655921,25,25
1503656522,20,20
1503657122,10,9
1503657722,7,7
1503658922,25,25
1503660122,43,43
1503660722,8,8
1503661322,19,19
1503661922,11,11
1503662522,27,28
1503663121,7,7
1503663722,12,12
1503664322,16,16
1503664921,63,62
1503665521,44,44
1503666122,52,52
1503667321,50,50
1503668522,62,62
1503669721,71,72
1503670921,72,71
1503672121,79,79
1503673321,69,69
1503673922,40,40
1503674522,42,43
1503675721,53,53
1503676921,70,69
1503678122,63,63
1503679322,58,59
1503680522,60,60
1503681122,42,42
1503681722,38,37
1503682921,67,68
1503684122,75,74
1503685322,54,54
1503685921,54,54
1503686522,47,47
1503687722,72,73
1503688321,57,57
1503688921,53,52
1503689522,54,54
1503690121,41,42
1503691322,55,55
1503692521,72,71
1503693121,62,63
1503693721,68,67
1503694323,71,71
1503694921,64,64
1503696121,74,74
1503697321,81,81
1503698522,62,62
1503699121,73,74
1503699721,65,64
1503700322,72,72
1503700922,53,53
1503702722,72,72
1503703322,31,31
1503704521,76,76
1503705121,32,32
1503705722,62,62
1503706921,76,76
1503708122,70,70
1503708721,36,36
1503709323,55,55
1503709921,24,25
1503710521,53,53
1503711721,51,51
1503712922,68,67
1503714121,57,58
1503714722,50,50
1503715322,33,33
1503715921,30,29
1503716521,39,40
1503717122,50,49
1503717721,36,37
1503718322,48,48
1503718921,48,48
1503720121,42,42
1503720721,53,53
1503721322,31,31
1503721922,47,46
1503722521,37,37
1503723721,57,57
1503724321,16,16
1503724921,42,42
1503725522,27,27
1503726121,42,42
1503726722,36,36
1503727322,42,42
1503728521,50,51
1503729122,32,32
1503729722,31,31
1503730922,40,40
1503731521,23,23
1503732121,34,34
1503732721,35,34
1503733321,24,24
1503733922,27,27
1503734521,29,29
1503735721,45,45
1503736321,23,23
1503736922,28,28
1503738121,56,56
1503738721,12,12
1503739322,9,9
1503740521,37,37
1503741721,51,51
1503742321,21,21
1503742922,22,22
1503744122,17,17
1503745322,38,38
1503745921,14,14
1503746521,21,21
1503747721,34,34
1503748921,19,19
1503749522,19,19
1503750122,19,19
1503750721,10,10
1503751322,7,7
1503751921,38,38
1503752522,25,25
1503753121,19,19
1503753721,27,27
1503754921,35,35
1503756122,48,49
1503757322,18,18
1503757922,37,37
1503758522,41,41
1503759722,26,25
1503760322,9,9
1503760922,14,14
1503761522,12,12
1503762121,17,17
1503762722,12,12
1503763322,16,16
1503763921,11,11
1503764522,8,8
1503765122,6,6
1503765721,37,38
1503766921,22,22
1503768121,33,33
1503769321,23,23
1503770521,47,47
1503771122,17,17
1503771721,12,12
1503772322,13,13
1503772921,31,31
1503773522,43,43
1503774122,34,33
1503775322,48,49
1503775921,52,52
1503776521,34,34
1503777122,39,39
1503777721,34,34
1503778321,33,33
1503778921,23,23
1503780122,73,72
1503781321,89,89
