DateTime,Entries,UniqueIPs
1502031668,4896,4896
1502035268,4982,4982
1502038869,5058,5058
1502042469,5152,5152
1502046068,5238,5238
1502050568,5331,5331
1502054168,5416,5416
1502057769,5611,5611
1502061369,5694,5694
1502064969,3248,3248
1502068569,3388,3388
1502072169,3471,3471
1502075769,3560,3560
1502079368,3663,3663
1502082969,3779,3779
1502086568,3897,3897
1502090169,4014,4014
1502093769,4132,4132
1502097368,4252,4252
1502100969,4370,4370
1502104569,4503,4503
1502108169,4624,4624
1502111769,4746,4746
1502115369,4830,4830
1502118969,4949,4949
1502122569,5044,5044
1502126169,5117,5117
1502129769,5190,5190
1502133369,5264,5264
1502136969,5376,5376
1502140569,5454,5454
1502144169,5524,5524
1502147769,5608,5608
1502151369,3716,3716
1502154969,3804,3804
1502158569,3868,3868
1502162170,3964,3964
1502165770,4079,4079
1502169369,4253,4253
1502172969,4381,4381
1502176569,4518,4518
1502180169,4666,4666
1502183770,4808,4808
1502187369,4943,4943
1502190969,5086,5086
1502194569,5242,5242
1502198169,5351,5351
1502201770,5482,5482
1502205370,5599,5599
1502208969,5703,5703
1502212570,5843,5843
1502216169,5992,5992
1502219769,6125,6125
1502223369,6226,6226
1502226970,6308,6308
1502230569,6402,6402
1502234170,6486,6486
1502237770,4252,4252
1502241370,4428,4428
1502244970,4509,4509
1502248569,4597,4597
1502252169,4781,4781
1502255770,4905,4905
1502259369,5031,5031
1502262969,5147,5147
1502266570,5294,5294
1502270169,5408,5408
1502273770,5562,5562
1502277370,5712,5712
1502280969,5859,5859
1502284570,5999,5999
1502288170,6080,6080
1502291770,6181,6181
1502295369,6280,6280
1502298970,6409,6409
1502302570,6508,6508
1502306170,6642,6642
1502309770,6721,6721
1502313369,6789,6789
1502316970,6863,6863
1502320570,6918,6918
1502324170,4221,4221
1502327769,4299,4299
1502331370,4387,4387
1502334970,4502,4502
1502338570,4589,4589
1502342170,4706,4706
1502345769,4830,4830
1502349370,4979,4979
1502352969,5107,5107
1502356570,5234,5234
1502360170,5363,5363
1502363770,5505,5505
1502367370,5633,5633
1502370970,5741,5741
1502374570,5828,5828
1502378170,5925,5925
1502381770,6072,6072
1502385370,6149,6149
1502388970,6224,6224
1502392570,6312,6312
1502396170,6465,6465
1502399771,6566,6566
1502403371,6651,6651
1502406971,6723,6723
1502410571,3771,3771
1502414171,3865,3865
1502417770,3943,3943
1502421370,4052,4052
1502424971,4145,4145
1502428571,4276,4276
1502432171,4440,4440
1502435770,4565,4565
1502439371,4686,4686
1502442971,4843,4843
1502446570,4970,4970
1502450170,5075,5075
1502453770,5194,5194
1502457370,5344,5344
1502460971,5451,5451
1502464571,5551,5551
1502468171,5661,5661
1502471771,5864,5864
1502475371,5936,5936
1502478970,6015,6015
1502482571,6100,6100
1502486171,6210,6210
1502489770,6285,6285
1502493370,6387,6387
1502496971,3905,3905
1502500570,3993,3993
1502504170,4073,4073
1502507771,4169,4169
1502511370,4267,4267
1502514970,4398,4398
1502518570,4527,4527
1502522170,4680,4680
1502525771,4778,4778
1502529371,4885,4885
1502532971,5009,5009
1502536571,5112,5112
1502540171,5209,5209
1502543771,5305,5305
1502547371,5399,5399
1502550971,5477,5477
1502554571,5573,5573
1502558171,5695,5695
1502561771,5764,5764
1502565371,5844,5844
1502568971,5937,5937
1502572571,6010,6010
1502576171,6082,6082
1502579771,6147,6147
1502583371,3528,3528
1502586971,3591,3591
1502590571,3670,3670
1502594171,3726,3726
1502597771,3805,3805
1502601371,3909,3909
1502604971,4002,4002
1502608571,4087,4087
1502612171,4177,4177
1502615771,4278,4278
1502619371,4355,4355
1502622972,4433,4433
1502626571,4529,4529
1502630171,4622,4622
1502633771,4696,4696
1502637371,4826,4826
1502640971,4907,4907
1502644571,4991,4991
1502648171,5079,5079
1502651772,5299,5299
1502655371,5383,5383
1502658971,5490,5490
1502662571,5562,5562
1502666171,5689,5689
1502669772,3506,3506
1502673372,3612,3612
1502676971,3745,3745
1502680571,3837,3837
1502684172,3971,3971
1502687771,4077,4077
1502691372,4176,4176
1502694972,4273,4273
1502698572,4384,4384
1502702172,4512,4512
1502705771,4662,4662
1502709372,4799,4799
1502712971,4904,4904
1502716572,5025,5025
1502720171,5165,5165
1502723771,5738,5738
1502727372,5889,5889
1502730972,5982,5982
1502734572,6070,6070
1502738172,6158,6158
1502741772,6238,6238
1502745371,6309,6309
1502748972,6377,6377
1502752572,6472,6472
1502756171,4219,4219
1502759771,4317,4317
1502763371,4413,4413
1502766972,4505,4505
1502770571,4625,4625
1502774172,4733,4733
1502777772,4824,4824
1502781372,4972,4972
1502784972,5428,5428
1502788572,5760,5760
1502792172,5899,5899
1502795772,6108,6108
1502799372,6327,6327
1502802972,6424,6424
1502806572,6584,6584
1502810172,6855,6855
1502813772,6948,6948
1502817372,7027,7027
1502821872,7134,7134
1502825472,7208,7208
1502829072,7314,7314
1502832672,7391,7391
1502836272,7484,7484
1502839872,7552,7552
1502843472,4856,4856
1502847072,4969,4969
1502850673,5048,5048
1502854272,5118,5118
1502857872,5201,5201
1502861472,5335,5335
1502865072,5482,5482
1502868672,5649,5649
1502872272,5843,5843
1502875873,6001,6001
1502879473,6117,6117
1502883072,6239,6239
1502886673,6398,6398
1502890273,6504,6504
1502893872,6608,6608
1502897472,6708,6708
1502901072,6815,6815
1502904672,6916,6916
1502908273,7109,7109
1502911872,7259,7259
1502915473,7359,7359
1502919073,7450,7450
1502922673,7524,7524
1502926272,7597,7597
1502929872,4172,4172
1502933472,4293,4293
1502937072,4394,4394
1502940672,4496,4496
1502944272,4588,4588
1502947873,4707,4707
1502951473,4824,4824
1502955072,4935,4935
1502958673,5070,5070
1502962273,5195,5195
1502965873,5310,5310
1502969472,5435,5435
1502973072,5567,5567
1502976672,5678,5678
1502980273,5808,5808
1502983873,5890,5890
1502987473,5963,5963
1502991073,6059,6059
1502994672,6133,6133
1502998273,6211,6211
1503001873,6318,6318
1503005473,6401,6401
1503009072,6473,6473
1503012672,6522,6522
1503016272,3842,3842
1503019872,3944,3944
1503023473,4160,4160
1503027072,4330,4330
1503030673,4467,4467
1503034273,4613,4613
1503037873,4743,4743
1503041473,4870,4870
1503045073,5011,5011
1503048673,5149,5149
1503052273,5250,5250
1503055873,5391,5391
1503059473,5496,5496
1503063073,5610,5610
1503066673,5707,5707
1503070272,5801,5801
1503073873,5941,5941
1503077473,6060,6060
1503082874,6209,6209
1503086473,6302,6302
1503090073,6371,6371
1503093673,6464,6464
1503097273,6544,6544
1503100873,4175,4175
1503104474,4266,4266
1503108073,4335,4335
1503111673,4543,4543
1503115273,4625,4625
1503118873,4721,4721
1503122474,4848,4848
1503126073,4979,4979
1503129673,5106,5106
1503133273,5259,5259
1503136874,5364,5364
1503140473,5514,5514
1503144073,5643,5643
1503147673,5740,5740
1503151274,5839,5839
1503154874,5950,5950
1503158473,6071,6071
1503162074,6156,6156
1503165673,6231,6231
1503169273,6315,6315
1503172874,6379,6379
1503176474,6473,6473
1503180073,6538,6538
1503183673,6618,6618
1503187274,3796,3796
1503190874,3871,3871
1503194473,3947,3947
1503198074,4004,4004
1503201674,4066,4066
1503205274,4141,4141
1503208873,4217,4217
1503212473,4302,4302
1503216074,4696,4696
1503219673,4776,4776
1503223274,4857,4857
1503226874,4934,4934
1503230474,5040,5040
1503234074,5102,5102
1503237673,5171,5171
1503241274,5567,5567
1503244874,5670,5670
1503248474,5755,5755
1503252074,5877,5877
1503255674,6008,6008
1503259274,6084,6084
1503262873,6157,6157
1503266474,6225,6225
1503270074,6285,6285
1503273674,3870,3870
1503277274,3936,3936
1503280874,4010,4010
1503284474,4194,4194
1503288074,4264,4264
1503291674,4376,4376
1503295274,4509,4509
1503298874,4612,4612
1503302474,4767,4767
1503306074,4935,4935
1503309674,5073,5073
1503313274,5221,5221
1503316874,5374,5374
1503320474,5505,5505
1503324074,5600,5600
1503327674,5688,5688
1503331274,5780,5780
1503334874,5930,5930
1503338474,6008,6008
1503342074,6093,6093
1503345674,6192,6192
1503349275,6252,6252
1503352874,6325,6325
1503356474,6416,6416
1503360075,3837,3837
1503363674,3938,3938
1503367274,4043,4043
1503370874,4261,4261
1503374474,4341,4341
1503378075,4447,4447
1503381674,4670,4670
1503385274,4813,4813
1503388874,4941,4941
1503392474,5106,5106
1503396074,5314,5314
1503399674,5579,5579
1503403275,5954,5954
1503406874,6819,6819
1503410475,7257,7257
1503414074,7471,7471
1503417674,7851,7851
1503421274,7949,7949
1503424874,8085,8085
1503428474,8158,8158
1503432075,8227,8227
1503435674,8305,8305
1503439274,8388,8388
1503442875,8457,8457
1503446474,5972,5972
1503450075,6144,6144
1503453674,6243,6243
1503457275,6321,6321
1503460874,6406,6406
1503464474,6512,6512
1503468075,6646,6646
1503471674,6775,6775
1503475275,6881,6881
1503478874,6995,6995
1503482475,7171,7171
1503486075,7306,7306
1503489675,7440,7440
1503493275,7630,7630
1503496875,7767,7767
1503500475,7893,7893
1503504075,7981,7981
1503507675,8091,8091
1503511275,8217,8217
1503514875,8289,8289
1503518475,8367,8367
1503522075,8439,8439
1503525675,8518,8518
1503529275,8609,8609
1503532875,4142,4142
1503536475,4213,4213
1503540075,4328,4328
1503543675,4432,4432
1503547275,4500,4500
1503550875,4590,4590
1503554475,4715,4715
1503558075,4821,4821
1503561675,5040,5040
1503565275,5158,5158
1503568875,5321,5321
1503572475,5482,5482
1503576076,5658,5658
1503579675,5789,5789
1503583275,5968,5968
1503586875,6071,6071
1503590475,6225,6225
1503594075,6332,6332
1503597675,6406,6406
1503603075,6546,6546
1503606675,6623,6623
1503610275,6708,6708
1503613875,6795,6795
1503617475,6868,6868
1503621075,4077,4077
1503624675,4162,4162
1503628275,4268,4268
1503631876,4352,4352
1503635475,4432,4432
1503639075,4539,4539
1503642675,4638,4638
1503646275,4735,4735
1503649875,4840,4840
1503653475,4970,4970
1503657075,5075,5075
1503660675,5187,5187
1503664275,5288,5288
1503667875,5374,5374
1503671475,5487,5487
1503675075,5592,5592
1503678675,5691,5691
1503682276,5784,5784
1503685875,5870,5870
1503689476,5959,5959
1503693075,6054,6054
1503696675,6133,6133
1503700275,6210,6210
1503703876,6270,6270
1503707475,3563,3563
1503711075,3658,3658
1503714676,3783,3783
1503718275,3854,3854
1503721875,3941,3941
1503725476,4062,4062
1503729075,4168,4168
1503732675,4311,4311
1503736275,4428,4428
1503739876,4528,4528
1503743476,4670,4670
1503747076,4790,4790
1503750675,4882,4882
1503754276,4990,4990
1503757876,5080,5080
1503761476,5174,5174
1503765075,5245,5245
1503768675,5324,5324
1503772276,5397,5397
1503775876,5488,5488
1503779475,5565,5565
1503783076,5652,5652
1503786675,5718,5718
1503790276,5821,5821
1503793875,3695,3695
1503797476,3768,3768
1503801076,3843,3843
1503804676,3930,3930
1503808275,4000,4000
1503811876,4086,4086
1503815476,4155,4155
1503819076,4282,4282
1503822676,4365,4365
1503826276,4447,4447
1503829876,4548,4548
1503833476,4641,4641
