DateTime,AddedIPs,RemovedIPs
1501273009,5,3
1501276601,0,1
1501280200,5,1
1501287411,4,3
1501294608,3,2
1501301832,6,3
1501305411,0,3
1501307208,0,1004
1501309006,3,4
1501316207,3,5
1501319805,0,1
1501323400,6,2
1501330601,2,4
1501337814,6,3
1501341409,1,0
1501345003,3,7
1501352204,4,2
1501359410,2,5
1501366599,4,4
1501373801,5,4
1501381007,1,9
1501388234,6,3
1501391811,0,1
1501395405,5,3
1501397203,1,0
1501402602,5,9
1501409801,6,4
1501417010,2,7
1501424206,5,5
1501426004,0,14
1501427799,0,1
1501431400,1,6
1501435001,1,0
1501438602,2,5
1501445807,3,5
1501452996,6,4
1501460200,4,3
1501467404,2,4
1501471902,0,6
1501474631,3,1
1501481806,3,7
1501488999,1,8
1501492599,1,1
1501496198,5,3
1501503401,2,6
1501510597,4,4
1501514205,1,0
1501517799,4,6
1501525002,2,6
1501528597,1,0
1501532203,5,4
1501539402,5,2
1501546604,6,2
1501548403,0,4
1501553806,16,7
1501561027,4,4
1501568203,1,4
1501575399,5,6
1501582605,3,1
1501589804,3,3
1501597003,3,4
1501602404,0,1
1501604206,3,4
1501612304,7,6
1501618614,2,2
1501625806,8,5
1501632127,0,1
1501633002,5,0
1501640204,3,4
1501647438,4,2
1501651000,1,0
1501654599,2,1
1501658204,1,0
1501661801,9,7
1501668996,3,4
1501676201,1,4
1501683405,3,5
1501686999,1,0
1501690605,6,2
1501697800,4,3
1501705002,5,2
1501711314,0,1012
1501712201,4,2
1501719399,2,2
1501721197,0,2
1501726600,1,8
1501733837,6,2
1501741005,4,5
1501748205,3,2
1501755406,4,2
1501762601,1,3
1501769797,3,2
1501774311,0,1
1501776997,2,5
1501780595,0,1
1501784203,3,5
1501791395,5,5
1501798601,4,6
1501805806,2,3
1501807598,0,1
1501810300,0,1
1501813000,6,4
1501821095,5,3
1501827402,2,4
1501834594,3,3
1501841801,4,6
1501849003,6,3
1501856201,2,3
1501860700,0,1
1501863403,6,6
1501867897,0,1
1501870618,1886,6
1501874205,64,0
1501877805,7,6
1501878714,0,2
1501881403,177,0
1501885008,2,5
1501892208,5,3
1501895809,0,1
1501899403,4,7
1501903910,0,1
1501906633,7,7
1501911108,479,0
1501913827,2,3
1501921034,5,1
1501928236,2,5
1501935437,4,6
1501942637,2,2
1501949836,3,4
1501955233,0,1
1501957038,6,2
1501959764,883,0
1501964261,6,7
1501971447,2,3
1501978651,1,3
1501985853,1,6
1501993085,6,3
1502000242,5,5
1502005653,0,1
1502007443,4,2
1502014649,2,7
1502021845,5,0
1502029044,1,8
1502030847,0,1
1502032650,1,1
1502036253,4,2
1502039847,0,1
1502043441,4,6
1502050650,5,4
1502057852,2,4
1502065043,2,4
1502072245,4,5
1502080339,2,1
1502086645,6,4
1502093848,4,6
1502101051,5,2
1502108247,8,2
1502115444,7,3
1502118174,0,2
1502119947,0,1
1502122645,7,3
1502128058,967,0
1502128987,0,1
1502129847,3,5
1502133454,60,0
1502137050,3,5
1502140643,1,0
1502144249,1,7
1502145151,209,0
1502146974,0,1
1502147851,0,1
1502151435,6,5
1502158628,1,6
1502165874,7,3
1502173030,1,5
1502180237,5,3
1502187436,7,2
1502194630,5,4
1502201845,2,4
1502209046,5,0
1502210863,605,0
1502216253,3,3
1502223450,5,4
1502226182,1,0
1502230653,1,5
1502234250,0,1
1502237853,3,6
1502245058,2,5
1502252295,5,5
1502259453,3,4
1502266665,5,5
1502273866,4,5
1502281072,6,3
1502288261,3,8
1502291856,1,0
1502295460,5,1
1502296351,1,0
1502298194,938,0
1502302658,3,4
1502305393,1,0
1502306258,1,0
1502309858,3,3
1502310751,0,1
1502317057,3,4
1502324264,2,3
1502331506,4,5
1502335058,0,1
1502339557,8,3
1502344984,0,1
1502345855,3,7
1502347657,0,1
1502349455,0,1
1502353054,4,4
1502360246,5,3
1502367440,1,5
1502374642,6,3
1502376437,1,0
1502377367,1,0
1502378241,1,0
1502380050,1,0
1502381851,4,7
1502385442,0,1
1502389048,1106,4
1502396271,3,2
1502398060,0,1
1502403459,7,3
1502410658,1,3
1502417855,2,2
1502425105,5,7
1502432260,5,3
1502468268,17,11
1502471862,1,0
1502475467,4,3
1502478190,0,2
1502479963,0,1
1502482658,3,5
1502489858,2,3
1502497059,4,6
1502503382,0,1
1502504263,2,3
1502512355,6,4
1502514184,0,1
1502518654,1,10
1502525858,12,7
1502533057,1,2
1502535788,777,1
1502541156,4,6
1502542983,1,0
1502547454,2,5
1502554657,5,4
1502561856,4,6
1502569058,3,7
1502576254,10,3
1502578985,1,0
1502583463,2,1
1502589792,1,0
1502590665,2,3
1502598757,6,7
1502605056,4,12
1502612265,4,1
1502619457,1,2
1502626662,4,0
1502633859,3,0
1502641053,3,3
1502648264,4,4
1502652755,1,0
1502655455,4,5
1502662657,5,3
1502668058,1,0
1502669862,0,3
1502677053,3,4
1502685164,6,4
1502687858,1,0
1502688760,0,1
1502689656,0,1
1502691457,6,5
1502694186,1,0
1502698653,10,3
1502705858,4,2
1502713058,3,1
1502720250,4,3
1502727451,6,8
1502731061,1,0
1502734533,10,2
1502741896,0,5
1502747256,861,0
1502749060,9,1
1502756253,2,4
1502759856,0,1
1502763457,1,5
1502769791,1,0
1502770703,6,3
1502777873,4,5
1502785070,6,1
1502792269,7,3
1502799470,3,4
1502806672,3,1
1502811167,1,0
1502813866,7,6
1502821975,2,6
1502823820,856,0
1502828265,6,3
1502835461,3,5
1502842659,4,6
1502849861,4,5
1502850762,1,0
1502857116,1,8
1502864260,3,5
1502865159,1,0
1502868762,1,0
1502871464,6,5
1502878663,2,5
1502880465,1,0
1502884072,1,0
1502884994,1,0
1502885859,5,2
1502887659,2,0
1502893065,3,2
1502896662,1,0
1502900260,9,6
1502907462,4,6
1502914659,3,0
1502921865,7,4
1502929070,4,3
1502936258,2,8
1502943476,5,6
1502950667,4,5
1502958024,4,7
1502959665,0,1
1502965059,3,0
1502972262,3,3
1502979460,5,5
1502986668,3,3
1502991171,849,0
1502993860,1,8
1503001071,1,2
1503008264,4,2
1503011864,1,0
1503012766,1,0
1503015464,1,5
1503022661,5,1
1503029880,1,6
1503037067,6,7
1503042468,1,0
1503044262,2,3
1503051472,4,10
1503058665,5,4
1503065863,1,8
1503073072,8,0
1503080276,5,1623
1503087472,6,5
1503093792,0,1
1503094668,4,4
1503101861,2,2
1503109066,0,4
1503116279,4,1
1503117164,1,0
1503120764,0,636
1503123463,5,7
1503128867,1,0
1503130654,5,2
1503137859,3,4
1503145069,2,8
1503147800,1,0
1503152260,5,4
1503159462,2,1
1503163058,2,1
1503166660,2,4
1503169395,0,771
1503173865,1,2
1503176598,0,1
1503177461,1,0
1503181063,3,5
1503188262,4,5
1503190062,0,1
1503195462,2,2
1503199056,1,0
1503202682,4,7
1503208066,1,0
1503209866,3,1
1503213466,1,0
1503217065,6,4
1503224263,2,2
1503231464,3,5
1503238672,4,3
1503242263,0,1
1503245875,3,5
1503253064,6,3
1503260265,4,3
1503267459,4,4
1503274661,3,1
1503280062,0,1
1503281865,1,4
1503289076,5,3
1503290855,0,1
1503296268,6,7
1503303453,3,5
1503310666,3,3
1503317865,1,5
1503325057,3,5
1503328658,0,1
1503332260,6,3
1503335863,0,1
1503336783,1010,0
1503337663,0,26
1503339465,8,2
1503341269,0,862
1503343066,1,0
1503346666,7,5
1503350258,1,0
1503353864,15,2
1503354761,0,188
1503361060,7,3
1503365554,0,1
1503368269,5,3
1503375484,4,5
1503382666,4,8
1503385393,1,0
1503389865,4,1
1503397063,2,5
1503404264,7,0
1503411470,0,3
1503418664,9,6
1503420464,1,523
1503425861,4,2
1503433076,6,4
1503437576,1087,0
1503440270,3,2
1503447471,3,4
1503454665,0,3
1503458271,0,1
1503461882,6,6
1503469062,5,5
1503476262,3,2
1503483463,5,5
1503490674,2,2
1503497864,0,4
1503505062,5,2
1503507797,0,842
1503511401,1,0
1503512266,3,5
1503516765,1,0
1503519463,2,4
1503520374,0,1
1503526660,1,3
1503528464,1122,0
1503533870,2,5
1503541065,2,5
1503548287,4,3
1503555467,2,3
1503562672,4,3
1503569871,2,5
1503573469,0,1
1503577071,1,4
1503584267,3,4
1503587863,1,0
1503591464,4,5
1503597804,0,1
1503598666,0,1020
1503601401,1,0
1503605868,3,3
1503613059,7,2
1503620266,4,4
1503627459,1,8
1503634675,5,4
1503641862,3,7
1503649067,4,1
1503656266,3,1
1503663461,6,1
1503670661,2,10
1503677877,901,0
1503685073,10,2
1503688668,1,0
1503692271,2,2
1503699470,2,8
1503706676,2,2
1503713871,3,4
1503721079,5,8
1503721973,1,0
1503728283,4,4
1503735472,2,4
1503742670,1,1
1503745400,0,979
1503749867,2,5
1503757073,2,5
1503760678,0,2
1503764273,3,4
1503767873,0,1
1503771468,2,2
1503778673,1,5
1503785875,3,2
1503793070,2,2
1503800268,8,3
1503807488,3,0
1503814676,2,5
1503821876,2,1
1503829064,2,4
1503836267,0,6
1503839874,1,0
1503843471,0,1
