DateTime,Entries,UniqueIPs
1501812175,1901,1963
1501815776,1905,1967
1501819375,1901,1963
1501822975,1899,1961
1501826576,1898,1960
1501833778,1897,1959
1501837378,1898,1960
1501840977,1899,1961
1501844577,1899,1961
1501848178,1899,1962
1501851778,1899,1962
1501855379,1899,1962
1501858979,1893,1956
1501862579,1894,1957
1501866179,1889,1952
1501869838,1890,1953
1501873379,1892,1955
1501876978,1891,1954
1501880578,1892,1955
1501884179,1889,1952
1501887778,1891,1954
1501891378,1890,1953
1501894978,1892,1955
1501898579,1891,1954
1501902179,1887,1950
1501905779,1889,1952
1501912979,1889,1952
1501920180,1891,1954
1501923779,1892,1955
1501927379,1892,1955
1501930978,1892,1955
1501934580,1890,1953
1501941780,1887,1950
1501948979,1885,1948
1501952580,1886,1949
1501956180,1883,1946
1501959780,1885,1948
1501963379,1885,1948
1501966979,1886,1949
1501970579,1884,1947
1501974179,1884,1947
1501977779,1882,1945
1501984980,1880,1943
1501988581,1880,1944
1501992179,1880,1944
1501999380,1878,1942
1502002985,1880,1944
1502006583,1880,1944
1502010185,1881,1945
1502013725,1881,1945
1502017383,1882,1946
1502020984,1882,1946
1502024584,1881,1945
1502031783,1877,1941
1502035385,1877,1941
1502038984,1878,1942
1502042525,1877,1941
1502046185,1880,1944
1502049725,1878,1942
1502053655,1878,1942
1502056984,1877,1941
1502064185,1879,1943
1502067784,1881,1945
1502071386,1883,1947
1502074986,1882,1946
1502082125,1881,1945
1502085785,1882,1946
1502089384,1884,1948
1502092986,1885,1949
1502096525,1886,1950
1502100185,1882,1946
1502103423,1883,1947
1502107383,1884,1948
1502110983,1884,1948
1502114583,1885,1949
1502115304,1884,1948
1502118183,1882,1946
1502121784,1885,1949
1502125384,1863,1927
1502128984,1865,1929
1502132524,1865,1929
1502136193,1864,1928
1502139791,1862,1926
1502146991,1860,1924
1502150592,1862,1927
1502161454,1863,1928
1502164996,1865,1930
1502168594,1865,1930
1502175751,1865,1930
1502179410,1866,1931
1502183011,1865,1930
1502186551,1866,1931
1502190212,1860,1925
1502193811,1861,1926
1502197411,1862,1927
1502200951,1863,1928
1502204553,1864,1929
1502211752,1862,1927
1502215351,1863,1928
1502218952,1864,1929
1502222552,1863,1929
1502226151,1862,1928
1502229752,1863,1929
1502233352,1860,1926
1502236970,1859,1925
1502244214,1858,1924
1502247752,1856,1923
1502251352,1855,1923
1502254953,1855,1924
1502258613,1853,1921
1502262213,1854,1922
1502265752,1855,1923
1502269353,1856,1924
1502272953,1857,1924
1502276613,1858,1925
1502280152,1857,1924
1502283753,1857,1924
1502287413,1858,1925
1502290952,1857,1924
1502294570,1858,1925
1502298153,1859,1926
1502301752,1857,1924
1502308954,1857,1924
1502312614,1854,1921
1502316212,1853,1920
1502327013,1851,1918
1502330622,1849,1916
1502334154,1851,1918
1502337753,1851,1918
1502341413,1852,1919
1502344954,1854,1921
1502348554,1857,1923
1502352213,1852,1918
1502355753,1854,1920
1502359354,1853,1919
1502363014,1852,1918
1502366553,1850,1916
1502370153,1850,1916
1502373753,1851,1917
1502377413,1853,1919
1502380953,1853,1919
1502384613,1856,1922
1502388154,1853,1919
1502391753,1854,1920
1502395413,1852,1918
1502399015,1855,1921
1502402613,1854,1920
1502406213,1852,1918
1502409753,1851,1917
1502413355,1849,1915
1502417013,1847,1913
1502420554,1850,1916
1502424155,1852,1918
1502427754,1852,1918
1502431414,1851,1917
1502435015,1854,1920
1502442154,1854,1920
1502449415,1851,1917
1502452955,1850,1916
1502460214,1849,1915
1502463755,1850,1916
1502467415,1850,1916
1502471014,1851,1917
1502478154,1852,1918
1502481754,1853,1919
1502488963,1851,1917
1502492622,1852,1918
1502496214,1851,1917
1502503355,1852,1918
1502506955,1850,1916
1502510558,1852,1918
1502514155,1848,1913
1502517755,1841,1906
1502521355,1843,1908
1502524955,1844,1909
1502528555,1843,1908
1502532215,1840,1905
1502535755,1840,1905
1502539415,1842,1907
1502542955,1836,1901
1502546615,1837,1902
1502550155,1838,1903
1502553755,1837,1902
1502557355,1836,1901
1502561015,1834,1899
1502564555,1832,1897
1502568155,1832,1897
1502571815,1829,1894
1502575355,1837,1902
1502579016,1833,1898
1502582556,1834,1899
1502586156,1832,1897
1502589756,1833,1898
1502593416,1833,1898
1502597016,1834,1899
1502600556,1834,1899
1502604216,1834,1899
1502607756,1832,1897
1502611356,1833,1898
1502614956,1830,1895
1502618556,1831,1896
1502622156,1826,1891
1502625756,1828,1893
1502629416,1831,1896
1502633016,1829,1892
1502636556,1830,1893
1502640156,1829,1892
1502643756,1828,1891
1502647416,1829,1892
1502650978,1830,1893
1502654617,1832,1895
1502658171,1831,1894
1502661817,1830,1893
1502669017,1829,1892
1502672617,1828,1891
1502676157,1828,1891
1502679817,1830,1893
1502683357,1832,1895
1502686957,1834,1897
1502690557,1838,1901
1502694217,1842,1905
1502697817,1839,1902
1502701357,1839,1902
1502704957,1840,1903
1502708617,1841,1904
1502712217,1842,1905
1502715757,1844,1907
1502719357,1842,1905
1502722957,1839,1902
1502726557,1842,1905
1502730157,1842,1906
1502733817,1845,1909
1502737357,1846,1910
1502740957,1847,1911
1502744558,1848,1912
1502748218,1849,1913
1502751818,1850,1914
1502755358,1851,1915
1502762558,1852,1916
1502766158,1854,1918
1502769758,1855,1919
1502773358,1857,1921
