DateTime,AddedIPs,RemovedIPs
1501887778,3,0
1501891378,1,1
1501894978,2,0
1501898579,1,3
1501902179,4,0
1501905779,2,1
1501912979,2,1
1501916579,0,4
1501920180,3,7
1501923779,1,0
1501927379,1,4
1501930978,3,0
1501934580,1,4
1501941780,2,3
1501945379,0,1
1501948979,1,3
1501952580,1,0
1501956180,0,4
1501959780,4,5
1501963379,1,0
1501966979,1,1
1501970579,0,2
1501974179,1,3
1501977779,0,1
1501984980,1,5
1501988581,1,0
1501992179,3,1
1501995779,0,1
1501999380,4,4
1502002985,2,3
1502006583,1,4
1502010185,1,2
1502013725,1,0
1502017383,1,1
1502020984,1,0
1502024584,1,4
1502031783,1,2
1502035385,2,0
1502038984,1,2
1502042525,1,1
1502046185,4,4
1502049725,1,0
1502053655,1,0
1502056984,0,1
1502064185,2,2
1502067784,2,0
1502071386,2,0
1502074986,1,2
1502078586,0,2
1502085785,4,2
1502089384,2,0
1502092986,1,6
1502096525,3,0
1502100185,2,0
1502103423,1,3
1502103783,4,0
1502107383,8,0
1502110983,4,3
1502114583,2,2
1502115304,4,0
1502121784,3,2
1502125384,1,0
1502128984,2,0
1502132524,2,1
1502136193,0,2
1502139791,1,0
1502143392,0,2
1502146991,1,0
1502150592,3,2
1502157751,1,4
1502161454,3,3
1502164996,2,0
1502168594,1,1
1502175751,2,5
1502179410,1,0
1502183011,1,1
1502186551,2,1
1502190212,1,0
1502193811,4,2
1502197411,1,0
1502200951,1,3
1502204553,2,0
1502208172,0,1
1502211752,0,2
1502215351,3,1
1502218952,1,2
1502222552,2,0
1502226151,0,4
1502229752,1,0
1502233352,1,5
1502236970,1,1
1502244214,0,3
1502247752,4,2
1502251352,1,0
1502254953,1,0
1502258613,2,3
1502262213,1,0
1502265752,2,1
1502269353,1,2
1502272953,2,1
1502276613,1,0
1502280152,2,5
1502283753,2,0
1502287413,1,0
1502290952,2,0
1502294570,1,0
1502298153,1,5
1502301752,1,0
1502305352,0,5
1502308954,1,0
1502312614,3,5
1502316212,0,2
1502319773,1,0
1502323368,1,1
1502327013,2,0
1502330622,2,6
1502334154,2,0
1502337753,2,4
1502341413,1,0
1502344954,2,5
1502348554,3,0
1502352213,0,2
1502355753,2,0
1502359354,2,3
1502366553,0,1
1502370153,2,2
1502373753,1,0
1502377413,2,2
1502380953,2,0
1502384613,4,0
1502388154,0,4
1502391753,1,0
1502395413,1,0
1502399015,3,3
1502402613,2,1
1502406213,0,3
1502409753,0,1
1502413355,0,2
1502417013,0,2
1502420554,3,1
1502424155,2,0
1502427754,3,4
1502431414,2,0
1502435015,3,2
1502442154,1,1
1502449415,2,7
1502452955,1,0
1502460214,4,6
1502463755,1,1
1502467415,2,0
1502471014,2,0
1502474614,0,4
1502478154,1,3
1502481754,1,0
1502485414,0,2
1502488963,2,0
1502492622,1,4
1502496214,3,3
1502503355,1,0
1502506955,2,5
1502510558,2,0
1502514155,1,1
1502517755,1,1
1502521355,5,0
1502524955,5,2
1502528555,0,3
1502532215,0,1
1502535755,2,0
1502539415,3,1
1502542955,1,1
1502546615,1,0
1502550155,1,2
1502557355,2,3
1502561015,1,0
1502564555,0,2
1502568155,2,5
1502571815,1,1
1502575355,8,0
1502579016,0,5
1502582556,1,0
1502586156,1,6
1502589756,1,0
1502593416,4,4
1502597016,1,0
1502600556,1,2
1502604216,2,3
1502607756,2,0
1502611356,1,0
1502614956,0,2
1502618556,1,0
1502622156,0,2
1502625756,3,1
1502629416,3,0
1502633016,0,2
1502636556,1,0
1502640156,0,2
1502643756,2,0
1502647416,1,0
1502650978,2,3
1502654617,2,0
1502661817,2,2
1502665357,0,4
1502672617,0,4
1502676157,1,4
1502679817,2,0
1502683357,3,2
1502686957,2,0
1502690557,4,3
1502694217,6,4
1502697817,2,0
1502701357,2,4
1502704957,1,0
1502708617,1,1
1502712217,2,2
1502715757,2,0
1502719357,1,5
1502722957,0,2
1502726557,3,1
1502730157,3,0
1502733817,4,0
1502737357,2,1
1502740957,2,1
1502744558,1,0
1502748218,2,1
1502751818,1,0
1502755358,1,4
1502762558,1,2
1502766158,3,0
1502769758,2,3
1502773358,3,0
1502776958,0,5
1502780558,2,4
1502784158,1,0
1502787782,2,1
1502791418,5,0
1502795018,3,2
1502802158,2,4
1502809419,1,4
1502812958,2,2
1502816558,2,0
1502820158,0,4
1502823760,1,3
1502827418,4,0
1502830959,3,0
1502834559,2,2
1502838219,2,0
1502841759,3,0
1502845359,2,1
1502848959,0,2
1502852619,1,0
1502856159,0,4
1502859765,0,3
1502863419,2,0
1502866959,3,1
1502870559,2,1
1502874159,1,3
1502877759,0,2
1502881360,1,0
1502884959,3,1
1502888560,1,2
1502892159,2,3
1502895759,3,0
1502899359,5,4
1502906559,0,1
1502913760,2,6
1502917360,3,0
1502920960,2,1
1502924560,1,0
1502928160,2,2
1502931820,0,2
1502935360,1,2
1502938960,2,3
1502942560,2,2
1502946160,1,2
1502949760,1,4
1502953360,4,0
1502957020,0,5
1502960560,0,3
1502964160,1,1
1502971360,1,2
1502975020,3,0
1502978620,2,0
1502982161,1,2
1502985761,0,2
1502989381,0,3
1502992961,1,0
1502996622,0,4
1503000161,0,6
1503003761,2,0
1503007361,0,2
1503010961,1,1
1503018221,1,1
1503021821,1,1
1503025361,0,2
1503028961,1,2
1503032621,3,0
1503036221,2,5
1503039821,1,0
1503043361,0,2
1503046961,1,0
1503050561,3,1
1503054221,4,0
1503061361,1,1
1503064962,0,4
1503068561,1,0
1503072161,2,0
1503075761,2,0
1503079362,2,2
1503082962,1,2
1503086562,2,5
1503090222,1,0
1503093762,2,3
1503097422,1,0
1503101022,0,4
1503108162,0,2
1503111762,3,0
1503115422,0,3
1503119022,1,0
1503122562,2,4
1503126162,3,2
1503129762,2,1
1503133362,2,1
1503136962,1,0
1503140622,1,2
1503147762,2,0
1503151422,2,1
1503155022,1,0
1503158623,1,4
1503162223,1,2
1503165763,1,0
1503176563,0,2
1503180163,1,3
1503183763,2,1
1503187363,2,0
1503194563,0,4
1503198163,3,0
1503201823,0,1
1503205363,1,0
1503208963,2,3
1503212624,1,3
1503216163,4,2
1503223363,0,2
1503227023,2,0
1503230623,1,0
1503234163,2,3
1503241364,2,1
1503244964,1,0
1503248564,2,5
1503252224,2,4
1503255824,1,0
1503259424,1,1
1503263024,0,3
1503266564,3,0
1503270164,0,2
1503273824,1,0
1503277424,0,3
1503280964,0,2
1503284624,3,0
1503288164,2,6
1503291764,2,0
1503295364,4,7
1503299024,3,0
1503302564,0,3
1503306164,1,0
1503309824,2,4
1503313364,0,2
1503320565,1,0
1503324165,0,1
1503327765,2,0
1503331365,3,4
1503334965,5,0
1503338565,3,2
1503342165,2,1
1503345765,3,0
1503349365,3,2
1503352965,11,1
1503356565,4,3
1503360165,3,0
1503363765,2,1
1503367365,1,1
1503371025,2,2
1503374565,2,3
1503378165,2,6
1503385365,3,3
1503388965,1,7
1503396166,1,2
1503399766,3,0
1503403366,1,0
1503407026,0,2
1503410567,0,2
1503414166,2,1
1503417766,4,0
1503421426,3,2
1503428566,2,7
1503432166,1,0
1503435766,1,1
1503439366,1,0
1503442966,2,2
1503446566,1,1
1503450166,0,1
1503453826,0,1
1503457366,5,0
1503461026,0,1
1503464567,1,0
1503468226,3,3
1503471767,2,2
1503475383,1,3
1503482627,3,7
1503486171,1,3
1503493367,0,2
1503496967,0,1
1503500567,1,2
1503504184,2,5
1503507767,1,0
1503511427,1,1
1503514967,1,0
1503518627,1,2
1503522227,1,2
1503525767,0,2
1503529367,0,2
1503532967,1,0
1503536567,1,2
1503543767,2,2
1503547367,1,0
1503550968,1,3
1503554628,1,0
1503558168,1,5
1503561768,3,0
1503565368,0,1
1503568968,1,1
1503576228,0,3
1503579768,1,4
1503583368,2,5
1503587028,3,0
1503597768,0,3
1503601368,0,2
1503608568,4,2
1503612168,1,0
1503615828,2,1
1503619368,1,1
1503622968,0,2
1503626629,0,1
1503630169,2,0
1503633769,1,1
1503637369,0,3
1503640969,2,1
1503644569,4,1
1503651769,2,2
1503655369,1,0
1503658969,2,2
1503662569,3,0
1503666169,2,1
1503669829,0,2
1503673369,1,4
1503676969,3,0
1503677510,2,2
1503680629,7,2
1503684230,1,0
1503687770,0,2
1503691370,1,0
1503694970,2,1
1503702170,1,2
1503709372,1,0
1503712971,1,0
1503716570,4,4
1503723770,1,3
1503727430,3,0
1503729530,1,2
1503730969,0,4
1503738170,0,4
1503745370,2,3
1503749030,0,1
1503752570,1,3
1503756171,1,0
1503759771,2,5
1503766970,1,0
1503770631,0,1
1503774171,0,1
1503777770,1,0
1503781430,0,1
1503785030,1,3
1503788571,1,1
1503792173,1,1
1503795771,1,0
1503799371,6,0
1503803032,2,4
1503806570,1,0
1503810171,1,3
1503817371,1,8
1503820972,1,0
1503824631,0,1
1503831771,0,2
1503846172,1,0
1503849771,0,4
1503853371,1,0
1503856971,1,1
1503860632,2,1
