DateTime,AddedIPs,RemovedIPs
1501952580,2,3
1501959780,4,2
1501963379,1,3
1501966979,1,3
1501970579,0,1
1501974179,1,2
1501977779,0,3
1501981379,0,4
1501984980,1,2
1501988581,2,3
1501992179,4,4
1501999380,5,2
1502002985,2,4
1502006583,1,0
1502010185,1,2
1502013725,3,1
1502017383,1,2
1502020984,2,2
1502024584,3,1
1502028184,0,1
1502031783,1,3
1502035385,4,2
1502038984,1,1
1502042525,2,0
1502046185,4,2
1502049725,1,1
1502053324,0,1
1502053655,1,1
1502056984,0,3
1502060584,1,1
1502064185,2,4
1502067784,2,5
1502071386,2,3
1502074986,1,3
1502078586,0,2
1502082125,1,0
1502085785,4,3
1502089384,4,1
1502092986,1,4
1502096525,3,3
1502100185,3,2
1502103423,1,0
1502103783,6,2
1502107383,10,2
1502110983,4,1
1502114583,3,1
1502115304,4,4
1502118183,0,1
1502121784,4,2
1502125384,3,1
1502128984,3,0
1502132524,3,1
1502136193,1,1
1502139791,1,2
1502143392,0,1
1502146991,2,3
1502150592,3,2
1502154193,0,3
1502157751,1,0
1502161454,3,2
1502164996,2,1
1502168594,1,2
1502172197,0,2
1502175751,2,4
1502179410,1,5
1502183011,6,1
1502186551,3,1
1502190212,2,1
1502193811,4,2
1502197411,1,3
1502200951,1,1
1502204553,2,2
1502208172,2,2
1502211752,0,3
1502215351,5,4
1502218952,1,3
1502222552,3,2
1502226151,1,1
1502229752,2,2
1502233352,2,2
1502236970,2,0
1502240555,0,1
1502244214,0,1
1502247752,4,2
1502251352,1,0
1502254953,2,4
1502258613,3,5
1502262213,1,1
1502265752,3,1
1502269353,2,1
1502272953,2,5
1502276613,3,2
1502280152,2,1
1502283753,2,2
1502287413,2,4
1502290952,2,1
1502294570,1,2
1502298153,5,4
1502301752,1,2
1502308954,2,4
1502312614,3,4
1502319773,2,1
1502323368,1,2
1502327013,3,5
1502330622,4,2
1502334154,3,1
1502337753,2,2
1502341413,1,3
1502344954,2,2
1502348554,4,5
1502352213,0,5
1502355753,4,3
1502359354,3,1
1502363014,0,1
1502366553,0,1
1502370153,3,1
1502373753,1,1
1502377413,3,2
1502380953,2,2
1502384613,5,3
1502388154,0,2
1502391753,2,5
1502395413,3,3
1502399015,4,4
1502402613,2,2
1502409753,0,1
1502413355,0,2
1502417013,1,2
1502420554,4,3
1502424155,2,2
1502427754,3,2
1502431414,3,5
1502435015,3,3
1502438614,0,1
1502442154,1,1
1502445814,0,3
1502449415,3,0
1502452955,1,0
1502456554,0,1
1502460214,4,5
1502463755,2,2
1502467415,3,0
1502471014,4,0
1502474614,0,2
1502478154,1,3
1502481754,1,2
1502485414,1,3
1502488963,2,2
1502492622,1,3
1502496214,3,5
1502503355,1,0
1502506955,2,3
1502510558,2,3
1502514155,2,1
1502517755,1,2
1502521355,5,2
1502524955,5,2
1502528555,0,1
1502532215,0,2
1502535755,5,1
1502539415,4,3
1502542955,2,3
1502546615,1,1
1502550155,2,1
1502557355,6,4
1502561015,1,3
1502564555,1,1
1502568155,3,1
1502571815,1,2
1502575355,8,3
1502579016,0,2
1502582556,1,1
1502586156,2,1
1502589756,1,2
1502593416,5,3
1502597016,1,2
1502600556,1,1
1502604216,2,3
1502607756,2,3
1502611356,1,2
1502618556,2,2
1502622156,1,2
1502625756,3,1
1502629416,4,4
1502636556,1,1
1502640156,1,2
1502643756,3,2
1502647416,1,3
1502650978,2,5
1502654617,3,2
1502661817,3,3
1502665357,0,2
1502669017,1,1
1502672617,0,4
1502676157,2,0
1502679817,2,2
1502683357,3,3
1502686957,2,4
1502690557,5,4
1502694217,7,4
1502697817,2,1
1502701357,2,4
1502704957,1,2
1502708617,2,2
1502712217,2,3
1502715757,4,0
1502719357,1,2
1502722957,3,0
1502726557,3,3
1502730157,4,3
1502733817,6,2
1502737357,2,2
1502740957,3,2
1502744558,3,2
1502748218,3,1
1502751818,3,3
1502755358,1,0
1502758958,0,1
1502762558,1,1
1502766158,3,4
1502769758,2,6
1502773358,5,5
1502776958,0,1
1502780558,3,3
1502784158,1,3
1502787782,2,5
1502791418,5,2
1502795018,3,0
1502802158,4,3
1502805759,1,0
1502809419,1,2
1502812958,2,1
1502816558,2,2
1502823760,1,2
1502827418,5,6
1502830959,3,1
1502834559,4,1
1502838219,3,2
1502841759,3,0
1502845359,2,1
1502848959,0,1
1502852619,1,1
1502859765,0,2
1502863419,2,3
1502866959,4,3
1502870559,2,3
1502874159,1,0
1502877759,0,3
1502881360,1,5
1502884959,3,4
1502888560,1,2
1502892159,2,2
1502895759,3,2
1502899359,5,5
1502902959,3,1
1502906559,1,2
1502910159,1,1
1502913760,2,2
1502917360,3,2
1502920960,3,3
1502924560,2,0
1502928160,2,3
1502931820,1,1
1502935360,1,1
1502938960,2,1
1502942560,2,3
1502946160,1,0
1502949760,3,3
1502953360,4,7
1502957020,1,0
1502960560,1,0
1502964160,3,1
1502967760,0,2
1502971360,1,3
1502975020,3,5
1502978620,2,4
1502982161,2,2
1502985761,1,0
1502992961,2,1
1502996622,1,2
1503000161,0,3
1503003761,4,2
1503007361,0,1
1503010961,1,1
1503014561,0,2
1503018221,1,1
1503021821,2,4
1503025361,0,1
1503028961,2,2
1503032621,3,4
1503036221,3,1
1503039821,1,1
1503046961,1,1
1503050561,4,1
1503054221,4,1
1503057761,2,2
1503061361,1,1
1503064962,0,5
1503068561,3,3
1503072161,3,1
1503075761,3,2
1503079362,2,2
1503082962,1,0
1503086562,2,2
1503090222,2,1
1503093762,2,0
1503097422,1,5
1503101022,1,1
1503111762,3,5
1503119022,2,3
1503122562,2,2
1503126162,3,2
1503129762,3,4
1503133362,2,3
1503136962,1,2
1503140622,2,2
1503144222,1,2
1503147762,2,1
1503151422,2,3
1503155022,2,4
1503158623,2,2
1503162223,1,1
1503165763,1,1
1503169363,0,1
1503172963,0,1
1503176563,0,1
1503180163,1,3
1503183763,2,1
1503187363,2,1
1503198163,3,3
1503201823,0,1
1503205363,2,1
1503208963,2,3
1503212624,1,3
1503216163,4,5
1503219763,0,1
1503223363,1,0
1503227023,2,3
1503230623,1,0
1503234163,3,0
1503237823,1,0
1503241364,3,1
1503244964,1,2
1503248564,4,5
1503252224,4,2
1503255824,2,1
1503259424,1,2
1503263024,1,0
1503266564,4,3
1503273824,3,2
1503277424,0,4
1503280964,1,1
1503284624,3,2
1503288164,2,1
1503291764,2,5
1503295364,5,3
1503299024,3,4
1503306164,1,0
1503309824,3,0
1503313364,0,1
1503317025,0,3
1503320565,1,2
1503324165,1,0
1503327765,3,2
1503331365,3,1
1503334965,5,3
1503338565,4,0
1503342165,3,6
1503345765,4,1
1503349365,5,1
1503352965,11,3
1503356565,4,2
1503360165,3,0
1503363765,2,3
1503367365,1,3
1503371025,2,2
1503374565,2,3
1503378165,3,1
1503381765,0,1
1503385365,3,2
1503388965,1,1
1503392565,0,1
1503396166,1,2
1503399766,4,7
1503403366,2,0
1503407026,0,6
1503414166,4,3
1503417766,5,0
1503421426,4,1
1503424977,0,3
1503428566,2,4
1503432166,3,3
1503435766,2,0
1503439366,1,3
1503442966,3,2
1503446566,1,1
1503450166,1,3
1503453826,0,2
1503457366,6,5
1503461026,0,2
1503464567,1,3
1503468226,3,1
1503471767,2,3
1503475383,2,2
1503482627,3,2
1503486171,1,2
1503496967,1,0
1503500567,1,3
1503504184,2,5
1503507767,1,0
1503511427,1,0
1503514967,1,1
1503518627,1,2
1503522227,1,0
1503525767,0,1
