DateTime,Entries,UniqueIPs
1501215939,167,167
1501219765,167,167
1501223616,167,167
1501227439,167,167
1501231274,170,170
1501235110,173,173
1501238975,172,172
1501242852,172,172
1501246625,169,169
1501250547,166,166
1501254552,169,169
1501258402,165,165
1501262222,164,164
1501266080,167,167
1501269890,165,165
1501273768,169,169
1501277609,164,164
1501281430,155,155
1501285280,154,154
1501289120,154,154
1501292956,162,162
1501296818,162,162
1501300650,161,161
1501304604,161,161
1501308561,164,164
1501312409,166,166
1501316235,169,169
1501320062,176,176
1501323893,172,172
1501327959,171,171
1501331812,173,173
1501335682,171,171
1501339505,168,168
1501343356,172,172
1501347207,172,172
1501351031,173,173
1501355004,172,172
1501358726,171,171
1501362572,165,165
1501366399,168,168
1501370222,167,167
1501374060,161,161
1501377905,163,163
1501381760,159,159
1501385589,159,159
1501389430,165,165
1501393260,166,166
1501397093,172,172
1501400942,172,172
1501404823,172,172
1501408639,178,178
1501412599,178,178
1501416330,179,179
1501420160,180,180
1501424323,178,178
1501428080,177,177
1501431910,178,178
1501435770,174,174
1501439601,176,176
1501443435,175,175
1501447286,172,172
1501451123,174,174
1501454947,174,174
1501458800,172,172
1501462477,168,168
1501466242,168,168
1501470193,165,165
1501473923,160,160
1501477812,154,154
1501481620,157,157
1501485464,158,158
1501489304,161,161
1501493148,162,162
1501496951,162,162
1501500819,159,159
1501504649,161,161
1501508490,161,161
1501516166,163,163
1501519987,166,166
1501523838,166,166
1501527772,166,166
1501531524,165,165
1501535374,168,168
1501539655,170,170
1501543498,167,167
1501551206,164,164
1501555027,166,166
1501558901,166,166
1501562717,171,171
1501566526,170,170
1501570388,168,168
1501574227,170,170
1501578177,172,172
1501581908,167,167
1501585763,162,162
1501589657,161,161
1501593435,159,159
1501597278,156,156
1501601115,157,157
1501604966,157,157
1501608792,154,154
1501616710,159,159
1501624425,159,159
1501628254,160,160
1501632324,160,160
1501636173,164,164
1501640014,164,164
1501643875,167,167
1501647672,168,168
1501651522,170,170
1501655614,171,171
1501659463,167,167
1501663517,167,167
1501667377,162,162
1501671193,167,167
1501675051,165,165
1501678991,165,165
1501682757,165,165
1501686585,164,164
1501690427,168,168
1501694284,168,168
1501698485,173,173
1501702164,167,167
1501706036,165,165
1501709841,162,162
1501713682,161,161
1501717770,155,155
1501721621,160,160
1501725458,157,157
1501729353,152,152
1501733142,152,152
1501736968,148,148
1501740835,148,148
1501744653,149,149
1501748491,149,149
1501752329,151,151
1501756181,151,151
1501760012,151,151
1501763827,150,150
1501767687,150,150
1501771510,146,146
1501775371,150,150
1501779253,152,152
1501783376,148,148
1501787378,149,149
1501791479,150,150
1501795288,146,146
1501799164,142,142
1501803000,144,144
1501806832,146,146
1501810644,147,147
1501814497,142,142
1501818319,144,144
1501822182,147,147
1501826036,151,151
1501829864,154,154
1501833872,155,155
1501837567,152,152
1501841403,155,155
1501845481,156,156
1501849337,156,156
1501853127,159,159
1501856987,162,162
1501860832,164,164
1501864662,165,165
1501868492,160,160
1501872321,161,161
1501876182,160,160
1501879999,161,161
1501884290,159,159
1502195354,79,79
1502199194,92,92
1502203072,114,114
1502206936,129,129
1502210744,144,144
1502214554,154,154
1502218810,168,168
1502222721,176,176
1502226546,186,186
1502230391,198,198
1502234259,210,210
1502238058,219,219
1502241890,233,233
1502245742,245,245
1502251444,246,246
1502257218,245,245
1502261054,244,244
1502264908,243,243
1502268732,243,243
1502272491,242,242
1502276224,242,242
1502280197,243,243
1502284177,244,244
1502288024,252,252
1502291829,260,260
1502295691,269,269
1502299490,275,275
1502303346,284,284
1502307188,289,289
1502311048,292,292
1502314863,295,295
1502318713,299,299
1502398413,300,300
1502402272,296,296
1502406149,295,295
1502410164,293,293
1502414029,262,262
1502417894,247,247
1502437388,135,135
1502460888,146,146
1502464694,138,138
1502468548,126,126
1502472355,134,134
1502476232,129,129
1502480032,131,131
1502483904,131,131
1502491605,121,121
1502499303,127,127
1502503121,133,133
1502514927,153,153
1502518676,159,159
1502522519,174,174
1502538134,180,180
1502541922,186,186
1502545826,189,189
1502549646,190,190
1502553491,184,184
1502565012,189,189
