DateTime,AddedIPs,RemovedIPs
1501569181,7,11
1501576381,10,12
1501579982,7,6
1501583582,12,9
1501587182,9,10
1501590781,3,5
1501594381,8,11
1501597982,10,7
1501605181,5,4
1501608781,10,8
1501612381,9,10
1501615981,11,7
1501619581,5,6
1501623181,7,7
1501626781,1,1
1501633981,9,10
1501637581,9,12
1501644781,10,11
1501648381,5,4
1501651981,9,7
1501655581,7,7
1501659182,9,8
1501662781,5,5
1501666381,11,9
1501669981,5,7
1501673581,7,8
1501677181,14,12
1501680781,9,8
1501684381,8,7
1501687981,9,12
1501691581,7,7
1501695181,7,5
1501698781,6,8
1501702381,8,10
1501705981,8,6
1501709581,7,7
1501713181,7,7
1501716781,6,7
1501720381,2,2
1501723981,7,6
1501727581,4,5
1501731181,8,9
1501734782,10,11
1501738381,5,5
1501741981,2,2
1501745581,4,3
1501749181,6,3
1501752781,5,4
1501756381,11,11
1501759981,11,13
1501763581,1,0
1501767181,3,4
1501770781,8,7
1501774382,8,8
1501777981,3,4
1501781581,8,10
1501785181,11,10
1501788781,6,5
1501792381,8,9
1501795981,9,7
1501799581,8,6
1501803182,8,7
1501806781,6,8
1501810382,5,8
1501817581,7,8
1501821181,7,8
1501824781,10,6
1501828381,7,4
1501831981,9,7
1501835581,5,7
1501839181,2,3
1501842781,4,5
1501846382,3,8
1501849981,10,7
1501853581,10,7
1501857181,8,9
1501860781,4,3
1501864381,10,12
1501867981,7,8
1501871581,11,11
1501875181,7,7
1501878781,4,5
1501882382,4,3
1501885981,5,7
1501889581,8,8
1501893181,6,7
1501896781,10,10
1501900381,2,2
1501903981,8,7
1501907581,6,9
1501911181,3,3
1501914781,9,8
1501918381,7,6
1501921982,5,4
1501925581,5,5
1501929181,6,7
1501932781,7,8
1501936381,10,9
1501939981,9,8
1501943581,5,4
1501947182,3,2
1501950781,5,7
1501954381,10,8
1501957981,9,9
1501961582,12,12
1501965182,2,2
1501968781,8,9
1501972381,6,6
1501975981,9,9
1501979582,8,8
1501983181,6,6
1501986781,13,12
1501990382,2,2
1501993981,5,4
1501997581,3,3
1502001181,6,8
1502004781,4,3
1502008381,11,10
1502011981,8,8
1502015581,5,6
1502019181,9,8
1502022781,8,11
1502026381,13,14
1502029981,8,7
1502033581,5,6
1502037182,9,6
1502040781,5,6
1502044381,4,6
1502047981,5,3
1502051581,12,13
1502055181,6,7
1502058781,3,5
1502062381,4,3
1502069582,12,12
1502073181,8,5
1502076781,8,9
1502080381,15,12
1502083981,17,15
1502087581,5,3
1502094781,6,6
1502098382,9,10
1502101981,6,7
1502106027,10,8
1502109181,5,6
1502112782,4,6
1502116381,2,3
1502119981,6,6
1502123581,10,9
1502127181,9,10
1502130781,8,9
1502134381,0,1
1502137981,5,4
1502141581,3,2
1502145182,6,4
1502148781,3,3
1502152381,6,8
1502155982,6,7
1502159581,3,3
1502163182,6,2
1502166781,3,3
1502170381,9,8
1502173981,10,11
1502181181,11,14
1502184781,7,7
1502188381,5,5
1502191981,4,3
1502195581,9,7
1502199181,5,5
1502202781,4,2
1502206381,4,4
1502209982,5,7
1502213581,7,9
1502217182,5,8
1502220781,11,8
1502227981,8,6
1502231581,7,6
1502235181,7,7
1502238781,5,6
1502242381,5,7
1502245981,8,6
1502249581,6,8
1502253182,11,11
1502256781,7,7
1502260382,5,3
1502263981,6,7
1502271181,9,7
1502274781,10,14
1502281982,9,8
1502285581,13,11
1502292781,12,13
1502296381,8,6
1502303581,7,9
1502307181,6,7
1502314381,12,11
1502317982,11,12
1502325181,6,5
1502328782,10,8
1502335981,14,16
